mainly galvenokārt
periods periodos
concerns bažas
player spēlētājs
speciality speciālā
dose deva
concluded secināja
lion lauva
ethics ētikas
solution šķīdums
rapid strauja
chains ķēdes
energija enerģija
scientific zinātnisko
article rakstu
bureau biroja
social sociālie
watt vats
increase palielināt
focuses koncentrējās
model modeļi
nomenclature nomenklatūras
portrait portrets
english angļu
peter pēteris
university universitāte
ocean okeānā
painting glezniecība
denote apzīmēšanai
state valsts
given konkrētā
eternal mūžīgā
center centrs
samuel semjuels
chemical ķīmiskajiem
felt uzskatīja
company sabiedrība
last ilgst
description apraksts
gaining gūstot
pythagorean pitagora
three triju
position amats
germans vācbaltiešu
known zināmais
fluctuation svārstības
artist mākslinieku
elements elementi
encountered sastapās
other cits
princely prinča
closed beidza
political politiskos
plates plātnes
library bibliotēka
people cilvēku
play lugas
parish pagastā
appropriate atbilstošu
protect aizsargātu
condition stāvokli
scope jomā
increase palielinās
total pilnīgu
painting glezniecības
army armija
vertebra skriemeļi
products produkti
represented pārstāvēta
truk trūka
response atbildot
team komandai
eruption izvirdumi
points punktus
balkans balkānos
better labāku
music mūziķe
remarkable ievērojamākie
industries nozarēm
where kur
zoology diciāns
planet planētu
formation veidošanu
game sp
fields laukiem
importance nozīmi
tibet tibeta
distributed izplatītas
hindu hinduistu
edge māla
action rīcība
spread izplatās
philosophers filozofi
most visbiežāk
russian krievu
power varai
consciousness apziņas
minimum minimālais
bible bībele
helped palīdzēja
kites pūķis
center centru
facial sejas
troops karaspēka
building ēka
enormous milzīga
issued izdota
jacques žaks
phoenician feniķiešu
deal darījumu
summer vasarā
collapse sabrūk
renewal atjaunošanai
cathedral domām
considered uzskatīti
group masa
male tēviņi
ceremony ceremonijas
dealing nodarbojās
meanwhile tikmēr
wagner vāgnera
inhabit apdzīvo
blood asinīs
started aizsāka
republic republikā
vinegars ētiku
battle kaujās
cold aukstā
databases datubāžu
government valdības
customers klientiem
news ziņas
length garuma
a rada
list saraksta
st.petersburg sanktpēterburgā
act aktu
nile nīla
prima pirmajam
help palīdzēt
nation tauta
long ilgu
more plašākas
low zemas
generated radīto
boats laivas
championships čempionāta
online portālā
mount kalna
features pazīmju
freshwater saldūdens
offense pārkāpums
adopted pieņemti
delhi dēli
methods metodes
proclaimed pasludināja
search meklējot
ingredients sastāvdaļu
difference starpību
ads reklāmas
shows rāda
law likumā
immediately tūlīt
grain graudu
core kodols
acids skābēm
strain sprieguma
main galvenais
central centrālo
german vācietis
indicators rādītājiem
side sāniem
reductive zināma
passenger paša
determined noteica
area zona
land sauszemes
fields lauki
baltics baltijā
mary marija
matter matērija
development izveides
specified norādīts
status apstākļi
if ja
ballet baleta
up izveido
ammeter ampērmetrs
cards kārtis
feet kājas
castles piļu
oktober oktobrī
middle vidus
alphabetical alfabēta
vowel patskaņi
composer komponista
activities pasākumi
languages valodās
labor darbaspēka
race rasu
electrical elektrības
pork cūkas
policy politiķi
introduction ieviešanu
pushed gūstā
arms ieroču
network tīkla
structures struktūras
administrative administratīvā
intranet iekšējā
scientific zinātniski
electrons elektroni
management pārvaldi
vikings vikingi
polish poļu
london londonā
deliberately apzināti
extensive plašas
goat kazas
exhibition izstādes
knowledge zināšanām
tension spriegums
article raksts
social sociālā
cube kubs
egg olām
anna annas
items priekšmetu
phospholipids elektronika
many daudzās
sunnis sunnīti
hero varoņi
writers rakstniekiem
palaces muižas
stand smilšu
bega bēga
karl kārlis
iraq irākas
concepts jēdzieni
jupiter jupiters
sits sēž
artificially mākslīgo
full pilna
limit ierobežot
years gadus
winter ziemas
row rinda
leader vadoņi
player spēlētāji
deity dievību
buddhism budisms
sucrose šaha
coast piekrastei
prize prēmiju
long-term ilgstošu
chemical ķīmiskie
questions jautājumos
tchaikovsky čaikovska
formed izveidojušās
bosphorus bosfora
figure skaitlis
forest meža
monument pieminekļi
dish ēdienu
controlled kontrolēja
premium prēmija
horse zirga
areas jomās
wall sienu
accused pameta
signed parakstīja
unit vienībā
st. sv
remarks piezīmes
orbit orbītu
where kurienes
from balstīts
denomination apzīmējums
some dažus
elevated paaugstinātā
rights tiesību
criticism kritiku
recognition atzīšana
battle kaujām
necessity nepieciešamības
continents kontinentiem
prose proza
help palīdzības
ireland īrijā
award apbalvojumi
century gadsimtā
republics republikām
stalin staļins
northwest ziemeļrietumiem
jains jānis
tournament turnīru
sadi šādi
physics fizika
ron roņu
exterior ārpusē
goal mērķi
despite neraugoties
organized organizēta
leaves pamest
gradually pamazām
nw zr
pc datoru
parts detaļu
canada kanādā
maintain uztur
necessity nepieciešamība
connections savienojumi
battles kaujām
boyle boils
gens gēns
twisted vītā
campaign kampaņas
ltd. sia
darpa darba
organisms organismi
male vīriešu
throughout viscaur
cold aukstais
global zemeslodes
namely proti
rich bagāta
berns bērns
working darbā
level līmenis
band joslas
eider gaga
managers vadītāji
vascular asinsvadu
recognize atzīst
tools gāze
aluminum alumīniju
the gadam
l |
closeness tuvums
titans titāns
areas apvidu
watts vats
variety šķirnes
sanctuary patvērumu
causing izraisot
pedagogy pedagoģija
functions funkcijas
gulf līča
researcher pētnieks
synonyms syn
water ūdeņiem
sister māsa
internal iekšējie
december decembrī
mist migla
scientist zinātnieka
lowest zemākā
thinking domāšanu
recipient saņēmējs
street ielas
efforts centieniem
depicted attēlota
seized sagrāba
firstly pirmkārt
purebred šķirnes
championship čempionātos
architecture arhitektūra
child bērnu
sides pusēm
known pazīstamas
naf nbs
average vidējā
traded tirgotājiem
freed atbrīvoja
semigallians zemgaļi
protected sargā
body ķermeņa
government valdībai
tournament turnīrs
october oktobra
age vecumā
final cēsu
win uzvarēt
front frontes
herbert herberts
trader tirgotāju
made lika
survive izdzīvot
faced saskārās
huge milzīgas
total kopējā
characterize raksturot
male tēviņu
apply pielietot
adopted pieņemta
dress apģērba
istanbul stambula
order ordeņa
fedor fjodors
fluoride fluorīts
south dienvidos
continental kontinenta
bridges tilti
carries nes
other citi
egypt ēģipti
energy enerģiju
hole cauruma
understanding izpratnes
preserves saglabā
economic saimnieciskās
degrees graudus
cellular šūnu
struggle cīņa
silicon silīcija
ultra īpašā
euro eiro
alpha alfa
summer vasaras
solution risinājums
interest interesēs
poker pokera
old senās
really patiešām
ever kādreiz
letters vēstules
image attēla
plato platona
glasgow glāzgova
protocol protokols
mit mīt
row rindās
cloud mākoņiem
muscle muskuļu
considered uzskatīta
believed ticēja
waves viļņiem
francois fransuā
blowin pūš
lock aizslēgs
jack ligzdu
austria austriju
netherland nīderlandi
generation paaudze
speed ātrums
actors dalībnieki
competitions sacensības
senior vecākajām
colonel pulkvedi
shakespeare šekspīrs
lioness lauvene
franz franči
aristotle aristoteļa
north ziemeļjūras
platinum plātņu
exposing pakļaujot
zemgale zemgales
gas gāzes
created veidots
emergency ārkārtas
libyan lībijas
bones kauliem
africa āfrika
spread izplatījās
kina ķīna
capacitor kondensatora
strong spēcīgu
elite elites
painting gleznā
long ilgi
large lielus
fur kažoks
paris parīzē
employee darbinieks
connections savienojumos
been noticis
existence pastāvēšanas
lead vēstule
interior interjera
washed apskalo
christmas ziemassvētku
fuel kurināmo
fund fonds
people ļaužu
australia austrālijā
profile profils
career iepriekšējo
computer datora
many daudzām
samples paraugi
set noteiktos
regulating regulē
airline aviokompānijas
viewers skatītāju
party partijai
cells šūnas
next nākamā
count skaitu
health veselība
armed bruņotie
november novembra
economic saimniecisko
protocol protokolu
kernels kodoli
familiarize iepazīties
body ķermenis
divided daļa
engaged nodarbojās
worked strādājis
speed ātrumu
it tai
better labākās
book grāmatu
living dzīvojošās
population iedzīvotāju
internet interneta
district iecirknis
taxes nodokļi
sessions seši
movember novembris
not nemaz
eiffel eifeļa
meeting sapulcē
battles kaujās
removed likvidēja
buoy bojā
formally formāli
strategically stratēģiski
deities dievības
plants augi
matter lieta
economic ekonomiskajām
livers aknas
directions virzieni
ridge grēdu
salam salām
monsters briesmoņiem
locks slēdzenis
kandinsky kandinskis
table galdiņa
tender piedāvājums
device ierīce
level līmenim
portugal portugāli
organs orgāni
bishop laidnis
there turienes
package paketi
approaching tuvojas
hardness cietība
red sarkana
list sarakstu
then tad
football futbols
his viņa
soil augsnē
stellaria virzās
ring riņķa
blessing svētību
treatment ārstēšanai
length garumu
arable aramzeme
familiar pazīstamais
major lielākie
thermodynamics termodinamika
war kara
average vidējo
works darbojas
text teksta
upper augšējo
mountain kalns
management pārvaldības
prince prinča
root saknes
commercially komerciāli
crops korpusa
gate vārtu
lightning zibens
gustav gustavs
pharaoh faraonu
code kodekss
boom uzplaukumu
constantinople konstantinopoles
fantasy fantastika
repression represijas
sharks haizivis
gallery galerija
airport lidosta
surrounding apkārtējo
richard ričards
contact saskarē
forest meži
green zaļā
arena arēna
most visaugstāk
not nevarētu
more vairāku
beam stars
lowest zemāka
which kurām
includes ietilpst
wire vadu
producer ražotājs
reached panāca
reforms reformām
germans vāciešiem
paintings gleznas
institutions iestāžu
as tikpat
helps palīdz
a tāda
serial sērijas
born piedzimst
trace pēdas
participant dalībnieks
orthodox pareizticīgie
natural dabisko
changes izmaiņas
rock iežu
biological bioloģisko
intervention iejaukšanās
internal iekšpolitikā
gained guvis
kilometres km
read lasīt
prince princis
mercury merkura
incurred radušās
football futbolu
length garums
shrike čakste
ecosystem ekosistēmas
general ģenerāļa
alternately pārmaiņu
think domāšanu
edge malās
warehouse noliktavas
apart nošķir
feeling sajūta
train dzelzceļa
concluded noslēgts
could varēja
evidence pierādījumu
firm firmas
passports pašu
respect cieņā
revolution revolūcija
rapid strauju
amount summu
power jauda
concentration koncentrācija
best labākas
the šie
direct tiešā
operation darbībai
political politisks
dog šūnu
learn uzzināt
activities darbībām
strength izturību
changes mainās
therefore pakļauts
while kamēr
limb ekstremitāšu
imagination iztēle
greece grieķijas
rifleman strēlnieku
up dž
therefore tapēc
telescope teleskopu
stories stāsti
us mūs
pere perē
plane plaknes
pasos pašos
molecule molekulu
centralized centrāli
illness slimība
visual redzes
title titulu
banks krastus
responsibilities pienākumu
championships čempionātu
infinitive α
liking patika
musculature muskulatūra
concept koncepciju
largely mērā
drive vadīt
need vajadzībām
exponential straujais
use lietojums
cards kāršu
specialists speciālisti
friedrich frīdriha
part daļas
castles pilis
settlements apdzīvoto
clouds mākoņiem
market tirgus
potassium kālija
ever jebkad
teacher skolotāja
discipline disciplīna
commonwealth sadraudzības
production ieguvei
people tautām
hydrogen ūdeņraža
camera kameras
ct ст
establishments iestādēs
program programma
opera operu
metals metāliem
water ūdenī
military militārajā
language valodā
salary alga
preference priekšroku
community aprindās
lowland zemienes
release atbrīvošanās
performed izpildīja
expenditure izdevumi
substances vielā
made veidojuši
managers vadītājiem
arrived ierašanās
ad reklāmu
season sezonu
ducal hercoga
related saistīti
modern modernisma
members biedru
using izmantošanas
works darbi
insect kukaiņus
uncertain neskaidra
call saukt
luther lutera
long garo
orthodox pareizticīgo
knights bruņinieku
persons personām
acquisition iegūšana
issued izdots
concerns skar
made veikts
kevin kaspars
serbia serbijas
theories teorijām
nights naktīs
world pasauli
permanent pastāvīgo
authority pilnvaru
hungary ungārijas
see skat
maintain uzturēt
returns atgriežas
influence iedarbībā
paved pavēra
victims upuri
david deivids
confident pārliecināts
medium vidējo
on pievērsta
libya lībijas
there te
institution iestāžu
anatomy diciāns
moderate mērenās
coast krasts
power barošanas
expressed izteiktas
ascending pārvietoties
public publiskās
september septembrī
wave viļņiem
ballet balets
co-operation sadarbību
spanish spānijas
tens desmitiem
settlements apdzīvotu
thunderstorm negaiss
award balvu
danger draudi
carried vēsta
symbol simboliem
list saraksts
revenue ieņēmumu
now nu
responsible atbild
life dzīvība
constitution konstitūcijā
convoluted sarežģītas
fabricate izgatavot
ships kuģus
kids bērni
rococo rokoko
loss zaudējumi
built uzbūvēts
sweden zviedrijā
bore nesa
workforce darbaspēka
extremely ārkārtīgi
made padarīja
great lielajā
sky debess
youth jaunība
moved virzījās
treatments ārstniecības
ways virzienos
modernising modernizācija
best labākais
diplomatic diplomātiskās
rich bagātas
distance attālumam
icelandic islandiešu
political politisko
fully pilnībā
live dzīvu
held rīkoja
establishment izveidē
geographical ģeogrāfiskais
national nacionālo
jumping lēca
sharp krāsām
crustaceans vēžveidīgie
fell samazinājās
significant ievērojams
expressed izteica
ottoman osmaņi
homeland dzimtenē
mr kunga
beauty skaistumu
dry sauss
beam staru
trend novirziens
two divas
film filmu
project projektu
atomic atomu
helium hēliju
abroad ārzemēs
magic burvju
belgium beļģiju
flourish attīstīties
coast krastu
large lielajās
which kurās
system sistēmā
treaties līgumus
degree pakāpi
newspapers avīzes
all visas
built būvētas
ocean okeāna
darwin darvina
criticism kritiķu
crystalline kristāliskā
mentally garīgi
domain domēnu
photo foto
worked strādāja
dance deju
edge mala
coach treneris
champion čempiona
events pasākumos
maintained uztur
modernism modernisma
defeated sakāva
centuries gadsimtus
well krietni
sectors nozaru
college koledžu
trends tendences
absolutism absolūtisms
geisha geišu
sometimes reizēm
ministers ministri
tact takts
morals morāli
works darbus
phenomenon parādības
australia austrālija
cup kausa
card kārti
ring gredzenveida
lake ezerā
emotions emocijas
famous slavenākais
small nelielās
doubtful šaubas
after galu
mars marsa
model modelis
microscope mikroskops
advertisement reklāma
sand smilšu
strong stipru
farmers zemnieki
transistors tranzistoru
membership lietotāji
trading tirdzniecību
christians kristiešiem
world pasaule
dostoevsky dostojevskis
income ienākumu
theater teātrī
member loceklis
s as
party partijas
leaders vadītājus
coalition koalīcijas
attracted piesaistīja
they viņi
media plašsaziņas
undoubtedly neapšaubāmi
years gados
define definē
project projekts
empire impērijai
males tēviņi
text teksti
jacobin jakobīņi
help palīdzētu
removed aizvada
marijuana marihuānu
museum muzeja
solutions šķīdumiem
limit ierobežo
partisan partizānu
industrial rūpnieciskā
valley ieleju
prism prizma
settlements apdzīvotajām
older senākās
appearance parādīšanās
sometimes dažkārt
slowly lēni
saudi saūda
haydn haidna
appliance aparāta
some dažos
program programmas
amenhotep amenhoteps
subtropical subtropu
later vēlāko
severe smagā
earn peļņa
well-being labklājības
division sadalījums
participant dalībnieki
second otrais
officers virsnieki
divided sadaļā
through starpniecību
six seši
time laiku
found atklāja
chemical ķīmiskās
parliament parlaments
dollar dolāru
annual gada
entered ieceļoja
office uzņēmumi
moment brīdī
relatively nosacīti
signed parakstīts
helical spirālveida
background fona
gymnasium ģimnāzija
union savienības
territorial teritoriālā
acquisition iegūšanas
iranian irānas
galas gaļas
ena ēna
orbital orbītas
as jo
aspects aspekti
erosion erozijas
whereas turpretim
created veidojuši
said pauda
records rekordi
significant būtiskas
greece grieķijai
isotope izotopu
netherlands nīderlandieši
fairly samērā
victories uzvarām
customers klienti
system tīkla
known pazīstami
cyclones cikloni
away attāluma
phones telefoniem
it tā
heart sirdi
rock rokām
lead vadošajām
up atbalstīts
forest mežs
ability spēju
live pārtiek
chain ķēdi
sad šādas
gates vārtus
andes andu
same pašos
flowers ziedi
. `
youth jauniešu
application pielietojums
advocates iestājās
special speciāla
degree pakāpe
collapse sabrukumam
apply pieteikt
volcanic vulkānu
is notiek
common kopīgs
fish zivju
oleg oļegs
time laiks
all kārtām
correct ērču
ottoman osmaņu
maximum maksimālo
begins aizsākās
victory uzvara
prayer lūgšanu
weekday ikdienā
periodically periodiski
cytoplasm citoplazmā
margin robeža
mayor mēru
weight svars
forman formām
attacks uzbrukumus
stocks krājumus
into ievieto
title tituls
night nakts
respiratory elpošanas
thereby tādējādi
alaska aļaska
clubs klubu
about apgrozībā
materials izejvielām
site vietas
continent kontinentā
search meklējumi
accept pieņemt
new jaunajai
white balto
chronicle hronika
siberian sibīrijas
rituals rituālus
danish dānijas
tales pasakas
indonesia indonēzijā
all visam
basic pamatā
royal karaļa
unlikely ticams
ancestors senči
castle pilī
process procesu
andrey andreja
buried apglabāts
saeima saeimai
oil eļļa
iraq irāka
distributed izplatīti
inside esošie
resist pretoties
red sarkanais
monarchs monarhu
church baznīcā
impact ietekmi
easy vieglu
religious reliģiskie
relation attiecību
extends sniedzas
rules noteikumiem
storm vētras
commander komandieris
long gari
shots metieni
companies uzņēmumi
factory fabriku
terrestrial zemes
more aizvien
ear auss
ball bumbu
scale mērogā
diamond dimantu
amphibian abinieku
said teikts
list uzskaitījums
term termiņu
voting balsošanas
mint piparmētra
moments brīžos
open atklātā
anthropology antropoloģija
clock pulksteņa
walter valters
feeding barošanās
pharaoh faraons
skeleton skeletu
county novada
hand puses
dwarf rūķis
standards standartiem
institutions iestādēm
curricula dzīvesgājums
weight svaru
studies studijas
discussion diskusiju
physicist fiziķis
rescue glābšanas
common kopīgu
reaches sasniedz
they tiem
canceled atcēla
small mazie
odor smaku
friends draugiem
full pilns
populated apdzīvota
degrees grādiem
effect sekas
minimum mazāku
marriage laulības
top augšējo
sharp krasas
rocks iežos
use izmantotu
chess šahs
unrest nemieri
pain sāpes
wind vēju
natural dabisku
large lielos
eight astoņas
wetness mitrums
choral kora
councils padomes
uk lielbritānijas
along gar
richard rihards
ejection izveides
table tabulā
made veikti
effect ietekme
nature rakstura
prohibition aizliegums
chain ķēde
company uzņēmuma
testament derībā
stop pārtraukt
weapons ieročus
daughters meitu
peter pētera
symptoms simptomi
objects objektus
issued izdoti
absolutist absolūtisma
-related saistītās
republican republikāņu
success panākumi
graph grāfs
relative relatīvi
off izplūdes
won uzvarēja
anemometer anemometrs
wind vēja
based balstījās
history vēsturi
evaluated vērtēts
remarkable ievērojamākais
server serveri
maximum maksimums
island sala
evolution evolūciju
text teksts
empire impērijas
rigas rīgas
diocese bīskapija
andean andu
theory teorijām
element elements
skeleton skelets
led diodes
administration administrācijas
recover atgūt
ancient antīkajā
bishop bīskapu
get iegūt
exposure iedarbība
red sarkans
advertising reklāmu
helium hēlija
orbita orbīta
mountains kalni
dogs suņiem
classical klasisko
samples paraugiem
impression iespaidu
views uzskatus
corresponded atbilda
quite gluži
brightness spožums
sand smiltis
studied mācījies
trapezoidal trapeces
price cenu
mint piparmētru
popularly tautā
finishing beigšanas
suna suņa
age vecuma
amount summa
gdp ikp
philosophy filosofijas
total kopēja
impact iespaidā
philosophical filozofiskā
ancestry priekšteči
mainland kontinentālo
materials materiālus
oil eļļu
daughter meitu
bishop bīskaps
estonia igaunijā
documents dokumenti
bow priekšgalā
contradiction pretrunu
house nama
export eksporta
large lielais
important īpašiem
public sabiedrības
take jāņem
tick-borne ērču
special īpašiem
users lietotājiem
including ieskaitot
university augstskolas
former bijušais
portuguese portugāles
mythology mitoloģijā
function funkciju
gazi gāzi
visible redzams
location izvietot
rarely reti
base pamatā
prohibits aizliedz
in jomā
since kopš
upanishads upanišadas
mercury merkurs
called dēvēts
go pāriet
red sarkano
suna šūnā
polis polisas
office biroja
european eiropas
supplement papildināt
bulgaria bulgārija
distinguish izšķirt
time fāze
peninsula pussala
caste kastu
protection aizsardzību
each katra
allocate piešķirt
medical medī
find atrastu
quality kvalitāti
capitals galvaspilsētas
preserved saglabājušās
cpsu pskp
inventories krājumu
founder pamatlicēju
cooperate sadarbojas
political politiska
concentrate īpašās
highest lielākās
effectively efektīvi
absolute absolūtās
church draudzes
multiculturalism multikulturālisms
opportunity iespēja
buddha budas
workers strādnieku
stability stabilitātes
mr kungu
diamonds dimanti
distances attālumi
teams komandām
increasing pieaugot
luther luters
orbit orbītas
fly lido
woman sieviete
waiting gaidīja
belief ticības
disease slimības
movement kustība
ritual rituālu
scandinavia skandināvijā
situations trijstūris
siberia sibīrijā
artists mākslinieki
figure figūra
channel kanālā
role lomu
may maijā
scotland skotija
formation veidojums
areas sfēras
discussed runāts
early agri
does kārta
country valstij
owned pieder
pilots piloti
feudalism feodālisms
ada āda
sky debesis
legend leģenda
moving pārvietojoties
name nosaukums
passing izejot
ceremony ceremonijā
real reālā
factory rūpnīca
requirements prasības
becomes kļūst
overlap pārklājas
themselves paši
newspaper laikrakstā
direction virziena
distributed izplatīta
haydn haidns
minister ministrs
byzantine bizantiešu
description raksturojums
once savulaik
fetus augļus
fox lapsas
history vēsture
to pienākumu
kosovo kosovas
founder pamatlicējs
sugar cukura
iran irāna
penalty sodu
dna dns
teav tēva
limited ierobežoja
planning plānojums
inc. inc
sounds skaņām
divided sadalīts
wealth bagātība
guarding aizsardzība
affairs lietu
petty pētīja
area laukumu
check pārbaudīt
boric bora
israel izraēlā
administrative administratīvās
concluded noslēdza
lens lēca
gas gāze
quran korānā
childhood bērnībā
christian kristīgās
residual atlikušo
babylon babilonas
neighborhood ģimene
identify apziņa
municipalities pašvaldības
painters gleznotāji
carl karls
characteristics pazīmēm
coin monētu
evenly vienmērīgi
see skatīt
police policija
text tekstu
had piemita
oxide oksīda
program programmu
exploratory izpētes
bay līcī
medium vidēja
clean tīru
off gt
influence ietekmēt
buy iegādāties
team komandā
policy politikā
ukraine ukrainā
january janvārī
ulrich ulrihs
psychology psiholoģijas
most vairākumam
conflict pretrunu
imperial impērijas
express izteikt
stock akciju
cause cēloņi
latest pēdējais
died izmira
vidzeme vidzemē
banned aizliedza
stressed uzsvēra
name nosaukumu
minister ministru
terms noteikumi
plays spēlē
starts sāk
map kārti
dynamo dinamo
mean nozīmēt
developed attīstījās
karolina karolīnas
link saikni
awards balvas
columbia kolumbijas
across pāri
penalty sods
reality īstenībā
cleopatra kleopatru
impressionism impresionisms
expression izteiksmes
social sociāldemokrātu
significant ievērojama
accurately precīzi
served kalpoja
pluto plutona
power jaudu
emphasis uzsvars
desert tuksnesis
planned plānoja
classic klasiskā
server servera
interest nozīmes
throw troņa
dimensions izmēriem
area laukums
clean tīrs
bound saistīja
citizens pilsoņiem
son dēlam
under pakļautībā
naked neapbruņotu
official ierēdņi
traditional tradicionālā
conquered iekarotās
mars marss
power jaudas
wolfgang volfgangs
protected aizsargātu
visible redzami
fought cīnījās
officials amatpersonas
second otrā
duke hercogs
prison cietumā
turkey turcijas
alfa α
wind vēji
figures skaitļus
showed parādīja
darwin darvins
experience pieredzes
process procesa
fishing zvejniecību
zeus zevs
tribe diciāns
federal federālajā
exceeds pārsniedz
archeology arheoloģija
temperatures temperatūru
tchaikovsky čaikovskis
beauty skaistums
county novadu
games spēles
obtained iegūtās
volga volgas
members biedri
necessary nepieciešamo
chile čīle
champion čempions
poland polijas
check pārbauda
declaration deklarāciju
live dzīvo
goals mērķu
construction būvē
temperatures temperatūras
serbians serbu
buildings ēkas
components daļas
released izdala
up izveidoja
most lielākās
long sen
single vienīgās
trade tirdzniecības
armenian armēņu
was tikusi
oxidation oksidēšanas
pronunciation izruna
paying maksāšanas
uppermost visaugstāk
vacuum vakuumā
candle kandela
lica līča
radius cēzijs
this šādam
magazine žurnāla
there eksistē
left atstāja
oceans okeāniem
position pozīcijas
support atbalstīt
sa šā
culture kulturālo
austrian austriešu
alternate vietnieks
good labās
grow augt
agreement vienošanās
their savu
paris parīze
grammer gramatika
decay sabrukšanas
meeting sapulce
processes pēdējās
first pirmās
geisha geiša
make izgatavot
revealed izdalītas
social sociāldemokrāti
bacteria baktērija
ports ostām
sittings sēdes
indoors telpās
migration migrācija
nine dēvī
jelgava jelgavā
spring pavasarī
nationalism nacionālisms
computer datoram
place izvietot
champion čempionu
occupation okupācijas
pulses impulss
girls meitenes
acquainted iepazinās
farmers zemnieku
greece grieķijā
natural dabiska
transistors tranzistori
continental kontinentālās
discover atklāt
husband vīram
transition pārējā
stopped apturēja
used lietotā
cnidaria dzēlējzarndobumaiņi
her viņas
personality personību
etc. utt
cultures kultūrām
dealers tirgotāji
tin alvu
interests intereses
have likt
garden dārzs
month mēnesim
documents dokumentus
head vadītāja
powers lielvarām
hydrogen ūdeņradi
mounds pilskalni
provinces provinču
reject aizliegumu
goods preces
rainbow varavīksnes
household sadzīvē
kurland kurzemi
century gs
treasury kases
brasilia brazīlija
consumption patēriņu
brazil brazīlijā
appliance aparātu
building apbūves
community kopienas
diamond dimanta
farm fermā
jurisdiction jurisdikcijas
battle kaujā
specifically konkrēti
memory atmiņas
outbreak izcelšanos
makes liek
width platuma
necessary nepieciešams
scope joma
large lielajām
strength stiprums
cube klubā
still vēl
inside iekšienē
mobilization mobilizācija
greeks grieķiem
firm stingri
family dzimtas
life dzīvības
between savstarpējo
mass masveidā
people tautu
new jauna
north-west ziemeļrietumu
six sešu
principle principu
pope pāvestu
nationalities tautību
characteristic raksturīgas
electronic elektronika
grammar gramatika
volume apjoma
also arī
moral morāli
stadium stadions
criticism kritikas
latvian latvju
dragons pūķiem
lion lauvu
months mēnešiem
value vērtībām
edges malām
partner partneri
precipitation nokrišņi
moved pārgāja
image lu
card kārts
sultana sultāna
post amatus
tactics taktiku
many daudzi
biology bioloģija
scotland skotijas
citizen pilsoņi
hen vista
led noveda
constant konstante
livi līviem
extraction ieguve
skelton skelets
materia matērija
join pievienojās
territory teritorija
literature literatūrā
mound kalniņš
operations operāciju
paris parīzi
cargo kravas
brazil brazīlijas
edge malu
organs orgāniem
kurland kurzeme
ussr psrs
was tika
physicists fiziķi
meru mēru
however pašā
duluth daļu
stand audzē
marine flotes
higher augstākas
remove novērst
strength stiprumu
reflects atspoguļojas
no nevienā
mushroom sēņu
over pār
types veidiem
adds pieskaita
made izgatavoti
a kurā
mila mīļā
monument piemineklis
differ atšķirties
points uzsver
sent nosūtīja
unity vienotību
eat ēst
choose izvēlēties
north ziemeļjūrā
centers centros
quality kvalitāte
pope pāvests
dogs jenotsuņi
opens atver
banks bankas
time laika
reached sasniedzis
described aprakstīja
doctor ārsts
netherlands nīderlande
territory teritoriju
arise rasties
year gads
global globālo
molybdenum molibdēns
asset aktīvs
grouping sakārtotas
glasgow glāzgovas
poland polijā
before iekļauts
created padarīja
mushrooms sēnes
mathematics matemātikā
passport pašu
average vidējie
reform reformu
hydrolysis hidrolīze
riga rīgai
adriatic adrijas
cml xml
l esmu
these sievu
bc pmē
composition sastāvu
never nekad
goddess dieviete
nature raksturu
coal akmeņogles
the šādu
physics fiziķi
way virzieni
practically praktiski
gasket kabeļu
networks tīkli
channels kanāliem
paper grāmatā
subdue pakļaut
major lielākais
light gaisma
unique unikāls
circulatory asinsrites
distributed izplatība
introduced ieviesa
years gadi
latvia latvijai
wider plašāku
dinosaurs dinozauri
speed ātrumam
layers slāņi
victory uzvaru
choices izvēles
sometimes dažreiz
cel ceļ
wind vējš
warfare karadarbība
lenka leņķa
hanseatic hanzas
disappear izzūd
street ielā
connects saista
money naudu
fight cīņu
object objekta
tornado viesuļvētra
cultures kultūrās
recognizes atzīst
feudal feodālo
beyond aiz
broad vispārējs
narrow šauri
germans ģermāņi
supplemented papildināja
inside iekšējiem
tragedy traģēdija
indigenous pamatiedzīvotāji
against pretī
universe visuma
alkali sārmu
glass stikla
named nosauca
sim šim
public publikas
correctly korekti
created izveidotā
body institūcija
field lauka
call dēvē
execute izpildīt
symbols simbols
take ņem
made veiktas
rejects noraida
mosque mošejas
southeast dienvidaustrumiem
indicating norādot
lead svins
prestige prestižu
proportion proporcionāli
cleopatra kleopatra
most lielākajā
eruptions izvirdumi
massive masveidā
yuri jurijs
international starptautiskā
they vīni
effect efektu
areas apgabalus
action rīcības
new jaunu
oldest vecākie
their saviem
called saukti
research zinātne
tenders piedāvājumu
bishop bīskapa
salt sāļu
property īpašums
star zvaigžņu
cat kaķis
content satura
or vai
parliament saeimā
iran irānu
spelling rakstību
norwegian norvēģijas
leg kāju
creating radot
obtained iegūto
antiquity senatnes
tournaments turnīru
today mūsdienām
coast krastiem
state štatu
slopes nogāzēs
creating izveidojot
preserved saglabājies
are esi
necessary nepieciešami
defend aizsargāt
optical optikas
neighborhoods apkaimes
rain lietus
hero varonis
kreis kreiso
public sabiedrībai
matter matērijas
knowing zinot
nylon zīda
made izgatavoja
nesting ligzdošanas
environment vide
squares platība
neolithic neolīta
manifesto manifests
vertices virsotnes
apennines apenīnu
emergence rašanās
figured figūru
