other अन्य
labourers मजदूरों
rakesh राकेश
clear निर्मल
learn सीखें
helper सहयोगी
rapidly तीव्रता
decor सजावट
better बेहतर
controller नियंत्रक
lila लीला
clear कृत्य
indicative परिचायक
1962 १९६२
conduction संचालन
that उस
conduct आचरण
sixth छठा
wanted मांगी
act कृत्यों
intermediation मध्यस्थता
king फैरो
residue अवशिष्ट
workers कारीगरों
discount छूट
deficient हरिजन
february फ़रवरी
tulsidas तुलसीदास
immorality अधर्म
consumers उपभोक्ताओं
need चाहते
contact संपर्क
last अवशिष्ट
entirely पूर्णतः
product उत्पाद
landed उतारा
different नैदानिक
grant खुलासा
f एफ
inspired अभिव्यक्त
australian ऑस्ट्रेलियन
prototype प्रतिमान
behind पीछे
go जाएँ
many ज़्यादा
silence मौन
function समारोह
108 १०८
climax चरमोत्कर्ष
symbols सांकेतिक
valued दुर्लभ
beginning आरम्भिक
decorated सृजित
musical वादक
this उक्त
corruptions भ्रष्टाचार
they उन्होनें
80 अस्सी
solvent विलायक
sand बलुआ
infectious संक्रामक
1970 १९८०
stock भंडार
song गान
bharti भारती
collection संहिता
computer कंप्यूटर
martyrs शहीदों
years सालों
going चली
meal भोजन
courage धैर्य
greatest सबसे
catalyst उत्प्रेरक
happen हुआ|
on उसपर
brave पराक्रमी
ticket टिकट
angular कोणीय
government शर्करा
read पड
tri-color तिरंगा
kalidas कालिदास
heaven स्वर्ग
clearness स्पष्टता
rupee रुपए
provincial प्रांतीय
joshi जोशी
putative तथाकथित
his इसका
seal सील
black काला
english अंग्रेजी
retailer खुदरा
menstruation माहवारी
genome जीनोम
fields खेतों
police पुलिस
scripts लिपियाँ
achieved पाए
before सम्मुख
instruction निर्देश
meanings अर्थविज्ञान
hangman चांडाल
actual असल
justice न्याय
liberalization उदारीकरण
sex लिंग
place लोयस
completion आपूर्ति
place माथुर
design अभिकल्पना
th वीं
festivals उत्सवों
sign इशारा
popular मशहूर
ape वानर
satisfaction संतोष
foetus भ्रूण
1990 १९९०
teacher उपाध्याय
dhaka ढाका
sikkim सिक्किम
victorious सफ़ल
emphasis जोर
english अंग्रेज़ी
indian हिन्दुस्थान
revealed अवतरित
31 ३१
pieces टुकड़े
shows दिखाते
corn मक्का
place सिक्किम
flem फ्लोएम
erase मिट
last पिछले
companies कम्पनियाँ
sciences विज्ञानों
materials माल
mediums माध्यमों
organized एकीकृत
gem रत्न
confusion उलझन
goa गोवा
situations अवस्थाओं
sim सिम
force वाहिनी
atmosphere वातावरण
do करें
malignant दुर्दम
animals प्राणियों
lake तालाब
trimurti त्रिमूर्ति
dressing वेश
name औरंगज़ेब
tree वृक्ष
improper अनुचित
banker बैंकर
accounts लेखांकन
girls लड़कियों
profit फायदा
descendent वंशज
representation प्रतिनिधित्व
communities सम्प्रदायों
presentation पेशकश
living सजीवों
bead दाने
ritual अनुष्ठानों
husbands पत्तियों
hydrosphere जलमण्डल
foreign विदेश
punjab पंजाब
foods भोजन
give आदान
birthday जयंती
that वह
flow वेग
price मूल्यों
sea समुद्री
fusion संलयन
literature साहित्य
voltaic वोल्टायिक
map मानचित्र
imprinted अंकित
accept ग्रहण
pregnancy गर्भधारण
karn कर्ण
lecture उपदेश
multiplication गुणा
piece टुकड़े
high हाई
wealth समृद्धि
bangladesh बंगलादेश
sikhs सिक्कों
numerical अंकीय
small मामूली
mountbatten माउन्टबेटन
ten दसों
memory संचिका
because क्योंकि
leave परित्याग
whisky मदिरा
air हवाएं
always हमेशा
used प्रयुक्त
protection शरण
dissatisfaction असंतोष
race दौड़
colombia कोलोंबिया
worship आराध्य
sachin सचिन
woodpeckers कठफोड़वा
standing खड़ी
devotion भक्ति
driver चालक
agreement करार
tradition प्रथा
condition व्यवस्था
progressed समृद्ध
secret खुफिया
reading पड़ने
space अन्तरिक्ष
duration अंतराल
reaching पहुँची
tripper सैलानी
dam बाँध
fast व्रत
direction दिशा
wish आग्रह
district तहसील
news न्यूज़
compound यौगिक
ethane इथेन
arthur आर्थर
enemy शत्रु
you तुमने
organic यौगिक
twice दोहरे
meena मीना
group राशियों
help सहाय
spectator दर्शकों
society समाज
won जीते
and और
woodpecker कठफोड़वा
arithmetics अंकगणित
poet शायरी
wishing चाहता
reach पहुंचाने
1906 १९०६
solutions उपचारों
indication सुचना
see दर्शनों
people लोगो
saint संत
korea कोरिया
near गिर्द
scold डॉट
prosperity उत्थान
repression दमन
keeper कीपर
1976 १९८६
delicacy पकवान
time अवधी
document दस्तावेज़
sangam संगम
kingdom किंगडम
patient मरीज
wealth दौलत
55 ५५
meager अल्प
having संजोए
bury दफन
called पुकारा
incarnated अवतीर्ण
besides अलावा
instead बजाए
saturday शनिवार
safe सुरक्षित
proud अहंकार
hobby अभिरुचि
upset नाराज
offer अदा
michael माइकल
stayers बसने
agency एजेंसी
prepare तैयार
research अनुसन्धान
truth सच्चाई
handicrafts हस्तशिल्प
soul आत्‍मा
transient क्षणिक
neem नीम
curved वक्र
do कर
incomplete अपूर्णता
memorial स्मृति
sulfur सल्फर
animated चालित
buddha बुध
tight ढीले
shooting शूटिंग
war लडाई
thought सोचा
definitely जरूर
socks जांघों
abovementioned पूर्ववर्ती
part अंश
billion बिलियन
tribunal अधिकरण
advice सुझाव
underground भूमिगत
house मकान
westminster वेस्टमिंस्टर
control कंट्रोल
diplomatic राजनयिक
sample नमूने
divided बाँटा
dialect बोली
mechanical यांत्रिक
and एबं
store भंडार
characteristics विशेषताएं
extremist अतिवादी
oxide ऑक्साइड
prison कैद
forests जंगलों
assamese असमिया
research अमल
devils राक्षसों
joy उल्लास
lovers प्रेमियों
seleucus सेल्यूकस
instance प्रसंग
himalayan हिमालयी
made बनता
assumptions मान्यताओं
personnel कार्मिक
goodness भले
island दीव
northern पूर्वोत्तर
batting बल्लेबाजी
intact अक्षुण्ण
minister मन्त्री
come आते
property संपत्ति
petition याचिका
translation डिक्शनरी
deer मृग
acting अभिनय
tourist पर्यटक
beams किरणों
quietness वैराग्य
base चौकी
change बदलकर
anchorite साधु
purchasing खरीदारी
names नामों
name रामानन्द
ideas उपायों
game गेम
who कौन
things वस्तुएं
pomegranate अनार
consumption उपभोग
decade मूल्यांकन
foremost सर्वप्रथम
later चलकर
urdu उर्दू
mirza मिर्ज़ा
case कांड
dirt कचरा
beam बीम
father प्रणेता
madhura मथुरा
urine पेशाब
last पिछली
included अर्न्तगत
oxide आक्साइड
parliament संसद
kind दयालु
hold संभाला
atheist नास्तिक
developments परिवर्तनों
facility सुविधा
rail रेल
files संचिकाओं
previous गत
fog धुंध
vande वन्दे
ocean महासागरीय
balance तालिका
dome डोम
product गौण
jewelry गहने
memory याद
under नीचे
surrender आत्मसमर्पण
pune पुणे
weak निर्बल
security प्रतिरक्षा
crime कृत्य
acquired उपार्जित
amount दाम
destroyed क्षतिग्रस्त
criminals अपराधियों
need ज़रूरत
command सिंहासन
separation वियोग
syed सैयद
corpse शव
does करती
lord लॉर्ड
china चाइना
surname गुप्ता
green हरे
narayan नारायण
r आर
junction जंक्शन
professor शोधकर्ता
missed चूका
tolerable संवेदनशील
military सैन्य
egypt मिस्र
roles भूमिकाओं
release उत्सर्जन
skilled प्रशिक्षित
separation हट
request निवेदन
esophagus घेघा
haan हान
user उपभोक्ता
immediate तात्कालिक
teacher आश्चर्य
maharishi महर्षि
formulate प्रतिपादित
spoke बोले
molecule अणुओं
wealthy सघन
active सजीव
google गूगल
43 ४३
peek पीक
totally बिल्कुल
symbolic प्रतीकात्मक
document प्रलेख
pattern पद्धतियों
later उत्तरार्ध
cut कटा
styles शैलियां
test परीक्षा
grammar हुईं
number नंबर
bridge पुल
tradition संप्रदाय
under अंतर्गत
pelvis कोख
insert डालने
hours घंटों
post पद
kill मार
blessings आशीर्वाद
strong मज़बूत
cup कप
crimes अपराधों
evidence गवाह
establish प्रतिष्ठित
government प्रभुत्व
increase संवर्धन
sharda शारदा
resistance प्रतिरोधक
babu बाबू
hostile प्रतिकूल
earmarked चिह्नित
utensils बर्तन
irish आयरिश
surprise अचानक
gland ग्रंथि
leader नेता
really सचमुच
beautification अलंकरण
cheat विश्वासघात
mexico मेक्सिको
pollutants प्रदूषकों
ancient पुराने
time अवधि
census मतगणना
lesson पाठ
beliefs मतों
explanation व्याख्या
international अंतरराष्ट्रीय
maestro उस्ताद
david डेविड
intensity तीव्रता
transfer स्थानांतरण
increase बढे
reconstruction पुनर्निर्माण
unmoved अचल
classes कक्षाओं
after पश्चात्
heart दिल
name अल्बर्ट
deeds कर्मों
danish डैनिश
god-fearing धार्मिक
place अंकारा
high अपार
discussion चर्चा
mantra मन्त्रों
respect नम्रता
mistakes त्रुटियां
sleep निद्रा
night रात
attention धान
endurance सह
procedure प्रक्रिया
camp पड़ाव
rajab रज्जब
bermuda बरमूडा
whos जिनकी
speak बोलचाल
lux लक्स
wet गीली
gas गैस
conscious चेतना
rock रॉक
kaushik कौशिक
pant पंत
six छः
prabhakar प्रभाकर
stations स्टेशनों
sodium सोडियम
investigation खुलासा
jhelum झेलम
another अगला
anus गुदा
cuisine खानपान
square चौक
tumour गाँठ
international अंतराष्ट्रीय
old पुरातत्व
chemical स्वपोषी
broadcasting पॉडकास्टिंग
predictable आभासी
novel उपन्यास
interpret व्याख्या
organizations संस्थाएँ
murderer घातक
1840 १८४०
data आँकड़ों
barbarous बर्बरता
nerves स्नायु
embryo भ्रूण
patan पाटन
mythili मैथिली
palaces महलों
forefather दादा
nand नन्द
systems निकायों
sound शब्दकोष
very अर्द्ध
since उपरांत
flame ज्वाला
controlling समन्वित
womb गर्भपात
reflection प्रतिद्वंद्वी
speaker वक्ता
participant भागीदार
guard गार्ड
killed मारे
democratic लोकतांत्रिक
jag जग
pea मटर
limited सीमित
situation स्थिती
operate प्रतिनिधित्व
centralised केंद्रीकृत
tehsil तहसील
sperm शुक्राणु
calamities आपदाओं
urmila उर्मिला
rishabh ऋषभ
illness रोग
listed सूचीबद्ध
shivratri शिवरात्रि
wages मजदूरी
madan मदन
reject अस्वीकार
farmer कृषक
bring लेकर
indra इंद्र
zinga झींगा
memory स्मरण
mission मिशन
district जिले
vehicles वाहनों
property संपदा
system तरीकों
motivator प्रेरक
multiplication संचरण
next आगे
skillful प्रवीण
drink पीते
desire इच्छा
reaction अभिक्रिया
prophet सल्ल
issues मुद्दे
by गौण
could सका
statue कृतियाँ
passengers यात्रियों
training प्रशिक्षण
renaissance पुनर्जागरण
watt वॉट
help सहारा
arts आर्ट्स
article पद्य
saturn शनि
outcast निर्वासित
grandfather नाना
mount माउण्ट
haider हैदर
splendid बेहतरीन
dashrath दशरथ
tradition परम्पराओं
fly उड़ने
explosion विस्फोट
innovation नवाचार
women महिलाओं
kuru कुरु
collect एकत्रित
instrument उपकरण
suppression दमन
involve निहित
no न
name स्वामीजी
joy आनंद
stage द्वैत
charter चार्टर
did किया
state स्थिती
huge भव्य
erection स्तंभन
kinetic गतिज
give डालो
responsibility फर्श
its के
love आदर
end छोर
launch विपणन
open खुलता
gap घाट
including सहित
recoding रिकॉर्डिंग
humiliated बदनाम
growth उन्नति
propagation प्रचारिणी
occupied अधिकृत
slave ग़ुलाम
vehicle वहन
the द
empire राजवंश
palm पाम
sky स्काई
balram बलराम
mountain पर्वतीय
sen सेन
of ऑफ़
metastatic मेटास्टेसिस
see देखने
competitor प्रतिस्पर्धी
saving बचत
win जीतने
devotion विसर्जित
sing गाए
reestablish विस्थापित
change परिवर्तित
milan मिलान
sativa भांग
simple सहज
increased बढ़ा
imperialism साम्राज्यवाद
body पिंड
was जाये
have पड़
doordarshan दूरदर्शन
banarasi बनारसी
repent पश्चाताप
ramdev रामदेव
observation अवलोकन
legislative विधान
saying कहती
crazy दीवाना
calender कैलेंडर
games लीलाओं
set अस्त
gray भूरे
do सा
so कितनी
teacher पाठक
direction ओर
twenty ट्वेंटी
superiority श्रेष्ठता
am अं
telling बताता
lady महिला
small छोटासा
related संबन्धी
daisy डहेलिया
extraordinary अपूर्व
power ऊर्जा
profit लाभों
tie गठन
acid एसिड
vast घने
grammer व्यंजन
sad दुखी
imprisonment कारावास
speciality विशेषता
gardening उद्यानिकी
gland गाँठ
kumar कुमार
unix यूनिक्स
indus सिंधु
eradication उन्मूलन
goodness भला
happiness आनन्द
orphan अनाथ
dangerous कुख्यात
nicolas निकोलस
where कहाँ
magician जादूगर
wife पत्ती
congress काँग्रेस
sixty साठ
execution निष्पादन
others औरों
3 ३
exploitation शोषण
important महत्‍वपूर्ण
measure नापने
principle आदर्श
state राज्य
purchase खरीद
mixing मिलाने
fight लड़
red लाल
injured घायल
gate द्वार
sir सर
margaret मार्गरेट
mosquito मच्छर
pet पालतू
released उत्सर्जित
colony कबीले
germ जीवाणु
fail फैल
geeta गीता
library पुस्तकालयों
consequently फलस्वरुप
conditions विधियां
carpet कालीन
irony व्यंग्य
friend मित्र
harry हैरी
surprisingly आश्चर्यजनक
florida फ्लोरिडा
ayodhya अयोध्या
drama नाटकों
middleman मध्यस्थ
dear प्रिय
patient रोगी
receive पाने
51 ५१
organizations अनुष्ठानों
alphabetical गद्यकार
age वि०
gemini मिथुन
period मुहूर्त
five पंच
pleasures सुखों
specialist विशेषज्ञ
imitate अनुकरण
explanation जिक्र
sasi शशि
rabbit खरगोश
opponent विपक्षी
groups समूहों
dependency अधीनता
fruit फली
adverb विशेषण
stage तख्त
scholars उलेमा
puppet कठपुतली
rickshaw रिक्शा
reader पाठक
firm कड़ा
text ग्रन्थ
drugs द्रव्यों
includes अन्तर्गत
parts भागो
evidences प्रमाणों
numbers संख्याएँ
absorbent अवशोषक
sikhs सिखों
year वर्ष
distant दूरस्थ
durable अक्षम
ad ईसवी
rituals संस्कारों
goal गोल
pressure आयतन
delhi देहली
main मुख्य
html एचटीएमएल
staircase सीढ़ी
bad आभासी
remaining शेष
grind पीस
where कहां
demon असुर
discussion बहस
amazing कमाल
example उदहारण
subject-matter कथ्य
aid सहायता
maharaja महाराजा
standing खड़ा
ours हमको
television दूरदर्शन
nishad निषाद
right दावे
praveen प्रवीण
richard रिचर्ड
woman औरत
outfalls मुहाने
educational शैक्षिक
practice प्रथा
lying पड़ा
genuine सच्चा
region मंडल
radius त्रिज्या
he वो
kingdom राज्‍य
financial वित्त
dramatic नाटकीय
article संरचना
ganges गंग
shortcoming कमी
qutub कुतुब
batsman बल्लेबाजों
eighth आठवीं
given दूँगा
handsome सौम्य
feng फेंग
components अवयवों
capable समर्थ
thinkers विचारकों
ribosome राइबोसोम
flowing फूट
father पिता
breath सांस
guest मेजबान
cannabis भांग
archaeological पुरातात्विक
april अप्रैल
join संग्राम
transfer अंतरण
dispute विवाद
chitrakoot चित्रकूट
literature संविधान
girl छोड़ी
philosophy फिलोसोफी
jags दरारें
keeping लगाते
pressure दबाव
institutions संस्थाओं
cold ठंडा
township उपनगर
tree पेड़
not ना
if यदि
inert जड़
bajirao बाजीराव
law कानून
living बसी
clear स्पष्टता
residual अवशेष
1288 १९८८
green हरी
fee शुल्क
noise ध्वनि
fighter सेनानी
rahul राहुल
old पुरातन
that वो
shock क्षुब्ध
psychosis मनोविक्षिप्ति
nirvana निर्वाण
test परीक्षणों
proposal प्रस्ताव
saturn शुक्र
grief दुख
universe आकाशीय
from सें
personal वैयक्तिक
count गिनती
career कैरियर
southeast दक्षिणपूर्व
quiet शान्त
infection संक्रमण
devil शैतान
luggage सामान
sree श्री
right उचित
success सफलता
freedom आजादी
mix मिश्रण
koran क़ुरान
energy उर्जा
organic स्वपोषी
aviation उद्यानिकी
score स्कोर
explain व्यक्त
reach पहुँचे
solve हल
night रात्रि
village गांव
happiness सूखी
field फील्ड
researcher शोधकर्ताओं
carat कैरेट
chile चिली
of आफ
him उन्हे
guild गिल्ड
indicator सूचक
luxury विलासिता
noble भली
printed मानकीकृत
heart मन
rish धनी
gardens बगीचों
caspian कैस्पियन
becomes बनती
thoughts भावे
villages गाँवों
king राजन्
female नारी
eligible पात्र
nuclear परमाणु
pub मधुशाला
odd विषम
meaning तात्पर्य
proposed प्रस्तावित
1903 १९०३
say सकते
inclination झुकाव
meeting सभा
disobedient काफिर
land जमीन
tool उपकरण
firm फर्म
alternative विकल्प
involved शामिल
indians भारतीयों
250 २५०
traditional पारम्परिक
wide चौड़ा
place हूनान
clear स्पष्ट
awakening जागरण
types न्यागत
file संचिका
employer कर्मचारी
tries प्रयत्नों
probability संभावना
songs ग़ज़लों
decision फैसला
closed बंद
film फिल्म
surname मेहता
continuous लगातार
womens स्त्रियों
demon दानवों
numbers अंकों
character चरित
electron इलेक्ट्रॉनों
section गिर्द
lap गोद
emergence उदय
ambani अंबानी
violation अतिक्रमण
all सब
chandrashekhar चन्द्रशेखर
musician संगीतकार
started लगती
worship इबादत
ministry मंत्रालय
represent बनकर
group दल
start लगना
zones मंडलों
surat सूरत
lines पंक्तियों
sushil सुशील
palace पैलेस
calculation हिसाब
activities गतिविधियों
remove विस्थापित
citizens नागरिकों
autumn शरद
personal वैचारिक
chamoli चमोली
employment जीविका
total समग्र
trigonometry त्रिकोणमिति
legacy परम्परा
millipede गोजर
suffix प्रत्यय
attack आक्रमण
tan टन
andheri अंधेरी
waistline कमर
manuscript अभिलेख
external बाहरी
label लेबल
ghost भूत
rose गुलाब
bile तिल्ली
free सौजन्य
cnidaria निडारिया
cereal अन्न
scandinavian स्कैंडिनेवियाई
able सक्षम
maya मय
whose किस
gild गिल्ड
sun सूर्य
object पिंड
touching छूती
generally सामान्यतः
afghanistan अफगान
hunan हूनान
scientists विशेषज्ञों
mechanised मशीनी
swedish स्वीडिश
eager व्याकुल
industry उद्योग
open खोला
outbreak प्रादुर्भाव
area एरिया
deliverance उद्धार
aggrieved ग्रस्त
or या
senior वरिष्ठ
examples उदाहरणों
vasudev वासुदेव
settle समझौते
tectonics विवर्तन
shantanu शान्तनु
1924 १९२४
said बोले
sandalwood चंदन
announcement घोषणा
kgb केजीबी
considered माने
raghav राघव
dimensional आयामी
relations रिश्ते
ordinary सामान्य
stricker स्ट्राइकर
animals पशुओं
bridge ब्रिज
manage निर्वाह
told सुनाया
critical आलोचनात्मक
temperature ताप
end सिरे
untouchability अस्पृश्यता
export आयात
kamla कमला
virtue गुन
variable परवर्ती
eds एड्स
view दृष्टि
theme कथावस्तु
script लिप्यन्तरण
importance विशेषताओं
metals धातुओं
equations समीकरणों
get मिलेगी
forecast बोलचाल
discoverer आविष्कारक
rakhi राखी
ethiopia इथोपिया
friends दोस्तों
arguments तर्कों
companies कंपनियां
municipal पालिका
have ‎है
sanjay संजय
relief राहत
microbiology सूक्ष्मजैविकी
presentation प्रसारण
personality व्यक्तित्व
journalism पत्रकारिता
dead मृत
mathematics अंकगणित
lie झूठ
galaxy आकाशगंगा
services नौकरियों
ground जमीनी
informal अनौपचारिक
transformer परिवर्ती
sides पक्षों
treatable चिकित्सकीय
perform निभाते
mouse माउस
cloud बादल
such उतने
finance वित्त
allauddin अलाउद्दीन
overlord अधिपति
happen जायें
copper तांबा
emerged उभरी
avatar मसीह
history इतिहास
revelation खुलासा
main मुख्‍य
42 ४२
era युग
vacation छुट्टियों
elevated उठा
nepalese नेपाली
design डिजाइन
biram बैरम
laws धर्मों
their उनकी
transcription प्रतिलेखन
tissues ऊतकों
priceless अनमोल
decoration सजावट
agent एजेंट
tower दुर्ग
filmy फ़िल्मी
central केंद्रीय
herpes दाद
type किस्में
gopal गोपाल
anand अनंत
not मना
seen दिखलाई
messages संदेशों
actual सच्चे
classical क्लासिकल
framework रूपरेखा
inspiration प्रेरक
fast तेज़ी
nearness सान्निध्य
claim दावा
verge कगार
poor दीन
officer अधिकारी
resolution संकलक
engineer इंजीनियर
1967 १९६७
execution निष्पादित
hidden छिप
popular लोकप्रियता
honor सम्मानित
gaur गौड़
mineral धातुकर्म
opponent प्रतियोगी
most सबसे
merchant व्यापारी
lakshman लक्ष्मण
begging मांगने
consciousness चेतना
path पथ
parts हिस्से
necessity जरुरत
desire अभिलाषा
reader पाठकों
from ते
archeology पुरातत्त्व
disappoint निराश
poland पोलैंड
rejuvenation पुनर्जागरण
surface सतह
fourth चौथ
meanings अर्थों
chorus सूत्रधार
greeting नमस्कार
kurus कुरु
inhibitor संदमक
density घनत्व
plant पादप
end एंड
trouble तंग
prediction रुझान
telescope दूरदर्शी
presentation प्रस्तुतीकरण
town कस्बों
nizam निज़ाम
submitted समर्पित
decorative सजावटी
be रहो
leg जंघा
lead जस्ता
computing संगणना
then तव
atoll प्रवाल
poison विष
put रख
student विद्यार्थी
legs पैरों
hindus हिन्दुओं
is हैं|
civil सिविल
previous पूर्ववर्ती
hidden छुपा
she वो
immunity प्रतिरोधी
their उनका
emerged उभरा
thinking धारणाओं
famine अकाल
his उनके
senses मायनों
fruitful लाभकारी
give देती
went गए
obstacle बाधा
wide चौड़ी
visit पर्यटन
headline वस्तुत
head मस्तिष्क
certain निर्विवाद
hydel गतिज
message संदेश
angel अप्सरा
seen दिखता
second सेकंड
matches माचिस
om ॐ
cells कोशिकाएं
150 १५०
overlooked अनदेखी
coincidence संयोग
importance महत्त्व
text गद्य
sanchi साँची
commission कार्यभार
mosque हाजी
enough काफ़ी
direction मानक
transit संक्रमण
happiness खुशी
hai हे
jam जाम
hospitals अस्पतालों
ancient महा
wheels पहिए
vidyapati विद्यापति
g जी
lots कई
spell मंत्र
temples मंदिरों
sacrifice हवन
prototype प्रारूपिक
teacher शिक्षक
suitable उपजाऊ
situation परिस्थिति
tsunami सूनामी
safety परिचालन
tradition परंपरा
manager प्रबंधकों
down नीचा
spleen तिल्ली
ramanand रामानंद
electric वैद्युत
terrorism आतंकवाद
socialist साम्राज्यवादी
address सम्बोधित
mixture मिश्रण
major वृहत
jointly जोड़कर
coal कोयला
percussion प्रहार
match मेच
stretch खींच
bright तेज
introduction भूमिका
special खासकर
carbon कार्बन
called कहते
land भू
cereal धान
missile ब्रह्मास्त्र
lessons अध्ययनों
inflorescence पुष्पण
apple सेब
martin मार्टिन
bacteria जीवाणुओं
considered माना
customs प्रथाओं
undistributed अवतरित
there वहीं
important मुख्‍य
aurangzeb औरंगज़ेब
sagittarius मार्गशीर्ष
hurt ठोकर
remained आईं
and एवं
initial शुरूआती
celsius सेल्सियस
computer अभिकलित्र
elephants हाथियों
case मुकदमा
day तिथि
goiter घेघा
want चाहिये
style ढांचे
show झलक
nearest निकटतम
understand समझते
society समाजों
jokes मुहावरे
save बचने
jat जाट
11th १९वीं
dispute भिन्नता
applied प्रयुक्त
translation अनुनाद
slow धीरे
independent आज़ाद
deer हिरण
event काण्ड
go जा
like पसन्द
foreign विदेशों
sensitive संवेदनशील
witness साक्षी
knowledge सीख
organisms विषाणु
prize पुरस्कार
hundreds सैकड़ों
legislature विधायिका
this यही
accessories मायने
charge चार्ज
strolling घूमने
minute मिनट
sura सुरा
put लगाया
lal लाल
autotrophic स्वपोषी
clouds बादल
oral मौखिक
secretary उत्सर्जन
place कैंडी
either बजाए
audit पुनरीक्षण
keep रख
ox बैल
she उन्होंने
unequal असमान
more अधिक
border सीमा
proof प्रामाणिकता
currency चलन
processor प्रोसेसर
name सुशील
destroy विनाश
unsuccessful असफल
role किरदार
pit दरअसल
annual बारहमासी
1988 १९८८
perform निष्पादित
big बड़ा
1931 १९३१
dhaka ढका
force जोर
large विशाल
opinion तथ्य
uncompleted अपूर्व
links कडियाँ
varieties किस्में
business बिजनेस
local देसी
helpless असमर्थ
sites साइटों
mortal क्षणिक
treasures खजाने
gandhiji गाँधीजी
courtier सभापति
spy गुप्तचर
facebook फेसबुक
fire आग
potential क्षमता
allahabad इलाहाबाद
others दूसरों
said बोला
management प्रबन्धन
god ईश्वर
davidson डेविडसन
bad दोष
hole छेद
gathered संग्रहित
memorable यादगार
bright चमकीले
programmable अभिकलित्र
speciality विशेषताओं
qualified परिमित
said बताया
enlighten रोशन
phrase मुहावरों
advantages हितों
colorful रंगबिरंगे
vaishno वैष्णो
jhansi झाँसी
difficult मुश्किल
360 ३५०
white श्वेत
highness महिमा
insects कीटों
will जायेगा
certainly अवश्य
research रिसर्च
put लगायी
invitation दावत
blemish कलंक
important विशिष्ट
banishment छोड़ने
move चलो
treat विवेचन
news खबरें
strictness सख्ती
test टेस्ट
this इसे
boost बढ़ावा
gazal गज़ल
deposit निक्षेप
century सदी
changes परिवर्तित
notes टिप्पणी
keep रखता
34 ३४
integration एकीकरण
akshardham अक्षरधाम
humiliation अवमानना
devotee भक्त
instead बल्कि
html प्रलेखों
light प्रकाश
chromosome क्रोमोसोमों
leader वादी
turkey टर्की
feeling अहसास
noun गण
website जालस्थल
readable पढ़ा
sub-division उपविभाग
economy अर्थव्यवस्था
jh झ
according अनुसार
give देते
origination उद्भव
stubborn जिद
institution संस्थाएँ
karachi कराची
chromosomes क्रोमोसोम
perform निभाता
garden बागों
plains तराई
etc. आदि
shops दुकानें
salute नमन
destroy नष्ट
whom किसे
calcium कैल्शियम
strokes धक्के
associated सम्बंधित
gandharva गंधर्व
secret रहस्य
took ले
central मध्य
arms अस्त्र
grandeur भव्यता
courage शौर्य
caste जातियों
fund निधि
heard सुनी
cold ठंड
statement कथन
detective दैत्य
fast त्वरित
labourer श्रमिक
colony उपनिवेशों
cons गुन
tell बता
majority ज़्यादातर
removed निकाला
detachment वैराग्य
prohibited वर्जित
went गया
pile संलग्न
arthashastra अर्थशास्त्र
van वान
fair गोरी
lodhi लोधी
page पृष्ठ
stopped रोकने
functional कार्यात्मक
relate मेल
expectation उम्मीद
karl कार्ल
scale पैमाने
diabetes मधुमेह
deposit भंडार
mostly अधिकांश
type रूपी
x-ray विकिरण
emerged उभरे
demons दानवों
stomach पेट
pitcher कलश
civil दीवान
roman रोमन
brain दिमाग
bapu बापू
design डिज़ाइन
continuous सतत
creations रचनाएँ
example उदाहरण
out आउट
time दौर
drink पीना
gomathi गोमती
attraction खींच
coordination तालमेल
thermodynamics उष्मागतिकी
keyboard कीबोर्ड
present सम्मिलित
keep रखती
fatehpur फतेहपुर
diary दैनन्दिनी
barbarism बर्बरता
1953 १९५३
choosing चुनकर
basic स्थूल
application अनुप्रयोग
stored संगृहीत
give दी
vikram वि०
wishes इच्छाओं
base मूल
famous प्रसिद्ध
safeguard बचाव
mine मेरा
things चीजों
east ईस्ट
image रूपक
datum अधातु
cruise क्रूज
australian ऑस्ट्रेलियाई
favour पक्षधर
eighty ८०
1925 १९२५
future भविष्य
famine सूखा
chosen चुने
dynasty साम्राज्य
broad विशद
seat आसन
combine एकत्र
merged मिलाने
south-west दक्षिणपश्चिम
mauritius मॉरीशस
capricorn मकर
employed कार्यरत
vesicle छाल
speech प्रवचन
esophageal घेघा
carrier कैरियर
fifteen पंद्रह
reason प्रयोजनों
dictionary कोशिका
encouraged प्रोत्साहित
oppose खंडन
crime अपराध
globalization वैश्वीकरण
ocean महासागरों
mainly मुख्यत
peth पेठ
time समय
active कार्यरत
alps आल्प्स
miracle चमत्कारिक
competitions प्रतियोगिताओं
punishment सजा
suman सुमन
dangerous खतरनाक
chapter अध्याय
showing बताते
taken उद्धृत
mistake त्रुटि
youth युवक
center केन्द्र
limbs अंगों
ghee घी
left बायाँ
maitri मैत्री
attacks हमलों
illusion संचिका
siddharth सिद्धार्थ
carnivorous मांसाहारी
stream शाखा
prison कारागृह
copy नक़ल
pond बाड़ी
vegetarian ब्रह्मचर्य
stools मल
cervix ग्रीवा
television टेलिविज़न
moon चन्द्रमा
kilogram किलोग्राम
eighty अस्सी
against खिलाफ
mountain पौड़ी
pageant लीला
ketu केतु
melodious माधुर्य
norway नॉर्वे
result फलस्वरुप
draught सूखा
fold गुना
aurangazeb औरंगज़ेब
study पठन
explorer एक्सप्लोरर
accept आश्रित
speak बोल
september सितम्बर
cobe कोबे
vertex शिखर
himself साक्षात्
operating आपरेटिंग
frame ढांचा
ease आराम
