states штатах
resource ресурси
revolts повстань
wrote написано
real реальні
constitution конституцією
worker діяча
word слова
ecosystems екосистеми
lands теренах
remembrance спогади
such такою
enterprises підприємств
election вибори
genus роди
zaporozhian запорожців
left лівому
samara самара
absolute абсолютна
vinnytsia вінниця
issued видані
team збірна
graphics графіка
portrait портрет
all усьому
conclusion укладення
work справі
socialist соціалістична
name ім
only аби
contains міститься
loading навантаження
at при
statistical статистичні
determining визначенні
citizens громадянами
medals медалі
usual звичайна
equipment прилади
andreevich андрійович
this цій
russian руські
poem поемі
new нові
chickweed піщанкові
ballad балади
company кампанія
group групу
strip смуга
sites сайті
mazepa мазепі
proletariat пролетаріату
zeus зевса
devoted присвячена
learn проходять
ecosystem екосистеми
physical фізичні
aim мета
salts солі
remained залишався
along уздовж
verbs дієслів
different різними
mouth гирлі
true щоправда
galician галицький
mass масових
began почало
pyramid піраміда
independent самостійної
mythology міфології
branches гілки
replacement заміни
mountains горах
seldom рідко
quality якості
already уже
lenin леніна
scene сцени
straight напрямках
objects предмети
passed пройшла
god богом
inherent притаманні
regime режиму
coal вугілля
element елементу
armadillo броненосці
independently незалежно
national національну
help допомоги
reunion злуки
believed вірили
means засіб
beauty краса
person особі
passing проходження
rheology реологія
function функція
cypress кипарисовик
base основної
symbolism символізму
th му
occupy займають
river ріки
farmer фермер
valuations оцінки
humanity людство
march похідної
austrian австрійський
class категорія
polish польська
decision постанови
all увесь
nothing ніщо
treaty договором
great велике
version версія
actually насправді
zaporozhye запорозької
direction напряму
access доступ
learns вивчає
stratum шар
army військо
tribes племенами
liqueur лікер
products продукти
data дані
cartagena картахена
sulphur сірки
organization утворення
urban міська
geographical географічні
works працях
dance танцю
terms поняттях
function функцію
exploring вивченні
norway норвегії
test тест
really дійсно
discovered виявилося
wife дружиною
reflects відображає
whole цілий
true справжнім
dialect діалект
katerina катерина
ecology екології
recording запис
plot сюжетом
cause причинами
dictatorship диктатури
philosophy філософи
provision постачання
version версію
two два
recently нещодавно
detailed докладніше
may травні
dramaturgy драматургія
september вересні
temperature температура
image образ
possible можливо
body тіла
throne трон
komi комі
dynamics динаміка
inheritance спадщини
held вирішено
hetman гетьманом
sweden швеція
technical технічних
state державним
theatrical театрального
circulation обігу
detailed детально
save зберегти
valentin валентин
establishment встановлення
primary початкових
biblical біблійне
museum музеї
believes верств
own власною
tem терміну
use вживають
strong могутні
table стіл
province воєводства
enclose охоплюють
teaching навчання
separate окремими
universities університетів
partnership участь
work працею
irina ірина
secular світська
will воля
accordance відповідності
crises кризи
breathing дихання
linguistics лінгвістика
traditional традиційними
europa європу
latin латинська
gave надав
night ніч
ended закінчився
central центральних
tempo темп
different різною
grigory григорія
rivne рівне
presently негайно
education освіту
fall випадає
active активної
meant означало
ginzburg гінзбург
neighboring сусідніх
harbours порти
true справжній
musical музичного
forces силами
ganna ганна
financial фінансовий
donetsk донецький
time раз
ethnos етносу
clandestine підпілля
subdivision підрозділ
their їхню
you вас
average середня
demand попиту
strategy стратегії
all усіма
sports спортивних
marked позначені
ability здатність
exclusively суто
john джон
social суспільному
traditions традиціях
discipline дисципліни
pronoun займенник
sprout росток
championship чемпіонаті
soe дп
jewish єврейське
firms фірм
adam адам
learning вивченні
unknown невідомо
rome римом
wise мудрий
part часті
tesla тесла
native властива
pelicans пелікани
taught навчається
pyramid пірамід
allows дозволяє
performed виступів
colonization колонізація
fields ділянках
english англійську
symon симон
head голову
network мереж
law юридична
nationalism націоналізм
myths міфи
ensuring забезпечення
polish польське
tremendous величезних
family родини
in в
vatican ватикан
conflicts конфліктів
queries питаннями
hryvnia гривень
average середню
polish польських
religious релігійні
mountain гірських
recreation відпочинок
brain мозку
serious серйозні
berlin берліні
war війною
density густота
photography фотографії
l. л
belief вірування
necessity потреби
month місяця
gay гай
rome римі
region райони
natalia наталія
highest найвища
god бог
suitable відповідних
gallery галереї
other друге
islam іслам
every кожній
suitable відповідні
herd гурту
wide широке
internal внутрішніх
develops розвивається
grave могилі
last останніх
tribes племені
stanislav станіслав
platform платформа
russian руського
regions районами
windows вікна
foreign іноземних
newspapers газет
eastern східної
soldiers солдати
language мові
head глава
became ставала
netherlands нідерланди
stories оповідань
opera оперний
colony колонії
put поставив
pole пол
luther лютер
cloisters монастирів
physician лікаря
long довго
comes виступив
keeps тримає
finances фінанси
satisfaction задоволення
party партія
denudation денудація
political політичної
actor актор
lists списки
whose чиї
greater більшою
former колишнього
christening хрещення
essay нарис
chess шахи
germany німеччиною
lublin люблінської
received отримували
nine девять
judge судити
index індекс
following наступного
quiet спокій
dated датуються
totally цілком
family родів
free вільного
it нього
stone каміння
diversity різноманіття
country сільських
merited заслужений
won відігравати
russia русь
party партію
moved перейшли
meadows луки
hard твердих
dysphoria дисфорія
greek грецькій
their їхнє
educational освітніх
occupied займалися
agrarian аграрний
of à
heights висот
blond білокур
predominates переважає
magazine журнал
liberation звільнення
september вересня
used вживатися
communist комуністична
understanding розумінні
differ відрізняє
artistic художніх
result призвести
post пошти
leadership керівництва
ussr срср
sightseeing знаків
house дому
human чоловічого
dynamics динаміки
inheritance спадщина
reconstruction перебудови
uefa уєфа
month місяць
lowers знижується
work працю
peasants селян
ancient антична
higher вищий
similar аналогічно
soviet радянської
israel ізраїль
classification класифікація
poetry вірші
pronouns займенники
language мов
physicists фізики
ecology екологія
points точок
album гурт
schools шкіл
first перший
necessary потрібні
holocaust голокосту
models моделей
dictatorship диктатура
relief рельєф
prayer молитви
formed склали
term строком
traditional традиційних
temperature температури
opportunities можливості
partially частково
part доля
vocabulary словарь
people народом
observed спостерігаються
private особистого
kiev київщини
such такі
specified зумовлені
part долю
walls стінах
ternopil тернопільської
thought дум
forming формування
largest найбільший
museum музею
social суспільного
bowels надрах
equator екватора
discovered відкрив
stamping карбування
tao дао
metropolitan митрополит
published опубліковано
katerina катерини
wide широку
bring приносить
colonel полковника
whole цілих
fact подій
head голови
peaceful мирного
disperse розходяться
mountains горами
population населення
cossacks козаки
boris борис
camp табір
their їхні
absence відсутністю
statues статуї
mother має
fixed зафіксовано
looks виглядає
linguistics лінгвістики
sweden швеції
israel ізраїлю
activity активності
financial фінансові
ottoman османська
state державних
not не
regularity закономірностей
bread хліб
western західна
technical технічного
ferments ферментів
properties властивостей
royal королівський
work праць
type типові
adults дорослих
discordance розбіжності
go переходять
trk трк
versions версії
populated заселені
rather досить
largest найбільшим
development розвиток
surroundings середовищі
dialogues діалоги
some декількома
ukrainians українцями
young молода
conference конференція
sports спортивний
ancient античної
classicism класицизм
ankara анкара
classicism класицизму
participants учасниками
alphabet алфавіт
means означає
perceives сприймається
vatican ватикану
cossacks запорозьке
were пройшли
original оригіналу
ability здатності
epos епосу
economic господарського
valley долини
arising виникає
potential потенціал
grandfather дід
categories категорій
met зустріти
height височини
world мірі
greatest найбільша
of із
these цими
five пять
absence відсутність
material матеріальну
christian християнського
gave подав
example прикладом
civil цивільне
wrote написав
water вода
hydrogen водень
said говориться
domination домінування
take взяти
sometimes часом
cossacks козацьке
forms формує
mineral мінеральні
dixieland диксиленд
odesa одесі
soldiers вояків
enterprises підприємствами
used використовувалася
direction напрям
technical технічний
province провінція
particles частинки
gallery галерея
courts судові
explains пояснює
satire сатира
unity єдність
average середні
japanese японських
bases основами
convolvulaceae березкові
photos фотографії
zaporozhye запоріжжі
you ви
popular популярна
became ставали
retelling перекази
last останній
nature природного
information відомостей
points точці
line лінії
translations переклади
les лесь
base базою
opportunity нагоди
protists найпростіші
frontiers кордонів
written написаний
government уряді
jean жан
buddhism буддизму
give віддати
first першим
work твором
london лондона
funds коштів
party партії
map карті
wood дерева
popular народні
one одної
movement рух
eight вісім
again знов
testing тестування
row ряді
wide широко
them ними
chronicle літописі
swimming плавання
this цього
total загальна
nouns іменники
showed показав
sun сонця
platform платформи
hinduism індуїзму
talks переговори
changed змінюються
moral моральні
determined визначений
special спеціальних
observed простежується
sofia софійського
drawings малюнки
musical музичні
format форматі
competitors конкурентів
context контексті
time часів
quantity чисельності
convention договір
great велика
encyclopedia энциклопедия
ancestors предків
official офіційна
considerable значної
apparatus апарату
necessity потребу
stayed перебували
monument памятник
dance танець
universal загальної
n. n
boundaries меж
transition переходу
masters майстри
core осередком
scientific вчений
have маємо
flows протікає
limits рамках
place місто
russian русской
poems поем
hymn гімну
performed виконуються
jewish єврейська
absolute абсолютну
st. св
great величезну
meeting зборах
insurgents повстанців
government уряду
works працює
global всесвітньо
army військової
argument суперечки
maximal максимально
popular народну
classic класичної
side боку
diminishes зменшується
world міри
marking розмітки
teacher педагог
adjacent сусідніх
gorse дрік
landscape ландшафт
alimentary харчова
achievements досягненням
accusation звинувачення
vishnevetsky вишневецького
unit агрегат
electronic електронна
turkish турецької
education освіта
air повітря
eggs яйця
river річна
germany німеччина
investigators дослідників
liability зобовязання
law законом
china китаї
developed розвинений
cossacks козацька
transformation перетворення
rna мрнк
duties обовязків
ancient античного
east сходом
forms складатися
discovered виявлені
just хоч
occupied зайняв
ukrainian української
popularity популярністю
view перегляду
ukrainian українців
clear чисто
paradise рай
astronaut астронавт
realized здійснити
french французького
nations народів
volume обсягу
usa сша
series серії
declared проголосили
specialists фахівці
five пяти
success успіху
valence валанс
odesa одеси
art мистецтві
lead привела
valley долині
regions областями
interview інтервю
zaporozhye запорізька
spaces простори
music музику
northern північний
about о
leadership проводом
coordinates координат
heads очолює
agricultural сільськогосподарських
complete повному
slovakia словаччина
country країні
archeologists археологи
lead керувати
great величезне
what чим
roman римській
latin латинської
zaporizhia запоріжжя
consideration міркувань
prof. проф
negotiations переговорів
traditional традиційним
sickness захворювань
devoted присвячені
word словом
head голова
other другу
poorly слабо
school школі
indicates зазначити
top корені
leader керівник
demography демографія
jews євреїв
which якої
spoke виступав
arteriole артеріола
pool басейн
magazine журналі
founded заснована
become стати
humanity людства
it їй
constitutional конституційний
popularity популярність
determined визначених
outside зовнішні
soviet радянською
replace замінити
dictionary словник
chernivtsi чернівцях
rog ріг
proper власне
refused відмовився
eldest найстаріших
kind видом
direction спрямування
strongly сильно
palaestra палестра
directed спрямовані
we ми
region району
lynx рись
dynamics динаміку
names імен
understanding розуміння
from из
different різного
diapason діапазон
data даних
viewing огляд
democratic демократичної
eternal вічне
educational навчальний
tens десятки
genres жанрах
world світовій
first першому
curve крива
determination визначень
real справжніх
influence вплив
film фільм
literature література
immediate безпосереднім
october жовтня
traditional традиційний
situation ситуація
situation ситуацію
popular популярних
ideas понять
implemented проводився
lived жив
chinese китайської
tsars царі
joined приєднання
programme програмного
special особистий
begin починаються
above над
linden липові
province провінції
chronicle хронологія
considerable значною
dynamo динамо
continental континентальний
characteristic характеристики
live жити
culture культурою
life жизни
foreman майстра
creative творчі
earnings прибутків
inhabitants жителів
him ним
songs пісні
governing правлячої
nouns іменника
algae водоростей
before перед
their їхнім
production продукція
councils рад
republic республікою
mysticism містицизм
cis снд
arguments суперечок
repeatedly неодноразово
wander пішов
other інші
institutes інститутів
unknown невідомий
retirement відставку
rostock росток
civil громадянська
intellectual інтелектуальної
started розпочався
orthography правопис
number номер
decided вирішив
italy італії
sum підсумками
name назвою
executed виконувати
their їхній
suburban слобідської
with участю
stood перебувала
sense відношенні
sexual статеве
technologies технологій
author авторське
poltava полтавський
oldest старших
possible можливе
mark оцінка
lines рядки
flounder камбалові
improvement поліпшення
government уряд
continue продовжують
processing обробки
learning вивченням
legislative законодавча
poetry творчість
syntagma синтагма
occupies займає
union унії
interact взаємодіють
socialist соціалістичних
cosmology космогонія
trip рейси
itself самій
french французькій
rare рідкісних
unity єдності
share частку
fighting бойових
sex секс
other іншому
sex сексу
english англійської
atom атом
determined визначають
versions версій
probably ймовірно
became ставав
president президента
premier премєра
sooner скоріше
language язык
existing існуючі
principle принципу
gases гази
becomes став
each кожної
i я
revolutionary революційного
basin басейн
squirrel білка
crimea крим
temperature температуру
rights права
axis осі
attached пристроїв
historical історичної
turned звернув
members учасники
ukrainian українськими
linguistic мовна
sculptor скульптор
oak дуб
proper власна
saved зберіг
poles полякам
ground ґрунті
disintegration розпаду
advanced виступала
frequent часті
extends простягається
owners власники
official офіційного
found зазнало
there наявності
architect архітектора
construct будувати
another іншому
symbolism символіка
do виконують
last останніми
losses втрат
public громадська
sulphur сірка
candidate кандидат
appeal заклик
nietzsche ніцше
marked відзначаються
develop розвиватися
informative інформаційних
surroundings середовищем
shares акцій
commercial ринкової
called називаються
atom атома
boat катер
valuable цінні
p. п
wall мур
resided мешкали
members членами
masonry масонство
equation рівняння
personnel персоналу
predominant переважна
pole тичини
education освіти
prince князем
realization здійснення
performance вистави
series серія
counting рахунок
dramaturgy драматургії
air повітрі
membrane оболонка
blood кров
problems проблеми
knowledge пізнання
quantity чисельністю
supremacy панування
free вільне
scotland шотландії
place міста
november листопад
progress прогресу
cellular клітинні
yanukovich януковича
lutsk луцька
repin рєпін
release випуску
remained залишилася
treatment лікування
norway норвегія
richard річард
clearly чітко
all усе
tells розповідає
iron залізничні
considering враховуючи
you тебе
design оформлення
used використані
regions райони
franko франко
donetsk донецького
intensity інтенсивність
profit користь
smithy кузня
special спеціальний
that тим
black чорної
leading провідним
reconstruction реконструкції
work роботою
paris парижа
full повну
second другої
world міру
cossack козацьких
cosmogony космогонія
climatic кліматичних
founder засновником
which якою
also ж
music музикою
rings кільця
difference різновид
juridical юридичних
their їхніх
technological технологічною
gentry шляхта
scientific вчених
financing фінансування
ukrainian українською
dimensions розмірами
guidance керівництвом
direction напрями
quantity чисельність
confident певній
first перша
moderate помірно
were ставали
buildings забудови
epitaphios епітафія
village stadt
show показують
learned пройти
authorities органам
control контролем
internal внутрішній
part частина
earthquakes землетрусів
drawing малюнок
sand піски
post пост
mining гірнича
construction конструкції
dmytro дмитро
next тд
le ле
damage шкоди
xix хіх
priests священики
nuclear атомної
war війну
branch філія
function функціонують
moscow московська
jamestown джеймстаун
politic політичні
already вже
return повернутися
such таку
having маючи
styles стилів
situation ситуації
relationships стосунки
quantity числом
investigations інвестицій
university університет
departments відділення
army армією
rules правил
overthrow повалення
competition змаганнях
educational навчальні
atlantic атлантичного
meeting збору
berdichev бердичів
courses курси
cell клітина
skeleton скелет
ritual обряду
centuries століть
regularly регулярно
conventions договори
river річного
stone камяних
cloister монастиря
first уперше
virus вірус
admits визнає
free вільна
allowance утримання
roads дороги
itself сама
project задум
guilty повинні
contains містить
economy економіці
description опис
became став
unique унікальний
hole свят
cold холодної
name арш
understanding розуміючи
periodically періодично
completion завершення
issue випуск
thousands тисяч
production продукції
translator перекладач
showed показано
sound звуку
page лист
appeared зявився
announced оголошено
substitute замінити
women жінок
throne престол
absence відсутності
hierarchy ієрархії
eternal вічний
experiment досліди
put покладено
movement руху
chiron хірон
sense почуття
union унія
electronic електрони
russia русі
comment комент
good добра
maxim максим
sets встановити
management управлінням
significant важливим
trades ремесел
english англійською
regions округи
ternopil тернопіль
political політичною
whose чия
european європейської
made зроблені
characterizes характеризує
style стилем
first першого
band бандери
moscow московське
learn вивчають
questions питаннями
facts факти
material матеріальна
tale казка
leading відомий
recommended рекомендується
developed розвинута
crete криту
kept збереглася
prose прозі
subjects теми
youth юність
cellular клітинної
may травень
regions регіонах
union унію
elected обирається
northern північних
structures структур
red червоних
sign слід
defects недоліки
jesus ісус
cult культом
because благо
occupies посідає
voice голосу
explained пояснити
october жовтні
georgiy георгій
orange помаранчевої
small невеликих
announcement оголошення
ivory бивні
flowers квітів
revolutionary революційної
devoted присвятив
refused відмовилися
gonchar гончара
field індустрії
walls стінки
television телебаченні
music музика
traditional традиційного
baroque бароко
leaders лідери
forming формувань
live живе
roman римську
factory заводу
romans римлян
first перше
december грудня
using використання
knows знає
gerbils піщанкові
cultural культурним
building будівельні
happened відбулось
ostap остап
see бачимо
professor професор
bulbar бульб
individual індивідуального
owner власник
clearly зрозуміло
provides забезпечує
slovakian словацької
ivanovych іванович
mechanism механізм
western західній
philosophical філософської
future майбутньому
literature літератур
passing проведенні
economical економічну
finance фінансового
educational навчальних
party партійних
made провели
red червоного
historical історичного
army військом
armies війська
other другою
lutsk луцьк
progeny нащадки
receives приймає
program програму
created утворений
department кафедри
staying перебування
kiev київський
enterprise підприємствах
factors чинники
all уся
nato нато
hitler гітлера
musicians музикантів
endings кінцівок
two ii
moderate помірного
throne престолу
attempted намагався
represented зображений
group групою
who котра
space космічних
development отримання
instrument знарядь
europe європі
occupied займала
february лютому
geographical географічне
crimea кримський
domestic вітчизняної
grave могили
literature літературу
garry гаррі
bible біблії
two дві
ammonia аміаку
found знайдені
transcription транскрипції
nuclear ядерної
red червоний
called називали
submission підпорядкування
briquette брикет
orthodox православного
reached дійшла
even навіть
phenomenon явище
harbour порту
workman робітників
language мова
high вищої
protons протонів
use уре
einstein ейнштейн
base засад
son сина
act діють
letters літери
known відомо
determined визначена
roads доріг
armed збройних
galician галицька
finally остаточно
middle сер
hemisphere півкулі
imprisonment увязнення
enterprise підприємства
publishing видавничий
adversary противника
indonesia індонезії
relies спирається
lavra лаври
procedure процедури
globe кулі
tribe племя
efforts зусиллями
english англійський
scientific наукового
revolution революції
instrument інструментів
geometry геометрії
flag прапор
dnipro дніпрі
realize здійснюють
florence флоренції
religious релігійне
statistics статистики
central центральному
artificially штучно
personally особисто
tatars татарами
lower нижчих
pollution забруднення
ecological екологічних
breaking порушення
quick швидке
feedback звязок
located розміщені
existed існували
planned планується
internal внутрішня
quickness швидкістю
switzerland швейцарії
daughter донька
verona верона
foreman майстрів
industry індустрії
wealth багатства
government урядові
ways способами
carry відносять
svyatoslav святослав
came дійшли
contemporary сучасну
thousand тисячу
orientation орієнтації
total підсумками
for впродовж
exterior зовнішнього
temporary тимчасового
roads шляхів
th х
complied упоряд
aristocracy пізнати
streams потоки
bastion бастіон
judicial судової
behaviour поведінку
genesis генезис
moscow московської
rural сільське
strong сильних
them їм
placed ставилися
offer пропозицію
content змісту
interference втручання
publisher изд
participation участю
podolsky подільська
practice практика
example приклад
massif масиву
bargains угод
churches церков
temperature температурі
socially суспільний
occupied займав
proper власну
automatically автоматично
cultural культурний
kind добро
pupils учні
consumers споживачів
leading провідна
moment моментом
autonomy автономії
result наслідок
order порядку
iron заліза
race раси
clarify визначити
tribe племенами
suspension припинення
assignment надання
father батьки
got отримало
substance речовин
aspect аспект
outlet виведення
obtained набуло
all усю
important головних
act акту
followers послідовників
occurrence випадку
main головним
met познайомився
saint святого
dominion володінь
small дрібні
hundred христа
chief главою
covered вкриті
foreign зарубіжних
joint-stock акціонерні
defence оборона
principalities князівстві
growth зростанням
trip подорож
belongs належить
saeima сейму
are йдуть
enter входять
danger загрози
minority меншин
religious релігійних
triangle трикутник
teachers викладачів
profoundly глибоко
liberal ліберальна
similar схожі
expressed виразів
silver срібла
call назвати
zeus зевс
castles замки
magyars угорці
noticeably помітно
increase збільшення
principalities князівств
tourists туристів
match матч
other іншу
older старший
meetings засіданнях
talks говори
church церковні
troy трої
side стороні
way способом
formation становленні
military військовій
distinguished відзначаються
ordinary звичайні
conditionally умовно
could могло
foods харчування
mitchell мітчелл
application застосуванням
greatest найбільші
relationship стосунків
mechanisms механізми
reason підставою
august серпень
substantially принципово
theorem теорема
know знати
sculpture скульптура
marks приводу
names іменами
collection колекція
immigrants іммігрантів
king королем
under под
whole вся
his его
operation операція
management менеджменту
water воді
goods товарів
depot депо
affirmed затвердив
rural селянських
kolomyia коломиї
kinds види
organs органів
offers пропонує
stage стадії
enzymes ферментів
picasso пікассо
owners власників
family родині
route маршрути
mass масового
alphabet абетки
insurgent повстанської
epitaph епітафія
short коротка
communication звязку
used вживали
formation становлення
bonds облігації
scientific науковому
characteristic характерне
congress зїзд
real справжню
achieved досягло
grew зріс
where де
idea ідея
weather погода
as как
proper власної
metals метали
grigorovich григорович
followers послідовники
assisted сприяв
century століття
highest найвищі
tens десятків
medical медична
danger загрозою
early раннього
television телебачення
architectural архітектурні
advantages переваги
world міра
father батько
meeting збори
predominate переважають
decay занепад
moral моральних
bible біблія
kept збереглися
religious релігійна
remembered згадуються
investment інвестування
poltava полтавська
cossacks козацтво
mars марсі
result результат
circumstances обставини
effect ефект
private приватними
future майбутнього
diplomatic дипломатичні
government уряди
language мови
passed проходили
preparation підготовка
renewal відновлення
confident певному
wine вино
medieval середньовічної
approved затверджено
negotiations переговори
bishops єпископів
geomorphology геоморфологія
attempt спробу
change змінюється
description описи
prospecting розвідки
stages етапів
deeper глибше
combinations сполук
siberia сибіру
eggs яєць
musical музичних
relations взаємин
trade торговельні
genealogy родовід
persons особами
religious релігійний
symbolize символізує
further подальшого
classic класичного
monarch монарха
ornaments прикраси
roots коріння
appearance появою
here тут
poems віршів
art мистецтво
languages мовами
faculty факультету
time часі
frank франка
oldest найдавніших
popular популярними
eagle орел
artist митець
union спілки
famous найвідоміших
colours кольори
white білої
bones кісток
factory фабрика
to змогу
party партій
slave раби
cinema кіно
economics економікою
close близька
institutions установ
obtained набула
regime лад
massif масиви
stone камяний
minimum мінімум
crisis кризу
beginning початку
shower душ
direct напрямі
great великій
land сухопутних
long довгі
aegis егідою
italy італію
three трьома
romans римлянами
remained залишалося
players гравці
bad погано
standards стандарти
accomplishing виконав
got отримали
danger загрозу
machines машини
companion дружини
florence флоренція
personally особисте
statistics статистика
hymenoptera перетинчастокрилі
storing зберігання
played відіграв
discoveries відкриттям
yana яна
tsar царів
theogony теогонія
sounding звучання
state штат
ancient античні
learn вивчати
leaf листі
childhood дитинстві
payment плата
present теперішнього
and und
century сторіччя
internet інтернет
not ні
sorts сорти
participants учасники
weeks тижні
archipelago архіпелаг
italy італія
shores берегах
routes маршрути
called зв
popular народне
process процесу
country країни
named звані
austria австрія
participation участі
existed існувала
contradictions суперечностей
famous найвідоміші
industrial промислового
literature літератури
europe європою
technology технологій
duty чергування
kazakhstan казахстану
college училище
item пункт
remains залишається
plain рівнини
characteristic характерна
task задачі
christmas різдва
latin лат
determined визначено
religious релігійним
enters вступає
dignity гідності
footnotes виноски
planet планеті
idea ідею
forest ліс
serpent змії
albert альберт
adopted прийняті
little трохи
for заради
oil нафтових
increase збільшенням
comparatively порівняно
lectures лекції
forming утворюється
stylistics стилістика
vedas веди
nights ночі
current струм
moore мур
examination розслідування
goes іде
think вважають
contradictions суперечності
contains містити
outstanding видатних
enemy ворогом
populated заселена
inheritance батьківщину
historical історичним
petroleum нафт
library бібліотеці
essay нариси
athens афіни
many безліч
old старий
salvation спасіння
marks марки
nigh близьких
lost загиблих
transcarpathian закарпатська
panteleimon пантелеймон
management менеджмент
independent незалежних
recommend рекомендується
grew зростала
leucine лейцин
catholicism католицизм
concepts поняттям
levitsky левицький
ensures забезпечує
give надають
thrace фракія
capital капіталу
language мову
accepts визнає
genes гени
dependent залежні
create створюють
cleanly чисто
orthodox православної
ribosome рибосоми
large великої
parts частини
fights бої
bargain угодою
countries країн
act акта
tiger тигр
george георгій
theorem теореми
method методу
scientific наукові
base основне
obtained здобули
brother брат
ancient давній
known відома
wedding весілля
received здобула
factories фабрики
copper міді
maps карти
status станом
closing закриття
fight боротьбою
owner власника
rights правах
energy енергії
our нашого
real справжні
packing укладення
festival фестиваль
commercial торговельні
other інша
alcohol алкоголю
mountain гора
found знайшов
primitive найпростіші
consonant приголосний
human чоловіком
end закінчення
wimbledon вімблдон
wealth багатство
polish польську
literature літературі
antarctica антарктиди
late пізніші
community громаду
variety різновид
july липень
himself самим
regions регіонами
moldova молдова
interpretative тлумачний
sage шавлія
original своєрідною
argentina аргентина
positions позицій
institute інститут
serial серіалу
drink напої
union спілка
linguistic мовні
divided діляться
lina ліна
radio радіо
flower квітка
hetman гетьмана
june червні
genista дрік
height висотою
british британської
islands островами
area площа
proper власні
world світу
parks парки
nervous нервова
games іграх
arno арно
produce виробляють
ruins руїни
find знаходять
exceptionally винятково
academy академії
conference засіданнях
matter матерія
not ані
facts фактів
strong сильний
