crum vụn
category trù
sharp buốt
brick gạch
from khỏi
history lịch
cram nhồi
love tình
n gái
leak thẩm
left chừa
v. chống
typing gỡ
cycle chủ
extend giãn
investigate tra
tooth răng
ripe chín
underarm nách
spread lằn
v. rên
profuse rộ
hung hùng
favorite chuộng
king vua
clearly rệt
both cùng
n. yên
un lhq
want muốn
n. buýt
entirely toàn
mucous nhảy
table bàn
fibers sợi
magnifying lúp
v. tốn
n. heo
warehouse kho
leave chừa
gently dàng
measure đò
flow chảy
grow trồng
ngo ngộ
anus hậu
well-known lừng
control khống
mangrove đước
ash tro
v. mệnh
n mối
injured vong
shallow cạn
you anh
noisy ĩ
lane làn
thanks nhở
lamentable đát
socialism cnxh
coordinator phới
smooth nhẵn
omelette ốp
worker công
n hang
turn nẻo
v. đảm
le lê
minutes phút
error lôi
dieu diệu
should lại
drink nhậu
bend gập
permit phép
professional chuyên
bathing tắm
bottle hũ
seventh bảy
easily dàng
desire thèm
n. thằng
n. chùy
help đỡ
fan hâm
sam sẫm
flat dẹt
tiny xíu
live sống
v. nắm
gott dà
virtuous trinh
freezing băng
film váng
fight chiến
millimeter mm
hidden ẩn
fig hỉ
terrorist khủng
split tách
n cây
career nghề
v. cúi
kick đá
shadowed khuất
see thấy
cycle chừ
swell sưng
v. hỏng
six sáu
disorder xáo
advisors mưu
coffee coffea
cry lóc
trap bẫy
bot bọt
jewish thái
v diện
mediocre xoàng
ving vĩnh
difficulties chông
lean nghiêng
sa sã
terrifying rùng
hollow rỗng
headlines tít
tease cợt
blow cú
turn quay
le lẽ
n. chuột
frequency tần
stumble vấp
dien điên
cassava sắn
pebble sỏi
professor gs
v. hãi
display phô
pole cột
after nom
n. họ
convention quy
helpless chịu
v. cố
holy liêng
damage thiệt
loose lỏng
n. diên
contributed góp
dt đt
gibbon vượn
n. rạ
wi-fi wifi
trend khuynh
busy rộn
chang chặng
century kỷ
viscid nhớt
alkynes ankyl
committee ban
surround vây
slanted chếch
professional chuyến
aluminum nhôm
yucatan yucatán
n. ngạch
she chì
manuscript cảo
v đoán
company ty
union xô
theater hí
stuffy ngạt
mocking mỉa
bunker boongke
reluctant lự
chicken dậu
bellow xãy
lake đầm
chain xiềng
tight chặt
n. chàng
picky kén
advanced nâng
command án
two hai
uterus cung
carbides cacbua
wart hột
down xuống
curse chửi
ore quặng
v nghỉ
thanks nhờ
support ủng
adj thực
criticize phán
flap vạt
nhat nhạt
guard gác
painful nhức
gloomy ủ
wife thê
polynesian polynésie
reward thưởng
five ngũ
v. hãn
bleach tẩy
adj giận
ecstatic ngất
wing cánh
curious tò
meat thịt
n. sẹo
minimum thiểu
pursue rượt
n. hợi
choose lựa
loss sụt
n. thiện
refuse chối
deed ân
trial phiên
v. sủi
through xuyến
lie nằm
happened xảy
v. dìu
research tòi
cropping xén
uncle dượng
n. hán
joyously tưng
hien hiến
deep thâm
toad cóc
v. teo
use dùng
loud ảo
destroy phá
v. khởi
lenin lênin
cool mát
reject hắt
victory thắng
ruined nát
v. tòi
n. năn
origin nguồn
threat doạ
mac mắc
v. chớ
curious thắc
overturn loát
glare ánh
n. siêu
hue huế
protein prôtêin
game hí
throat họng
straightforward thắn
cover nấp
hole hổng
pubescent dậy
rat tý
roaring ầm
tuyen tuyển
spread xòe
meager bạc
philosophy triết
sweep quét
please hãy
v dấy
spread sải
launch khởi
poor bần
limit hạn
lost thua
oneself mình
karst carxtơ
publisher nxb
stripe vạch
constraints khăn
involved gia
guava ổi
dune cồn
woman bả
nest ổ
pharaoh pharaon
elbow chỏ
dawn hừng
nude khỏa
abrasions trầy
cover trùm
home nương
n. quần
job nghề
band dãi
salt muối
break gãy
unload dỡ
thiem thiểm
answer đáp
decay rữa
lower hạ
word câu
kite diều
though dẫu
train rèn
key chìa
herd xua
tough dai
oily nhờn
worry lo
ammonia amoniac
tangerine quýt
body thây
aphid rệp
hometown quán
noise ồn
distinct biệt
pledge thề
conflict cấn
chilled ướp
light nhạt
fibre xơ
millimetre mm
beauty tửu
methane mêtan
bear sanh
wander vẩn
she chị
v. đúc
goat đệ
thuy thúy
undertake đảm
block khối
tiger cọp
read đọc
act vi
n. ngôn
story chuyện
throughout suốt
bay vũng
face đối
humiliate bẽ
no hề
n. ư
wake thức
picture họa
sour chua
study học
to sang
hard chăm
n. uy
chaos độn
exhibition lãm
shoes giầy
n câu
hoi organization
bought tâu
blazing chang
n. nhựt
posture giương
inhalation hít
funds quĩ
gather sum
n. thê
nurnberg nürnberg
indiscriminate bừa
empty hết
training huấn
ruin nát
brain óc
v hiếp
miserable khổ
event kiện
n kết
the diện
panic-stricken hoảng
long dằng
attached kèm
v. hoại
prison giam
brain sọ
gaul gaule
acute nhọn
in ở
factors tỏ
trip chuyến
wings cánh
patchouli hoắc
thorn chông
what gỉ
huge sừng
basket rổ
purposeless vướng
sparkling sủi
budding chồi
frequently xuyên
stand đứng
harvest thác
posthumous cảo
than so
repeat lặp
dense đậm
expensive đắt
side bên
cut chém
award thưởng
ashes tro
invasion xấu
n. enzym
shrink teo
temporary tạm
v. cợt
surprise ngạc
thigh đợi
flood úng
explanation thich
v. nhòm
sorrow phiền
dune đụn
nu nụ
silent im
n. lòng
n. rêu
spongy xốp
n. lệ
eager háo
chapter chương
make khiến
syphilis giang
lime vôi
chap chập
relaxation nghỉ
cruel rợ
fog sương
blurs nhòa
n. chìa
record lục
chili ớt
place vực
workers thợ
v. phình
infect lây
alone độc
grip khư
unconscious ngất
effective hiệu
for để
dam dập
neat gọn
flatter nịnh
exploits lọi
famous lừng
fever sốt
wine tửu
deaf điếc
different khác
xa away
attractive rũ
oven giặt
spectacular ngoạn
threat đe
who đấng
resound lừng
v quấy
russian ngà
however tuy
v. nhét
n. niềm
has đạ
efficacious linh
amplification khuếch
rush ập
adj cay
spoon thìa
n. lục
west tây
transport tải
mute câm
four tứ
v. toát
soundly ngon
get giành
exciting sôi
trick mẹo
v. chìm
czechoslovak tiệp
lead chì
excuse thả
sorry xót
volume quyển
mount gắn
soldiers lính
bud búp
threaten nạt
menstruation nguyệt
blind mủ
sand cát
saigon gòn
emerge nhô
before trước
careless bừa
n. chấu
dim mịt
lip môi
read xem
n. lầu
much nhiều
hurt đau
vo võ
extravagant ngông
people dân
v. nhen
som sớm
n. chữ
overcoat choàng
tidy tề
give nhượng
block chận
it nỏ
crescent liềm
adrift lênh
soft mềm
giang giăng
time thủa
v. phạt
n. mả
n. nành
nibble núm
v. nhấn
v. thỏa
stupid nghếch
coordinator phổi
silk gấm
platform tảng
or dấy
n. cô
genital sinh
channel kênh
decrease bớt
jam kẹt
temple đền
crazy điên
whip roi
lean nạc
thanks cám
stag hươu
iron sắt
face úp
vegetarian chay
bar thếp
stop ngưng
ne nê
rare hoi
n bi
coast rìa
calm tĩnh
v. tắt
praise tâng
glossy mượt
n vạt
v. giở
hamlet ấp
n. đòn
messy bừa
about cỡ
ride cưỡi
n. trắng
deny chối
page trắng
cu củ
colon trảng
rhymes vẻ
understand hiểu
observe sát
n. roi
horn sừng
n. thuỷ
department cục
axis trục
book kíp
except trứ
eal lươn
strengthen cường
prison ngục
compromise thoả
use sử
loss hụt
contact liễn
for cho
n. đoạn
n. đột
n. nguồn
cloud mây
mat mật
suffer đựng
business kinh
glue gắn
pick vớt
hydro hiđrô
an ẩn
color màu
mistake nhầm
other kia
n. tất
v. miễn
sickle liềm
crush bẹp
dedicated tận
prone chúi
available sẵn
cum cúm
adhere quyện
shake lung
neighbors xóm
bubbling rì
bacterium khuẩn
other khác
court triều
reach đạt
hemorrhoids trĩ
cult sùng
incite xui
convenience tiện
christ kitô
thuy thụy
fixed cố
raise dựng
yao điêu
at át
nine chín
v. xóa
die chết
n. khỉ
completed xong
take lấy
enduring bền
roof-top nóc
haft nửa
some vái
section khu
what gì
adj nhí
radiant hớn
charm bùa
complete vẹn
sensitivity buốt
n. heli
everyone nấy
man mạn
youth trẻ
n. nhũ
farmland ruộng
exploit thác
alternate xen
vo vó
article ðiều
eight bát
glass lỵ
stink thối
secure giành
on bật
belt đài
genealogy phả
bubble bọt
redundant thừa
v. gào
method pháp
n. tinh
construction xây
n. khía
v đốt
carve khoét
therefore nên
easy dế
neighbours xóm
v. xoa
early sớm
n. tên
pig lợn
baby bé
noise nhiễu
catch túm
v tới
slang lóng
v. nhấc
exterminate hủy
direction phương
statue đài
n. khoanh
fall xìu
v. dọa
v đấm
snoop dòm
well giếng
opium phiện
dump đổ
destroy diệt
v. xỉa
relationship quan
coriander ngò
n. cậu
survival tại
v. thua
directly trực
less bớt
n. lị
eel lươn
v. cáo
n phút
han hằn
straw rạ
v. đứng
exist tồn
subscribe dõi
occur xãy
n dốc
dang dạng
harass quấy
nickel nikel
discover khám
vase lọ
rapids ghềnh
rough sùi
v lây
teeth sún
rope lọng
mansion thự
mortar cối
overcome vượt
out bỏ
n cam
what sao
adj trương
document tờ
biography tiểu
it nó
shout hét
peace thán
disgust ghê
sunken lõm
treasure báu
hydrogen hidro
second phó
below đây
k-pop kpop
upper thượng
trace dò
mold mốc
turbine tước
short ngắn
killing chóc
girl gái
think nghĩ
aileron liệng
need cần
round vòng
county quận
region vụng
back lại
bigger >
pickup nhặt
closely chặt
n. cấp
riot náo
slow chậm
path lối
odd lặt
slope dốc
pig hợi
book cuốn
particular riêng
characterized trưng
key then
weak yếu
jar hủ
now nay
turtle rùa
dispose thải
where nơi
embassy sứ
v. đắp
dark mịt
rome rôma
cu cù
chairman tọa
v. gài
punch đấm
covert vụng
refined hoán
n. mun
count đếm
spiritual liệng
port bến
wine nhậu
faith niềm
v. tuông
whole toàn
buy mua
size kịch
world gioi
the khu
box hộp
competition tranh
posts ớn
rooster dậu
ruler thước
galangal riềng
month tháng
abstinence kiêng
submit nộp
block chèn
junior nhi
tender yếm
strain chủng
delete xoá
build vóc
n. liễu
member viên
myanmar miến
blindly quáng
name johannesburg
suddenly thình
lustful dâm
pick lượm
skewer xiên
fluid dịch
and rối
v. rớt
cord dây
difference chênh
through suốt
feed dưỡng
wrong lộn
standard mực
grinding mài
sac bìu
vinegar dấm
mile dặm
v. chữa
rodriguez rodríguez
scare sợ
extreme nghiệt
basin chậu
lucky hên
edge lề
vote bầu
complicate rắc
tray mâm
raise nâng
paper giấy
tendency khuynh
colour màu
temple miếu
provided quỷ
crush nghiền
far xa
it nở
penetrate xâm
sure ắt
roasted rằng
stage khấu
n. bọn
adj xưa
seem dường
hydrogen hiđrô
today hôm
redeem chuộc
massage xoa
borrow vay
stick dính
curtain màn
delicious ngon
interval quãng
river sông
bisexual lưỡng
ket kẹt
bending uốn
ridicule giễu
neuter thiến
coal than
pseudonym bút
third iii
upwelling trồi
pee đái
dual kẹp
n. ván
surely ắt
hurriedly vội
adj cam
contention ganh
statistic kê
vain uổng
dry sấy
cost phí
hesitate ngần
also mà
v. gội
n. nhứt
base bazơ
disease tật
v. bọc
tools cụ
patient nhẫn
v. phồng
children cái
farmer nông
turkey nhĩ
slave tớ
special biệt
grab túm
mince băm
christian kitô
children nhi
gather tụ
hide núp
drum trống
palm cọ
chaos xáo
mud bùn
pot niệu
stun sửng
gossip phiếm
influence hưởng
direction đằng
vestige dư
approximately xỉ
respect kính
show bày
colorful sỡ
feed nuôi
v. kiềm
ferret chồn
smoke khói
wet ẩm
nerve dây
n. ôxy
suffocating ngạt
n. măng
gentle thoai
profit nhuận
n. collège
cavity hốc
pierce đâm
boat thuyền
choi play
yield nhường
rich giàu
absence vắng
kindergarten mầm
target nhấm
three ba
past khứ
carbonate cacbonat
dentistry nha
doctor bác
occasionally thỉnh
language tiếng
v. vái
corruption hỏng
love yêu
sunk sụt
tiger hổ
tuber củ
bamboo tre
erosion xói
complete đầy
n. cái
tank bể
appear nảy
end chấm
stick gậy
that đỏ
mace chùy
upturn lật
throw quẳng
to tơi
soviet xô
n. râu
crab cua
weave dệt
ladder thẳng
transmission truyên
pregnancy thai
luck phước
fill lấp
nourish nuôi
ease dịu
sun nắng
wallet ví
follicle nặng
v tỉa
tub bồn
medicine thuốc
relationship mối
n. ghềnh
ability năng
follow theo
soc sọc
luck mắn
tired mỏi
dolphin heo
muslim hồi
strawberry dâu
- −
penis dái
abdominal bụng
roman rôma
back ngửa
touch chạm
roof mái
v. ngưng
oil dầu
n. luồng
pace chạp
strap quai
smell mùi
barking ngáng
fillet nạc
hear nghe
hau hầu
happen xảy
the cách
stick que
indirectly gián
treat chữa
brilliant hách
lie dối
principe príncipe
class lớp
adj đẫm
rape hiếp
point chĩa
glutinous nhầy
fat béo
weight cân
cautious dặt
aspect khía
shout thét
th mùng
v. còn
roasted rang
esoterica kíp
glossy mướt
main chinh
species chủng
hardship khổ
abstinence tiết
satire phúng
jar chum
perform thực
tire mệt
avoid né
salvage vớt
n. thau
short vắn
v. lãm
constraints khấn
pancreas tụy
difficult nhọc
venture mạo
acquire thâu
foundation nền
marrow tủy
extend dãn
cuc cục
base tảng
canon diên
pierce xôi
n. shikoku
movie phụ
well-behaved ngoan
n truyện
underground chui
them thèm
deterioration thoái
beauty diễm
rock đá
porridge cháo
nirvana niết
n. tật
distress truân
cang càng
favor chuộng
carbon cacbon
n sư
tennis vợt
beat phách
ship tàu
khu khư
v. cộng
tangerines quýt
n. thự
alcohol cồn
send gắm
combination thoa
build xây
carry gồng
goal đích
gold vàng
great vĩ
wave đợt
commission ủy
difference lệch
nine cửu
or sụt
unfurl giương
love quý
scandal đan
raid càn
dish món
switzerland zürich
that kìa
situation tình
n. hôm
thin thìn
violet tím
tens mươi
invasion xâm
soul lòng
knife đảo
sale bán
strong nồng
blind lòa
v. mến
double đúp
net ròng
eliminate dẹp
knock phăng
dogs chỏ
issue vấn
in-law rể
leng ieng
reputation tăm
mixed cẩm
n. khủng
fast toang
lava nham
brake phanh
opium phiến
v. gom
continental châu
part phận
pot chum
abdomen bụng
bear gấu
verbally chửi
v. giám
stone đá
n. chỏ
v. rời
similar tự
atrophy teo
travel dụ
leap nhuần
hubris ngạo
excited háo
or lộ
vow thề
eyebrow mày
group đoàn
vagina âm
stage khâu
plan kế
already đã
date nhập
n. chú
will sẽ
agent trung
lung phổi
down xuôi
smell ngửi
aim nhắm
this nầy
thanh thạnh
sharp nhọn
bud chồi
n. khiếu
credit tín
drug túy
14 xiv
incomplete dở
capable đảm
activity hoạt
v. mang
n. tài
v lắp
name tên
benefit ích
nonetheless tiểu
day dạy
n. ren
trai trãi
both cả
adj thừa
n. đèo
happy hạnh
crowded chội
wrap bọc
n. bìu
adj tí
nature thiên
bad tệ
kilometre kilômét
casualty vong
widow góa
dense rậm
draw ngấm
cut gọt
rang rặng
shoot bắn
crow quạ
that thật
inu inư
automobile ôtô
n. kế
love luyến
n. bữa
treacherous tráo
n. nguyệt
v. xé
n xứ
pack thồ
hap hạp
dragon thìn
v. hạp
jackets khoác
n. phin
lu lự
cage chuồng
carbide cacbua
wrongfully oan
barrel thùng
urgently riết
n. mực
that ấy
healthy lành
depression thoái
socks vờ
v. nháy
housefly ruồi
song khúc
n. voọc
grill nướng
ignore kệ
jealous tuông
copy chép
soy nành
stunned choáng
neighboring giềng
horizontal ngang
beans đậu
winkle moi
cambodian kampuchea
see thầy
letter chữ
n. chóp
doland donald
still riết
teaching dạy
burn cháy
v dời
labels hửu
buc bục
but những
phang phẳng
debris vụn
n. kiếp
send gửi
mix tạp
alley ngách
ruin lụi
theater kịch
v. nổ
exhaustive rành
determined kiên
roast rang
foreshadow điềm
sonorous sảng
protect vệ
n. liệng
old lão
finding rà
shy nhút
suddenly thoắt
begin bắt
n. văn
strict chẽ
nimble nhẹn
free nhàn
times phen
mischievous ngợm
heat nhiệt
burden gánh
vocabulary vựng
straight thẳng
l. l
v. vướng
session buổi
mounds giồng
child đứa
rent thuê
stay trữ
inclined nghiêng
cover đậy
against chọi
pressure ép
v. ưa
sharp bén
showy kiêu
n. dãy
scream gầm
spiders nhen
satirical phúng
germ phôi
forehead trán
set cải
soften xiêu
n. bia
tens thập
v. cắt
cold cảm
pedigree phả
eccentric ngông
set cài
anywhere đâu
meticulous mỉ
threaten hù
machine cói
explode nổ
labor lao
fast mau
speak thốt
but sông
loved mến
n. biện
osmotic thẩm
miserable khốn
n. banh
posture tư
good hảo
mo mô
cross bắt
crazy rồ
relax lỏng
cold buốt
corner khoẻ
severe nghiêm
guy kẻ
orphaned côi
position vị
sex giới
individual nhân
agreed thoả
n. răng
declare khải
bottom đáy
pleistocene pleistocen
dangerous nguy
n. trỏ
ski lướt
turbine tuốc
skin da
carry măng
turn xoay
vietnamese việt
puzzle đố
n. bang
plug cắm
n búp
beetle bọ
imitate noi
enzyme enzym
each tưng
health khoẻ
tomb lăng
belly bụng
v. xách
worms giun
business tắc
restaurant quán
minority thiểu
salami xíu
smile mỉm
wonder khoăn
n. kỉ
stuck kẹt
n dơi
merger sáp
title tước
touch vê
phan phẫn
rub cọ
top ngọn
n. khả
idiotic nghếch
plain đạm
very vô
still còn
sleep giấc
pain nhức
roll xắn
rom rốm
agreement quy
culture văn
save kiệm
depend tuỳ
n. ghẻ
marble cẩm
principle tắc
v. nhắc
desire ham
white trắng
take nắm
california berkeley
ancient xưa
press ép
spider nhện
embezzlement nhũng
back lui
military quân
stream suối
v trăng
accumulated lũy
definitively thừng
v. ủi
suddenly chợt
no không
convenience êm
v xài
theatre rạp
all tất
n gạch
peep nhòm
late trễ
key khỏa
kilometers kilômét
porous xốp
storehouse kho
chrysanthemum cúc
equality đẳng
stroke quỵ
village láng
ox ngưu
anxious chồn
nourish dưỡng
hero hùng
english tiếng
wise khôn
child trẻ
the đấng
smooth êm
cream kem
v. cắm
crushed nghiền
tent túp
wind gio
appeal kêu
vientiane viêng
control khiến
formal qui
addict nghiện
adj ngoại
virgin trinh
how bạo
nitrogen nitơ
wall vách
meeting họp
significantly rệt
v. hao
stunned sửng
hades diêm
corruption nhũng
trend hướng
demon quỳ
saint thánh
armed vũ
ask kêu
appeal kháng
of hoả
war chiến
reference khảo
worse sút
expand trướng
n. cháu
hide nấp
uninhabited hoang
nonsense vẩn
n. áo
weary mỏi
list sách
circle khoanh
sudden đột
nam nậm
line ranh
canine nanh
by nhờ
key mấu
embroider thêu
jute đay
ragged tơi
area vực
ngai ngãi
pull giằng
accessibility cập
like thú
n. hông
rungs nặc
n. phẩm
wrong sai
pedestal bệ
youngest út
it cntt
sex tình
v. khảo
v đảo
uncle chú
lair huyệt
n. nắp
mutual lẫn
universe trụ
rights quyền
coast bờ
active vận
vo vớ
fake nhái
interlaced chịt
batch lô
n. thước
rut rút
ask cầu
patience nhẫn
sucking mút
v trộn
russo chiền
life kiếp
v. học
investigation tra
steal cắp
appropriate xứng
tense go
evidence chững
four bốn
fringe tua
v. gợi
chill rùng
phan phản
mention cập
n. bà
favorite ưa
excuse thà
monk lữ
bundle bó
famous trứ
career nghiệp
abstinence cữ
valuable báu
n. triết
n xoan
n. tuyết
v. tha
trouble rắc
usually xuyên
oxygen ôxi
button nút
quickly lẹ
to tận
describe tả
recommend nghị
v. mút
shelf tủ
olive ôliu
because bởi
spray phun
careless cẩn
n. tặc
surface bề
the bắn
theory thuyết
semen trùng
vung vũng
honest thà
v. nằm
inlay dát
poach chần
adj quý
superior ưu
mistake lỗi
aging lão
heat sưởi
strick chẻ
sign vết
rub chà
office phòng
initially thoạt
v tập
bored chán
non- phì
reproductive sản
v. vờ
firefly đom
gloves găng
bright ngời
n. quặng
district quận
v. phun
nutrition dĩnh
tip chóp
washington seattle
rungs nấc
eighth xiii
even đều
to muốn
n. lớp
horse ngọ
especially chí
old cú
hormone hoocmon
lot lô
around vòng
v lắc
trust tín
contact xúc
pick xỉa
any cứ
stagnant trệ
papyrus cói
rhymes vè
way nẻo
optical quãng
erase xoá
male nam
waive khước
diluted loãng
n. kẻ
old già
behavior hạnh
mean hòng
group nhóm
close chặt
normal thường
canal rạch
silly vớ
convex lồi
n. căn
coiled xoắn
branch nhánh
hatred hận
edge biên
district ấp
devote hiến
shoulder vai
clear ràng
complete trọn
nationality tộc
memories kỉ
stink hôi
train đào
tag thẻ
daring liều
sexuality dục
artillery pháo
woman gái
cool nguời
page tráng
add thêm
harmful hại
provoke xướng
n. bì
approximate xấp
n. nairobi
lift nhấc
army quân
n. tước
teacher thầy
wasted uổng
grilled chả
barn chuồng
pollen phẫn
release lò
grind xay
visualize mường
n. tá
n. xe
v chở
detest căm
how bao
beautiful xinh
hard vả
vehicle cộ
cd đĩa
lessen gọn
vietnamese viet
package gội
disassemble dỡ
lozenge thoi
v ghì
rail ray
reaction phản
puffs nhát
soup súp
cluster cụm
long dài
margin lề
pride kiêu
n. quan
sabotage hoạ
prevent chặn
hurry vã
isle đảo
drop rớt
foolish rồ
grating chướng
pursue đuổi
manage xuyến
deep sầu
n. sú
countless vô
symbolic trưng
liver gan
station bến
lane luồng
phillip philip
team đội
strength sức
v. ưng
n. cúp
sell bán
scandal xì
old cổ
shoot chích
disgust bỉ
complain phàn
adj đủ
museum tảng
n. số
mussel hến
cambodia campuchia
ground xãy
angry giận
name |tên
circle cung
mo mờ
present biếu
bureaucracy liêu
n. phao
these các
corpse thây
adj ngứa
flipped lôn
n. vọng
go đĩ
unique đáo
correlative tương
press ấn
non- phí
bow cúi
n. cúm
write ghi
so sơ
contract kẻo
stir khuấy
n. huân
sesame vừng
seems vẻ
v. dường
flute sáo
court tỏa
brag khoang
get mắc
also cưng
birth sanh
n thịt
age lứa
severe nề
solution giải
turbid đục
subside lún
wrong lầm
dispositions khuynh
buddhist thiền
any bất
even thậm
adj hôi
mind óc
dark thẫm
medal huân
n cảm
represent miêu
n. edgar
approximately khoảng
n. bẫy
n. lai
cunning quyệt
appropriate chiếm
viscosity nhớt
treat đãi
advice lời
decade thập
sister chò
climb lẻo
maggot giòi
despise khinh
deck boong
release xả
ho hồ
eel chình
confirm khẳng
injection tiêm
hide náu
bulb củ
nhon nhơn
appearance dấp
n. biếm
nod gật
glorious oanh
devotees sùng
although tuy
adj trễ
oversea kiều
n. màu
vessel mạch
shameful thẹn
gulp ngụm
clear xóa
itch ngứa
speak nói
bacteria khuẩn
break gẫy
or nước
v đá
mosquitos muỗi
v. xìu
training đào
meal bữa
hurry vội
precious quí
hesitant ngại
brazen lì
reaction ứng
cost tốn
uneven chênh
back đằng
n. nghìn
n. nỏ
usual thông
thing vật
statistics kể
ash mun
lesson bài
subject đề
mix trộn
n. biến
chatting xao
university đh
just thoạt
rest ngơi
hash băm
king trẫm
n. tiền
v. nạo
pick cuốc
that kia
rem rèm
rai rái
republic hoả
flippant sã
sister chị
v. nghênh
n cải
tendency xu
quantity số
software mềm
bird chìm
adj dầy
arrange dàn
cyprus síp
statistics kê
basalt bazan
chase rượt
shortsighted thiển
v. luộc
welcome rước
cat mèo
context bối
thing việc
afraid hãi
oxygen ôxy
class cấp
noodles mỳ
exist tổn
lesbian les
crown mão
silver bạc
edgy nghếch
outstanding bật
n nước
crack nứt
not chứ
ngan ngần
task nhiệm
bright sủa
n. rằm
n. nô
n. chiếc
n. ca-lo
loss hao
v câu
organ phận
n. dữ
at ở
or ngoại
chain dãy
diagonal xéo
architecture trúc
community cộng
flooding ngập
flagship hạm
accept chấp
mango xoài
grow mọc
dish dĩa
fan quạt
numb tê
jubilant tưng
n. cửu
diem diêm
lice rận
rampart luỹ
n. quẩy
tokyo tōkyō
reliable uy
n. thi
dull đần
define định
no cọ
sports thao
noun steiermark
advantageous thuận
insert nhét
bat dơi
anguilla chình
zinc kẽm
monitoring trắc
n. nách
school học
north bắc
fry xào
n trà
chamber buồng
trade thương
club clb
v. rê
fire lửa
who kẻ
flat phẳng
pretend vờ
scattered tẻ
arab rập
andre andré
beef bò
sea khơi
poke chọc
sad bã
n. mỳ
long lâu
luck hên
series chuỗi
n. ngao
split chẻ
implication lụy
face mặt
help yểm
forget lẩn
false sai
brassiere yếm
child bé
transport chở
tham thắm
silently thầm
ask rủ
russel russell
naked khoả
n đùi
chinese hán
dilated dãn
collection sưu
abstain cữ
janos jános
careful thận
card cạc
v. sút
n. nỗ
books sạch
reject hủi
v. rít
brocade gấm
the thì
different ≠
throne ngai
disparage chê
blanket chăn
vegetarian chảy
save vãn
v. cụp
v. kêu
saddle đèo
cheek má
reporter phóng
crave thèm
humidity ẩm
pregnant chửa
corn ngộ
bend uốn
membrane màng
retail lẻ
edge mép
n. ngọc
goat dế
sperm trùng
postpone hoãn
v. điều
fans hâm
poor nghèo
teachers thày
pure ròng
mental thần
v. bùng
san sàn
introspection mẫn
instant phăng
top tột
pen bứt
oblique chếch
calorie ca-lo
dangerous hiểm
more thêm
tremble run
probability lệ
chat thuyên
hoi hợi
island hòn
pass ải
dirty dơ
acquired mắc
against choáng
madam bà
additional súng
v chối
tense gay
bait mồi
n. trượng
manger máng
bribery nhũng
me nhỏ
place chỗ
ax rìu
old củ
vague phảng
cartoon biếm
boi bội
little chút
garden vườn
half rưỡi
whittle gọt
odd vặt
sometimes thỉnh
grandchild cháu
v cầu
whole trọn
story truyện
close khít
v. quăng
cover vá
phoenix phụng
n. gót
be bị
vandalism hoại
coated tráng
rain mưa
scary rợn
reason nguyên
worthy đáng
jut nhô
v ước
penetrate nhập
soil nhưỡng
devil quỷ
n. mày
class tầng
circumstance cảnh
old cứ
finger ngón
reduce sút
porcelain sứ
father cha
avoid lánh
parrot vẹt
stalactite nhũ
glide lướt
bot bột
stable ổn
cable cáp
root rễ
source súp
faint ngất
statistics kệ
expose phanh
border ranh
criticize phê
poodle vũng
curettage nạo
den đèn
congestion nghẽn
grilled nướng
risk mạo
pears lê
n. nọc
same tương
board cáng
pour rót
compensation bồi
rumor đồn
throw ném
broken tành
phan phăn
v. giục
tense thắt
blue xanh
n. hãng
ancient xa
n. trưa
the quan
completely hoàn
paste đán
two hải
n. ruộng
n vách
conflict xung
bud nụ
god thiên
fry rán
ordinary phàm
affairs giao
drawing vẽ
surplus thặng
mouse tý
n. thỏi
buddha bụt
landmark ngoặt
n lửa
visit viếng
scream thốt
rocket két
pokemon pokémon
useful ích
u ư
support nghênh
tomato chua
equivocal lờ
deviant chệch
v. đựng
protein đạm
v. nẩy
ball banh
ironic mỉa
from tứ
serious nghiêm
watch ngó
interesting hấp
firewood củi
watershed ngoặt
moisture ầm
into vào
appraise tâng
edge rìa
rude thô
touch xúc
v. nhìn
proficient thạo
summary gộp
tran trần
satisfy thỏa
n. ngươi
intercalary nhuận
pointed nhọn
hard củ
resplendent lọi
digital phím
pack gói
n. rama
heir nòi
straight thừng
quy qúy
term ngữ
marines tqlc
commendation khen
carry mắng
was ấy
sneak len
flag cờ
n. mốt
reduction khử
thoroughly triệt
sauce mắm
cum kiêm
n. thạch
tease trêu
floor nền
dirty đố
v. thám
sneak lén
open mở
true thật
dangerous hóc
courtship vãn
to đối
n. ná
bone xương
celsius °c
n tật
steady vững
control kiểm
layer tầng
compare sánh
unequal lệch
married gả
painful đau
oh ôi
debate tranh
termite mối
n. thảm
drain rãnh
smooth mướt
bi bị
deep trầm
n. ăngten
edge viền
legend huyền
lak lắk
n. ổi
each từng
day mùng
v. chạy
sparse thưa
type kiểu
travel du
angry dữ
is vẫn
period thuở
leader truởng
list kê
map đổ
n. mác
and rồi
spring xo
beheaded trảm
consistent quán
tiger sú
ulcer loét
welcome nghinh
neighbours láng
summary lược
effective đắc
n. vú
crows quạ
attend dự
remember nhớ
food phẩm
brother em
foundation móng
cage cũi
tremolo vê
n. chít
slave nô
v. rẽ
vit vít
turn lật
terri dĩnh
n. năng
n. thảo
fasten gài
culture hoá
horn kèn
needle dùi
neutrino nơtrino
v vục
n. thuốc
absorbed ngấm
drive lái
phung phúng
tungsten vonfram
vegetables rau
furniture thất
welcome chào
weak cỏi
ignore đấy
triangle tam
froze ngẩn
households hộ
jump nhảy
v. cầm
