represent melambangkan
theory teorinya
all seluruhnya
operated dioperasikan
aware menyadari
combined bercampur
view pandang
balanced seimbang
laborer buruh
constitutional konstitusional
burning kebakaran
alga lumut
pieces serpihan
cost ongkos
colour warna
photon foton
purple ungu
leader otak
hiking pendakian
embodiment perwujudan
finish selesai
life kehidupannya
played diputar
to untuk
experts pakar
prisoner tahanan
implement melaksanakan
wisdom hikmat
goddess dewi
satisfying memuaskan
synthetic sintetis
phallus lingga
claimed diklaim
room kamar
thick kental
classify mengelompokkan
increase perbanyakan
complete menyelesaikan
ribosome ribosom
bait umpan
build membangun
popularity kepopuleran
recover sembuh
his penggemarnya
mentioned sebut
revealed terungkap
circuit sirkuit
shifting bergeser
list daftar
intellectual intelektual
shame malu
previously tadinya
droplet tetesan
demand menuntut
equipped dilengkapi
moat parit
three iii
cure mengobati
certain tertentu
advocate menganjurkan
formation formasi
collect terkumpul
axis poros
ever pernah
cluster rumpun
doll boneka
instructed diperintahkan
embankment tambak
functioned berfungsi
moved berpindah
struggle berjuang
medic medis
illegal ilegal
fascicle bulir
pedicab becak
stain noda
arms persenjataan
belief keyakinan
flower bunga
average rata
referee wasit
quake gempa
valence valensi
hope mengharapkan
wrong keliru
typical khasnya
administrator pengelola
competitor saingan
fire api
o io
assistant asisten
killing menewaskan
subordinate bawahan
avoidable terelakkan
program acara
response respon
harm membahayakan
included disertakan
shipping pelayaran
pinnacle puncaknya
divorce perceraian
attack serangan
visit berkunjung
event kejadian
physiological fisiologis
income pendapatan
man cowok
sound suaranya
facilitate memfasilitasi
painting lukis
ocean samudra
calculator kalkulator
spectrum spektrum
vehicles kendaraan
steal mencuri
obstacle tantangan
sure pasti
rest beristirahat
until hingga
build membina
flag bendera
sink tenggelam
right kanan
native jatinegara
production pembuatan
mandate amanat
soon segera
goat kambing
distinct tersendiri
failed gagal
tools alat
linguistic linguistik
jordan yordania
related berkaitan
replication replika
treasury perbendaharaan
viewed dilihat
discussion musyawarah
peace kedamaian
cedar aras
suggestive bernada
alkyl alkil
element zat
stalled terhenti
integration integrasi
process proses
lengthwise bujur
plan merancang
released dibebaskan
salary upah
processed dikaji
published menerbitkan
helper pembantu
words perkataan
perform mengerjakan
find mendapati
transport mengangkut
primate primata
messenger penyampaian
space angkasa
however bagaimanapun
bit itb
character kepribadian
recognized berstatus
institution lembaga
obtained diperoleh
back belakangnya
doomsday kiamat
starred membintangi
collapse pingsan
redaction redaksi
watch memperhatikan
homeland nusa
divide membelah
interpretation tafsir
transmission transmisi
cultivar kultivar
counselling penyuluhan
withdraw mundur
awesome dahsyat
offering persembahan
piece lembar
distributed tersebar
depend mengandalkan
vomiting muntah
shocked kaget
hadith hadits
with dengan
door pintu
bacteria bakteri
modification modifikasi
show pertunjukkan
gang geng
basketball basket
built dibangunnya
droplets tetesan
minutes menit
redirects pengalihan
textile tenun
country negeri
terrify mengerikan
up naik
rain hujan
association asosiasi
waste buangan
labor buruh
great hebat
pleasure kesenangan
but ika
lengthwise memanjang
prolific biak
perfect mantap
continue meneruskan
spirit roh
aesthetics keindahan
spoken menuturkan
track melacak
layer lapis
discussion diskusi
destruction kehancuran
begin dimulainya
recording rekaman
founded didirikan
assert menegaskan
arguably diperdebatkan
curved lengkung
his terakhirnya
worries kekhawatiran
shifting pergeseran
measure mengukur
microbe mikroba
mcc pks
step langkah
planted tertanam
cross silang
dressing pemakaian
pathogens patogen
group rombongan
organizer penyelenggara
simultaneously bersamaan
justice pengadilan
convention konvensi
seldom jarang
support menyokong
lower bawahnya
customarily lazim
expats ekspatriat
basic mendasar
post pasca
close menutupi
change mengubah
bicycle sepeda
lithosphere litosfer
open terbuka
punishment hukuman
buddhism buddhisme
believes meyakini
group mengelompokkan
creator pencipta
hit menimpa
muffle meredam
as sebagaimana
archipelago kep
concern menyangkut
dynasty bani
guide penunjuk
mushroom jamur
motorized bermotor
general umum
range jajaran
created diciptakan
bag kantong
rattan rotan
hinterland pedalaman
appear muncul
through melewati
continuity kelancaran
recessive terdesak
worst terburuk
project proyek
cooperative koperasi
support mendukung
reliable handal
wise bijak
cow sapi
neighbor tetangga
studied diteliti
battery bakteri
promote mempromosikan
living menduduki
his bukunya
potential potensial
to demi
guitar gitar
organisation organisasi
thermodynamics termodinamika
placed menempatkan
ease kemudahan
biological hayati
seasonal semusim
geographic geografis
acid cuka
perform tampil
content kadar
full penuh
official resminya
pulled ditarik
buffer tabel
moment sesaat
preparation persiapan
executive pelaksana
experiment percobaan
move berpindah
ancient kuna
final pamungkas
reproduce bereproduksi
domiciled berkedudukan
drink minuman
special dimasukkan
ripe matang
from oleh
practice praktis
also beserta
ride menaiki
meritorious berjasa
ceremony upacara
inventor penemu
area seluas
russia rusia
conservation cagar
thanks terima
hard kencang
humidity kelembapan
few sedikit
but tapi
room ruang
downs turunnya
candle lilin
choreograph koreografi
malignancy keganasan
circulation sirkulasi
sweep sapu
reduced berkurangnya
surroundings sekitarnya
moved dipindahkan
cuticle epidermis
raise membangkitkan
started bermula
act berbuat
mouse tikus
tide pasang
graph grafik
problem persoalan
transplantation transplantasi
difference pembedahan
already telah
retaliate balasan
including meliputi
recover pulih
pass melintas
beautiful cantik
wild liar
tale dongeng
sponge porifera
visitor peziarah
profit laba
unique khasnya
trained berlatih
environment lingkungan
aware siaga
front depan
transmission penularan
dwarf katai
compromise kompromi
elite elit
care rawat
idols berhala
toll tol
great megah
utilized dimanfaatkan
campus kampus
similar serupa
moment sebentar
resource sumbernya
sheet lembar
jamming kemacetan
boundary perbatasan
enlargement pembesaran
print cetakan
silk sutera
bound diikat
broadcaster penyiar
his sikapnya
disintegration perpecahan
revival bangkitnya
kilometer km
mythology mitologi
mining pertambangan
alat device
happen terjadilah
population kependudukan
decorated dihiasi
interest minat
board dewan
with bersama
seed biji
sequence urut
author pengarang
executive eksekutif
emperor kaisar
registered didaftarkan
loyalty kesetiaan
display tampilan
contamination pencemaran
terrible dahsyat
stamp perangko
chronic kronis
investigation audit
nerve syaraf
many seribu
democratic demokratik
sail berlayar
krishna kresna
sized berukuran
multinational multinasional
installed dipasang
groove alur
cracker kerupuk
intentional disengaja
sculpture patung
damage merusak
breath bernapas
successful tersukses
equivalent setara
conclude menyimpulkan
diverted dialihkan
tested diuji
ill sakit
interpret menafsirkan
released dilepas
life jiwa
falls jatuh
converted dikonversi
initial awal
noble bangsawan
his sekolahnya
his pendidikannya
that bahwa
withstand bertahan
associated berasosiasi
charter piagam
puppet wayang
sing dinyanyikan
monosaccharide monosakarida
pollination penyerbukan
lactate laktat
drawing lukisan
overall keseluruh
devoted dikhususkan
select pilih
insurance asuransi
furry berbulu
negotiations negosiasi
activity tindakan
prayer misa
which yg
presenting membentang
worker buruh
customers pelanggan
clarify memperjelas
anomaly kelainan
store toko
training pelatihan
accident kecelakaan
progress kemajuan
pepper lada
appropriate layak
solve selesai
simple sederhana
though pemikiran
his puteranya
accept menerima
served menjabat
tag menandai
instruction petunjuk
arrival kedatangan
princes putri
collision tumbukan
controlled dikuasai
sprouts kecambah
requirement keharusan
organizer pengurus
dwarf kerdil
very sangatlah
seventh ketujuh
old lama
call sebut
strengthen menguat
earmarked diperuntukkan
kind baik
geography geografis
write tulis
mercy belas
because karena
snicker kakek
influence pengaruhnya
researcher peneliti
orange oranye
knob tombol
act berperan
undergo menjalani
skew condong
occurrence timbulnya
bread roti
luckily untungnya
chilli cabai
intend berniat
parasite parasit
circumference lingkar
heal menyembuhkan
apparatus aparat
article karangan
killed tewas
romania rumania
sustain menopang
understanding pemahaman
confusing membingungkan
image citra
titled bergelar
show menunjukkan
exchange bursa
roasted panggang
steel baja
his temannya
passive pasif
seemed terlihat
frog kodok
report laporan
casualty korban
like seperti
granules butiran
proven terbukti
charity zakat
foster angkat
balance keseimbangan
fiber serat
compatibility kompatibilitas
sister adik
change bertukar
god ar
law hukum
handled ditangani
condom kondom
his lagunya
tourist turis
refrigeration pendinginan
edge tepian
considered dipertimbangkan
cessation gencatan
s pendukungnya
sentenced dihukum
job pekerjaan
good enak
sea laut
clothing sandang
control kendali
student siswa
physical fisik
for jawab
photo foto
nutrition hara
ecosystem ekosistem
craftsman tukang
mongolian mongol
description deskriptif
nutrition nutrisi
redox redoks
attacked diserang
very sangat
honor menjunjung
availability ketersediaan
visible kasat
kinship kekerabatan
faint redup
gap kekosongan
response respons
rubber karet
porch serambi
suppress menekan
five lima
tasteless tawar
hassan hasan
proportional sebanding
marine kelautan
how cara
contribute berkontribusi
individual individu
goal tujuan
lymphocytes limfosit
latitude lintang
shiva siwa
century abad
skill keahlian
hybrid hibrida
beach pantai
created terbentuk
emitted dipancarkan
sonnet soneta
envoy utusan
actress pemeran
clothing pakaian
hard susah
mystic mistik
smallest terkecil
field lapangan
body raga
plow bajak
acoustic akustik
memory memori
his tugasnya
gross kotor
contain berisi
smithing pengolahan
breakdown rusaknya
lag ketinggalan
by oleh
mercury merkuri
mastermind otak
believed diyakini
lighting penerangan
dream harapan
back kembali
accountability pertanggungjawaban
hair rambut
carry gotong
external eksternal
motion gerak
elder tetua
service jasa
swimming berenang
appropriate cocok
over melebihi
alliance persekutuan
critics kritik
occupied ditempati
rise naik
load muatan
power kuasa
tour tur
teeth gigi
garden kebun
commodities komoditas
escape keluar
artifacts artefak
increase menambah
supporters pendukung
happen berlakunya
residents penduduknya
excellent handal
newest terkini
vision penglihatan
faction fraksi
fly layang
booster penguat
coffee kopi
source asalnya
practice praktik
pants celana
answer jawaban
winged bersayap
essentially dasarnya
is berjarak
at di
changed diubah
head kepalanya
creation ciptaannya
harmonious rukun
prohibit melarang
memoirs catatannya
fruit buahnya
article artikel
corporation korporasi
interstellar antarbintang
valid sah
news peristiwa
ministry kementerian
unit satuan
anniversary peringatan
decided diperuntukkan
louse kutu
and den
consider dipertimbangkan
seven tujuh
swan angsa
fisherman nelayan
climax puncaknya
hercules herakles
standalone mandiri
durian duren
speaker penutur
constitutional ketatanegaraan
fulfil memenuhi
criticize mengkritik
missile misil
old tua
pollen sari
ninth kesembilan
elevator lift
chrysalis kepompong
recruit merekrut
shallow dangkal
last terakhirnya
regency kab
his wujudnya
foolish bodoh
excess kelebihan
location letaknya
ancient kuno
close dekatnya
circular melingkar
ended diakhiri
occur berlangsung
exact pas
columbia kolombia
respond menanggapi
estuary muara
bark salak
appear tampil
scouting kepramukaan
entropy entropi
here disini
beside disamping
time tempo
undercover menyamar
contain berisikan
while sewaktu
observe mengamati
wear memakai
regulator pengatur
tour wisata
tie ikat
adherent pemeluk
open membuka
accelerate mempercepat
dynasty wangsa
closing penutup
glycoprotein glikoprotein
measurement pengukuran
channel menyalurkan
inside dalam
his pendukungnya
revocation pencabutan
distance berjarak
towards menuju
job pekerjaannya
sow menjahit
joint sendi
dam waduk
beginner pemula
police kepolisian
because dikarenakan
you kau
invention penemuan
flute suling
pronouncing penyebutan
agreed sepakat
monotheism monoteisme
relevant bersangkutan
romance asmara
prosper makmur
technology teknologi
broadcast penyiaran
beat mengalahkannya
realize menyadari
solid kokoh
beam balok
antioxidant antioksidan
rise berkembangnya
weaker melemah
adapted diadaptasi
refuge pengungsian
talk berbicara
burning pembakaran
olympic olimpiade
reader pembaca
appear bermunculan
citrus jeruk
amongst diantara
repair diperbaiki
complained mengeluh
catch tangkap
ship perahu
run melarikan
conductivity konduktivitas
knock ketuk
kick tendangan
calculation perhitungan
culture istiadat
explore menjelajahi
cry menangis
practitioner praktisi
alliance gabungan
theater teater
fever demam
server peladen
song lagu
recent terkini
ask bertanya
typically lazimnya
was dulunya
village perkampungan
merger penggabungan
recognition pengakuan
awhile sesaat
think memikirkan
her memanggilnya
insert memasukan
applied diterapkan
annual tahunan
degenerate merosot
assembled dipasang
parallel paralel
chili cabai
the kaum
married menikah
tilt kemiringan
record rekor
table meja
residence padepokan
withdrawal pengambilan
ingredient pembentuk
spread disebarkan
happen berlaku
server dilayani
small katai
approaching menjelang
philosophy falsafah
impressing mengesankan
or atau
association berasosiasi
effective efektif
history sejarahnya
trade dagang
offend menyinggung
farthest terjauh
shift bergeser
saved diselamatkan
told diceritakan
cocaine kokain
cauldron kancah
registered terdaftar
ruins reruntuhan
calculation penghitungan
there sana
fishing perikanan
formation terbentuknya
contribution sumbangan
allow membolehkan
fly terbang
ship berlayar
meeting sidang
prisoner tawanan
great raya
trench parit
manager pengurus
buffer penyangga
fog kabut
aggrieved dirugikan
narrate mengisahkan
bleeding berdarah
comparative komparatif
before sebelumnya
liver hati
grudge dendam
institution badan
smoking merokok
house rumah
chimpanzee simpanse
together royong
divided terpecah
straight lurus
her tubuhnya
spider laba
sign tanda
town lumajang
inherit pewarisan
solubility kelarutan
killer pembunuh
conversion konversi
appearance penampilan
lowest terendah
admit mengaku
pray berdoa
admit mengakui
encircle melingkar
helper penunjang
creature mahluk
fertility pembuahan
privatization privatisasi
binding pengikatan
obelisk tugu
vector inang
conduct etik
apply menerapkan
pleasant nikmat
review ditinjau
begins diawali
actually ternyata
absorb menyerap
preferential istimewa
reality kenyataannya
arena mandala
issued mengeluarkan
fix memperbaiki
u.f.o ufo
tropical tropika
scene adegan
erosion erosi
ask menanyakan
drainage drainase
brahmin brahmana
basket keranjang
transport angkutan
hold genggam
during selama
stand tahan
probability probabilitas
produce membuahkan
soul jiwa
valve katup
entitled berjudul
removal penghapusan
time masa
although kendati
pray salat
monitor memonitor
segment segmen
charter anggaran
extra ekstra
disease penyakit
sauce kuah
relative sanak
increment naiknya
nutrition gizi
invertebrate invertebrata
applied terapan
name nama
unstable ketidakstabilan
made dibuatnya
civilized beradab
get memperoleh
explicit eksplisit
fault bersalah
rest bertumpu
validated disahkan
watch menyaksikan
pressure desakan
naughty badung
trigger memicu
bachelor jaka
christian masehi
diamond intan
his muridnya
comparable sebanding
implementation pelaksanaan
dish plato
determination tekad
incident insiden
degree jenjang
caliber kaliber
inspection pemeriksaan
legacy warisan
completing menyempurnakan
must mesti
tower menara
remove menghapuskan
route jalur
drilling pengeboran
transmigration transmigrasi
slowly perlahan
characteristic karakteristik
end ujung
race ras
shield tameng
hill bukit
foreign luar
distribute diedarkan
materialized terwujud
vibration getaran
dust debu
develop membina
paint lukis
enrich memperkaya
space ruang
expand mengembang
vocabulary kosakata
worsen memburuk
uncertainty ketidakpastian
peace tenang
offer menawarkan
total jumlahnya
dating penanggalan
freed dilepaskan
erythrocyte eritrosit
uphold menjunjung
flying terbang
systematic sistematik
local setempat
show memunculkan
capital kapita
tend kecenderungan
decrease menurun
increase memacu
drug narkoba
dusk senja
pursuit pengejaran
passed meloloskan
marches pawai
possibility kemungkinan
apparently nampaknya
horticulture hortikultura
name shinta
weight berat
end mengakhiri
sports raga
computer komputer
commentary komentar
variety aneka
connect menghubungkan
situated terletak
plate lempeng
praying sembahyang
dissolve membubarkan
please menyenangkan
disturbing mengganggu
cavity rongga
alkanes alkana
little cilik
privacy privasi
autism autisme
random sembarang
creating menciptakan
commodity komoditi
defending mempertahankan
cut pemotongan
collect menampung
researchers penelitiannya
climb pendakian
cost biaya
sex seks
named disebutkan
right hak
guarded dijaga
mostly kebanyakan
horrifying mengerikan
dozens belasan
sorrow kesedihan
oppression penindasan
charity amal
cultivation budidaya
man manusia
mind akal
family rumpun
his keberadaannya
vegetable sayuran
currency mata
watery encer
wrapper pembungkus
trade perdagangan
luxurious mewah
complaint keluhan
tropic tropika
stopped dihentikan
compound senyawa
peaked memuncak
profit menguntungkan
competition kompetisi
lion singa
arrive tiba
he dialah
sailor pelaut
narrated diceritakan
warranty jaminan
sister kakak
include mencakup
feel rasa
bonding pengikatan
browser peramban
followers pengikut
descendant turunan
side lambung
officer pejabat
share berbagi
issue persoalan
lightning petir
clay liat
reef karang
planning merancang
catalog katalog
excess berlebih
stimulant rangsangan
pilgrimage ziarah
love cintanya
loose longgar
meet menjumpai
trace jejak
retire pensiun
understood dipahami
vowel vokal
utilities utilitas
started memulai
collective kolektif
forestry kehutanan
conservative konservatif
biochemical biokimia
formal beliau
spoken dituturkan
simultaneous serentak
friendship pergaulan
solids padatan
decompose menguraikan
installation pemasangan
crossed dilintasi
charged bermuatan
chocolate cokelat
monastery vihara
quotes kutipan
periodic berkala
galaxy galaksi
surround mengelilingi
grain butir
dying sekarat
eight delapan
nevertheless demikian
yearly tahunan
factory kilang
anarchism anarkisme
movement gerakan
detail detil
intermediary perantara
missing hilang
elliptical elips
noble mulia
enacted mengesahkan
founded didapati
suitable pas
weekly mingguan
cost beban
safety keamanan
random acak
pistil putik
discussion pembicara
act bersikap
actor aktor
as halnya
his sepupunya
one esa
constant konstanta
stand stan
presumed disangka
stone batu
ejaculation ejakulasi
stem membendung
hampered terhambat
ignored diabaikan
salt garam
saving menyimpan
united disatukan
majestic megah
confirmed dipastikan
any manapun
scientist ilmuwan
allowed diperbolehkan
object objek
square bujur
range kisaran
really sungguh
enhancement peningkatan
royalty kesetiaan
certificate sertifikat
question meragukan
legendary legendaris
maintain memelihara
drank diminum
foremost terkemuka
badminton tangkis
her kerjanya
leader pemimpinnya
bag kantung
beverages minuman
fertilization pembuahan
prokaryotic prokariota
test menguji
appropriate sesuai
hebrew ibrani
mean bermaksud
color warnanya
mold cetakan
fused menyatu
restriction pelarangan
wailing ratapan
exemption pembebasan
recycled didaur
electronegativity elektronegativitas
collectivity jajahan
as selaku
period kurun
erect tegak
variety bervariasi
command pimpinan
offered ditawarkan
combat tempur
estimate perkiraan
let membiarkan
mounted berkuda
store menyimpan
courtyard pelataran
candidate calon
pretty ayu
devotion pengabdian
there terdapat
parikshit parikesit
expense pengeluaran
sport olah
satisfaction kepuasan
loss rugi
poet penyiar
association pergaulan
palestine palestina
take menempuh
vocalist vokalis
theme tema
defeat menewaskan
dissolution pembubaran
troops laskar
density kepadatan
write menulis
rule aturan
undertake berusaha
tongue lidah
enact memberlakukan
aperture bukaan
schedule jadwal
dirty kotor
di-pertuan dipertuan
next selanjutnya
intangible berwujud
injured terluka
sent dikirim
outlined diuraikan
supporter penyokong
agricultural agraris
lecture kuliah
inform memberitahukan
increment bertambahnya
burnt terbakar
triangle segitiga
girls perempuannya
figure gambaran
ethics etik
contact kontak
objected keberatan
define mendefinisikan
feel merasakan
cult pemujaan
mosque mesjid
ross nasution
placed menempati
flow aliran
cotton kapas
flavor rasa
conjecture dugaan
exist eksis
archeology arkeologi
note dicatat
chronic kronik
systematic sistematis
view pandangannya
widths lebaran
servant pelayan
dragon naga
substitute substitusi
see melihatnya
symbol simbol
great maha
worker pekerja
vocals vokal
appear tampak
intellectual cendekiawan
residents warga
fragment pecahan
defeated terkalahkan
beat mengalahkan
than daripada
mature matang
depart berangkat
brought terbawa
tradition tradisi
visit singgah
carrion bangkai
helped dibantu
stricken dilanda
hidden tersembunyi
consumed dikonsumsi
design rancangan
achievement pencapaian
become menjadi
divide membagi
actually sebenarnya
return imbalan
started dimulainya
claw cakar
slight tipis
triglyceride trigliserida
transfusion transfusi
bro mas
barrier pembatas
disunity perpecahan
sad sedih
hull lambung
creature makhluk
magnitude berkekuatan
contents kandungan
enam vi
crackers kerupuk
decrease merosot
decreasing berkurang
signing penandatanganan
copyright cipta
relationship hubungannya
speaker pembicara
lake telaga
secretion sekresi
philosophic filosofis
scholarship beasiswa
believe mempercayai
week pekan
mass misa
excretion pembuangan
pillars rukun
outburst semburan
fungus fungi
escape pelarian
found dijumpai
show tayang
outer luarnya
sympathy simpati
seen dijumpai
bar balok
story cerita
colony koloni
stand berdiri
retrieve memperoleh
survive bertahan
passed dilewati
aggression agresi
complain mengeluh
its statusnya
doctor doktor
problem rintangan
grow menumbuhkan
exchange pergantian
song nyanyian
sing menyanyikan
benefit manfaat
point menunjuk
my ku
maintain menjaga
play main
descendant keturunan
struggle perjuangan
malay malayu
cigarette rokok
endurance ketahanan
translate terjemahan
empire imperium
special keistimewaan
accompanied disertai
direction penjuru
reduce mengurangi
farm sawah
democratic demokratis
intermediate menengah
respond tanggapan
picturing menggambarkan
x ×
painting lukisan
citizen penduduknya
calisthenics senam
contaminated tercemar
lean condong
all segala
miracle ajaib
lifetime seumur
rope tali
carried dibawa
skinned berkulit
over melampaui
language bahasa
mercury merkurius
writer pengarang
similarity kesamaan
process mengerjakan
boxing tinju
superior mpu
bone tulang
wise bijaksana
potentially berpotensi
his putranya
wednesday rabu
judge hakim
read dibaca
regime rezim
slavery perbudakan
mass massa
broken rusak
eight viii
must diwajibkan
as secara
not tidaknya
passed dilalui
farther menjauh
compared dibanding
association perhimpunan
do bertindak
event peristiwa
alone sendirian
staff staf
retrieve dapatkan
bronze perunggu
smart pintar
there situ
motivation motivasi
moral budi
pee kencing
ornament hias
inaugurated dilantik
diaphragm diafragma
citizenship berkebangsaan
france perancis
colored berwarna
opposition oposisi
found ditemukan
open dibuka
appear muncullah
clothes sandang
main pokok
bud pucuk
when bila
collaboration kolaborasi
expectation prakiraan
combustion pembakaran
include menyertakan
redirect memindahkan
type ciri
gestation kehamilan
hierarchy hierarki
cation kation
substitution pergantian
need memerlukan
preserve melestarikan
framework kerangka
increased ditingkatkan
terraced teras
tale kisah
explore menyelidiki
spread penyebaran
fourth keempat
million juta
basically dasarnya
increase menaikkan
black hajar
highway tol
pull tarik
exiled diasingkan
converge berkumpul
history riwayat
mine tambang
let biarkan
police polri
peacefulness kedamaian
healthy sehat
have memiliki
vacuole vakuola
culminate memuncak
etc dsb
branch bercabang
propose mengajukan
neighbour tetangga
reach meraih
taxation perpajakan
less kurang
caused menyebabkan
criminal penjahat
side persegi
extremely sangatlah
related berkenaan
roof atap
you anda
mathematician matematikawan
standby siaga
located berada
minority minoritas
democracy demokrasi
inorganic anorganik
though padahal
immigration imigrasi
conversation percakapan
pop bermunculan
idea pemikiran
flea kutu
written dituliskan
peak puncak
matter hal
language berbahasa
anatomy anatomi
upholder penegak
pregnancy kehamilan
variety keberagaman
fruit buah
french prancis
uncle pamannya
company perusahaan
literature prosa
when disaat
deliver mengantar
watched ditonton
male lelaki
on pada
treatise risalah
other lainnya
provider penghasil
tradition istiadat
accelerated dipercepat
stopped terhenti
phased bertahap
actor penggerak
seasoning bumbu
ceramics keramik
warming pemanasan
manager manajer
change mengganti
personal pribadinya
calling memanggil
processor prosesor
england inggris
said berkata
put menaruh
pure suci
shape bentuknya
fiscal fiskal
finger jari
spiritual rohani
friendly bersahabat
excavation penggalian
restrained terkendali
trust mempercayai
curry gulai
heaven surga
implemented dilaksanakan
battle bertarung
umbrella payung
liberation pembebasan
ember bara
market pasar
ride tumpang
voluntary sukarela
hammer palu
chapters bab
extracted dicabut
drunk diminum
village desanya
computation komputasi
estimation perkiraan
symmetry simetri
memory kenangan
silicon silikon
traffic lalu
us kita
aura hawa
done diusahakan
poem syair
city bandar
number bilangan
last tadi
social kemasyarakatan
against menentang
thousands ribu
mast tiang
rubber getah
itself sendirinya
democratic demokrat
star membintangi
shrine pura
landing arahan
night malam
learn belajar
scared ketakutan
chance kesempatan
palace keraton
space ruangan
poor fakir
policy kebijakan
potential berpotensi
cause menyebabkan
land dataran
motion gerakan
fusion fisi
appraisal penilaian
wealth kekayaan
expected terduga
institution panti
balance kesetimbangan
fighters pejuang
officer aparat
stress stres
estimate memperkirakan
ladder tangga
jewelry perhiasan
prose prosa
bulgarian bulgaria
league liga
adaption adaptasi
library perpustakaan
land daratan
although walaupun
soon nanti
forest utan
application aplikasi
reduction reduksi
interface antarmuka
captured direbut
friend kawan
family kekerabatan
terraces berundak
financed dibiayai
note perhatikan
welcome penyambutan
vatican vatikan
extent luasnya
brass kuningan
colouring pewarnaan
shrimp udang
certificate sertifikasi
equated disamakan
smell berbau
constraints kendala
good bagus
rise bangkitnya
inflammation peradangan
mention sebut
its nya
croatia kroasia
tool alat
own sendiri
trojan troya
melt melebur
treat mengobati
biology biologi
implementation penyelenggaraan
best terbaik
reporting pelaporan
holes lorong
expenditure pengeluaran
try berusaha
obedient menganut
fiery berapi
fair adil
argues berpendapat
escape melarikan
pressure penekanan
grain bulir
plant menanamkan
mute meredam
pilgrims jamaah
exploration penjelajahan
financial finansial
controlled terkontrol
assume menganggapnya
lead memimpin
smooth lancar
near menjelang
inserted dimasukkan
absorption pencerap
integrated diintegrasikan
member anggota
split belah
authority kekuasaan
livestock ternak
said menuturkan
satire sindiran
off putus
chemist kimiawan
fourth seperempat
expressed diekspresikan
happy gembira
suppression penindasan
sarong sarung
fast cepat
crying menangis
printed dicetak
dagger keris
period jangka
taxes perpajakan
polemic polemik
widest terluas
give memberikan
incentive insentif
request meminta
jury juri
we kita
summary ringkasan
flux fluks
surface permukaan
weaponry persenjataan
determination penetapan
filled dipenuhi
arrival pendaratan
substitution penggantian
session sidang
collector pengumpul
congress kongres
salt asin
science ilmu
jump lompatan
division pembelahan
trusted dipercayai
measure pengukur
hydroxide hidroksida
abstraction abstraksi
exactly persis
cat kucing
tension tegangan
fierce ganas
please sila
continuous berlanjut
issue isu
show membuktikan
based didasarkan
ugly buruk
off lepas
proud bangga
whitish keputihan
medina madinah
resemble menyerupai
bring membawakan
weaken melemahkan
repaired diperbaiki
leaded terpimpin
daughter perempuannya
governor gubernur
cannon meriam
body lembaga
leaf daun
expatriate ekspatriat
rare jarang
intonation beraliran
pregnant mengandung
writing tulisannya
organelles organel
asthma asma
alphabet abjad
his teorinya
allergy alergi
yard halaman
dissolve melarutkan
obtained diperolehnya
cease gencatan
evel setingkat
touch menyentuh
explore menelusuri
netherlands belanda
opinion pandangannya
dental gigi
practical praktis
champion juara
forbid melarang
open buka
bladder kandung
begin mulai
brave berani
armament persenjataan
advertise iklan
documentation dokumentasi
mall mal
economy ekonominya
blocking membendung
season semusim
death kematian
c lc
require memerlukan
vaporize menguap
cup gelas
experienced dialami
source sumbernya
christian kristiani
up atas
improvement penyempurnaan
defeated taklukan
draw menggambarkan
import impor
accuracy ketepatan
intensity intensitas
speak bicara
appointed ditunjuk
sheikh syeikh
scale besaran
supply pasokan
cook memasak
prosperous makmur
passion hasrat
pain nyeri
sequence baris
row baris
racing balap
approval persetujuan
optimum optimal
manner krama
firm teguh
apparently tampaknya
cinema wayang
volcanic vulkanik
aspiration aspirasi
sheath kelopak
trip perjalanan
forgotten dilupakan
annihilated musnah
actress aktris
run menjalankan
smart bijak
light pelita
oath sumpah
contain menampung
sustainable berkelanjutan
life hayat
historian sejarawan
formation bentukan
sentence kalimat
legend legenda
troops tentaranya
individual perseorangan
fit pas
opposite kebalikan
bubble gelembung
type jenis
stored tersimpan
joined tergabung
reward imbalan
friend sahabatnya
width lebarnya
successor penerus
order perintah
behavior tingkah
guide kepanduan
war bertempur
flaming berapi
birth kelahiran
egg telurnya
operate mengoperasikan
transfer dipindahkan
blend perpaduan
supporter pendukungnya
top puncak
friday cuma
much banyaknya
marrying menikahi
command mewajibkan
even bahkan
drugs narkotika
requested diminta
multiply memperbanyak
summoning panggilan
area didaerah
launch melancarkan
examination pemeriksaan
evaporate menguap
pearl mutiara
named menamai
expansion ekspansi
authority wewenang
monitor memantau
nautical bahari
wealth kekayaannya
sheep domba
transition peralihan
antibody antibodi
cause penyebab
it membawanya
honor memuliakan
make menimbulkan
transplant transplantasi
romantic romantis
obstacle penghambat
graceful anggun
cage sangkar
atmosphere atmosfer
prehistoric prasejarah
pushing mendesak
listening mendengar
smart pandai
flood banjir
location didaerah
plan berencana
functional fungsional
commercial komersil
specifications spesifikasi
longer lamanya
salary gaji
treated dirawat
settle menetapkan
familiar akrab
kinship kekeluargaan
bay teluk
show menampilkan
spend menghabiskan
interpretation penafsiran
numeric numerik
he beliau
dynamics dinamika
exercise berolahraga
forced dipaksa
warning peringatan
spread tersebar
quantity kuantitas
compilation kompilasi
beaten dipukul
heirloom pusaka
obstruct menghalangi
alga ganggang
blocking dihadang
servicing servis
reached diraih
germany jerman
blind buta
precede mendahului
biological kandung
