other अन्य
meet भेट
situation स्थिति
enough प्रचुर
reached पुगेका
dismissed भंग
lime चून
success सफलता
anaesthetic एनेस्थेटिक
gypsy फिरन्ते
za झ
mix मिश्रण
institution संस्थाको
gandharva गन्धर्व
nursing नर्सिङ
energy उर्जा
dhanush धनुषा
are हरूले
many निकै
metropolitan महानगरपालिका
mental मानिसका
arrangement बेवास्ता
racial जातीय
heart मन
pali पाली
going गइरहेका
buddha बुद्ध
7th सातौं
ravine कन्दरा
democracy लोकतन्त्र
meaningful मान्य
fire आगो
clan बंश
512 ५१२
those त्यस्ता
going गै
money दक्षिणा
land जमीन
according अनुशार
relation सम्बन्धमा
similarly त्यसैगरी
2044 २०४४
being हुनुका
districts जिल्लाका
foundation शिलान्यास
traditional पारम्परिक
swamy स्वामी
chicken कुखुरा
rank श्रेणी
right अधिकारको
occasion अवसर
caste जातजाती
pact सन्धिले
epic उपनिषद्
attention ध्यानाकर्षण
kha ख
continuous लगातार
unification एकिकरणको
french फ्रान्सेली
no हैन
become बन्न
view अवलोकन
river नदिहरु
sir मानिने
implant विजन
counted गनिन्छ
media मिडियाको
all सब
availability वाहुल्यता
expedition अभियानको
musician संगीतकार
influence प्रेरित
being हुँदै
haripur हरिपुर
infant शिशुलाई
khali खालि
question प्रष्ट
whatever जेसुकै
democratic लोकतान्त्रिक
serially क्रमिक
including मिलाई
asia एसिया
pu पू
autumn शरद
parbat पर्बत
bear बोकेका
caste जातजाति
attack आक्रमण
further अगावै
vyasa व्यास
green हरिया
remain रहको
given दिइयो
hindus हिन्दुहरू
wales वेल्सको
able सक्षम
instrument उपकरणहरुको
able सक्दछ
100 सय
vedic वेदको
sweat पसिना
dolakha दोलखा
sight दृष्य
details विवरण
michele मिशेल
scientist वैज्ञानिकहरुले
generally सामान्यतः
trailer झलक
words शब्दहरू
perspective दृष्टिकोणले
swedish स्वीडिश
return फर्कियो
industry उद्योग
open खोला
like जस्तै
employment रोजगारी
his उनको
or या
year सालमा
senior वरिष्ठ
population जनसंख्याको
stations स्टेसनहरू
jose जोसे
announcement घोषणा
mi मि
outsider बाहिरका
2065 २०६५
1989 १९८९
night रात्री
profit फाइदा
170 १७०
level स्तरका
educational शैक्षीक
mona मोनाको
butwal बुटवल
barricade अवरोध
than भने
speculation सट्टा
planet ग्रहले
view दृष्टि
reached पुगेको
break फुट्ने
evolve प्रकट
europ युरोप
zimbabwe जिम्बाब्वे
transfer हस्तान्तरण
that त्यसो
nepali नेपालकै
words शब्दहरु
capital सदरमुकाम
rakhi राखी
name कोमल
pairs जोर
help सहयोगको
tied बाँधिएका
temple सिद्धेश्वर
stone ढुंगाको
give दे
informal अनौपचारिक
earlier पुर्वमा
ninth नवौं
distribution वितरणमा
celebrate मनाउँछन्
thought मानिन्छ
cloud बादल
lamjung लम्जुङ्ग
you ठूला
position पदको
mechi मेची
with पूर्वक
written लेखको
run चलाउन
history इतिहास
era युग
controversy विवादमा
design डिजाइन
happen परेको
that ति
condition अबस्थामा
edition अङ्क
rule नैतिका
life प्राणीलाई
tamu तमु
2045 २०४५
mahabir महावीर
video भिडियो
luis लुईस
height उचाइ
give दिए
prime प्रमुखमा
range श्रृंखलामा
ignored उपेक्षित
wo वो
investigate निरिक्षण
gambhir गम्भीर
6 ६
celebrate मनाईने
mega वृहद
speak बोल्दछन्
asam आसाम
discovered लगाएका
classical क्लासिकल
sagar सागर
suffered पीडित
sankranthi सङ्क्रान्ति
sight दृष्टिले
bharat भारत
badal बडाल
states राज्यहरू
claim दावा
census जनगणनाको
run चल्छ
dine दिने
recently हालै
hamlet ह्याम्लेट
palace हवेली
military सैनिक
conference सम्मेलनमा
fully पूर्णतः
possible सके
khan खाँ
gentle भाद्र
start चल
rice चामल
state राज्यहरु
kept राखियो
destroy बिनास
place बाइसे
consciousness चेतना
path पथ
approximately करीब
jhapa झापा
malla मल्ललाई
his उनकै
surface सतह
gaurav गौरव
machine उपकरण
coming आइरहेको
density घनत्व
yaksha यक्ष
force बल
laborer मजदूर
ram रामको
fully पूरै
upanishad उपनिषद
jun जून
aaj आज
student विद्यार्थी
difficulty बाधा
geographical भौगर्भिक
state भावर
high प्रबल
barah बराह
autocratic क्रुर
sociologist समाजशास्त्री
commerce वाणिज्य
class वर्गको
new नौला
customs भन्सार
globe ग्लोब
screening प्रदर्शन
give देती
domesticate पाल्ने
meeting भेटी
went गए
give दिलाउने
sarkozy सार्कोजी
message संदेश
sign चिह्न
cemetery गिर्जाघर
own आफै
hindi हिन्द
follow पालन
collection सङ्ग्रह
che चैं
om ॐ
150 १५०
condition स्थितिको
fish मत्स्य
importance महत्त्व
north-east फेदाप
self स्वयम
prime प्रधान
t ट
first अहिलेसम्म
consume खाने
related सम्वन्धित
build निर्माणमा
existed रहेको
bodies पिण्डहरू
behavior आचरण
that ती
umbrella छत्र
height उचाई
new नभएतापनि
tumble पटक
g जी
aeroplane वायुयान
teacher शिक्षक
claim दावी
2017 २०१७
said कस्तो
for नसकिए
hello हलो
municipal महानगरपालिका
surname लामा
subjects विषयमा
mixture मिश्रण
stream धार
wikipedia विकिपीडियाका
religion धर्महरू
tend लागे
disobedience अवज्ञा
give दिएको
although तथापि
dictionary शब्दावली
female पोथी
boys छोराहरू
land भू
hone होने
rising उदयमान
final बार्षिक
management प्रवन्धन
coming आइ
martin मार्टिन
paved पत्रे
fight झगडा
less कम
and एवं
sutlej सतलज
marks मार्क्सको
migration बसाइँ
4th चौंथो
together साथमा
naming नामाकरण
instrument यत्र
touches मिल्छ
mint टक्सार
this यहि
all संपूर्ण
under अन्तरगत
letters अक्षरहरू
pele पेलेले
independence स्वतन्त्र
under अन्तर्गतको
household घरधुरी
sources स्रोतहरु
claim दाबी
muslim मुस्लिम
sight देखाउन
use भोगचलन
earth भू
license अनुज्ञप्ति
organisations संस्थाहरु
samanta समानता
1995 १९९५
their उनको
orchid अर्किड
prize पुरस्कार
netherlands नेदरल्याण्ड
normally सामान्यतः
service नोकरी
flax सँग
state राज्यहरूमा
this यही
venus शुक्रग्रह
single सिंगो
underground पाताले
minute मिनट
baser बसेर
is भएका
bhaktapur भक्तपुर
were छन्
print मुद्रण
services सेवाको
truths तथ्यहरु
mistranslation अपभ्रंश
written कोरिएको
services सुविधाका
within पर्ने
confirm निश्चय
volunteer स्वयंसेवी
streams खोलाहरु
more अधिक
border सीमा
shaman धामी
indian इन्डियन
part अङ्ग
bishnu विष्णु
destroy विनाश
unsuccessful असफल
mistranslation अपभ्रंस
kailash कैलाश
1931 १९३१
member सदस्यको
3500 ३५००
protection प्रश्रय
large विशाल
beat कुट्ने
sad दुःखी
weed झार
gandhi जीलाई
confusion अन्योल
after भएपछि
people मानिसहरूको
made निर्मित
spy गुप्तचर
pa पा
publish प्रतिशतले
see देखेर
mountainous पाहाडी
fight लडे
god ईश्वर
computer कम्प्युटरमा
written लिखित
many धेरै
meghalaya मेघालय
salary पारिश्रमिक
federal संघिय
research रिसर्च
hun हुन
system व्यवस्थामा
dramas नाटकहरू
58 ५८
jiri जिरी
matters मामिलामा
deadly घातक
degree डिग्रीको
kernel कर्नेल
organisation संगठनको
starting सुरुमा
is भएकी
near आसपास
fancy महिषासुर
sarovar सरोवर
deposit निक्षेप
all सम्पूर्ण
others अरुको
34 ३४
diversity विविधताको
whole भरी
2038 २०३८
devotee भक्त
light प्रकाश
nasa नासाको
pharmacy औषधालय
304 ३०५
with संगसंगै
various अनेक
italy इटाली
vastu वास्तु
turkey टर्की
height उचाईमा
sikkim सिक्किममा
cancelled स्थगित
kannada कन्नड
battle संग्राम
economy अर्थव्यवस्था
their उनकै
writing लेखिन्छन्
dahal दाहाल
malaysia मलेसिया
item सामाग्रीहरू
circumstance हाल
give दिन्छन्
was थिइन्
destroy नष्ट
darbar दरबारको
egypt इजिप्ट
families परिवारका
dashami दशमीको
bank वैंक
transport यातायातको
aerial हवाई
system चक्र
existing राम्रो
arc आर्क
named नामको
chaudhary चौधरी
northeastern उत्तरपूर्वी
tiger बाघहरू
heard सुनी
statement कथन
more वढी
give दिइन्
settle बसाइँ
border सीमाना
races जातजाती
celebrated मनाईने
start थालेका
understand बुझ्न
enemy शत्रुको
components पदार्थलाई
four चारै
action कारवाही
dolakha दोलखाली
pashupatinath पशुपतिनाथ
kosh कोष
nation राष्ट्रले
went गया
purpose उद्देश्य
missile तोप
league लिग
arthashastra अर्थशास्त्र
bright चम्किलो
knot बन्धनमा
page पृष्ठ
karl कार्ल
from जस
generally सामान्यत
study अध्ययनबाट
diabetes मधुमेह
proved ठहर
border सिमानामा
stomach पेट
roman रोमन
brain दिमाग
hindus हिन्दुहरु
bha भ
war युद्धको
immediately तत्कालै
yunan युनान
example उदाहरण
self ब्यक्तिगत
latitude देशान्तर
keep पालन
europe युरोपेली
made बनाईएको
police चौकी
huge महा
1953 १९५३
event समारोहमा
application अनुप्रयोग
shan गढीमा
are हुन्छन्
table टेबल
terminology शब्दावली
centre केन्द्रमा
mine मेरा
controller नियन्त्रक
assumed मानिएको
social सोसल
87 ८७
kosi सप्तकोशी
place ठाउँबाट
remote विकट
under मातहतमा
races जातजाति
covered समेटिएको
endless अनन्त
vijayadashami विजयादशमी
may में
rigid कडा
central केन्द्रको
use प्रयोगमा
future भविष्य
2011 २०११मा
rana राना
century शताब्दीमा
picture चित्रहरू
latter पछी
pooja पूजा
ancient प्राचिन
was थियो
reached पुगे
establish स्थापना
big भारी
employed कार्यरत
philosophy दर्शनको
possible साध्य
roots जरा
bahir बाहिर
lord ईश्वर
jungle बन
things कुराको
earlier पहिलेका
then तब
mainly मुख्यत
time समय
gorkhali गोर्खाली
ghoda घोडा
training तालिम
world संसारमा
chapter अध्याय
center केन्द्र
superintendent उपरीक्षक
unique अद्वितिय
upper माथिल्लो
consumable उपभोग्य
different भित्रै
strong दृढ
women स्त्री
level स्तरको
siddharth सिद्धार्थ
that थप
solution निकास
own आफु
month महिनामा
syangja स्याङ्जा
human मानब
west पछी
bare बारे
wash सफा
i मैले
moon चन्द्रमा
its यस्को
increase वृद्धि
shrestha श्रेष्ठ
words शब्दमा
race जात
fruit फलफूल
suppose मान्छे
surname कार्की
legend किम्बदन्ती
activity क्रियाकलाप
place डडेलधुरा
shiva शिवलाई
more झन
result फलस्वरुप
surface सतहको
proved प्रमाणित
mongolian मंगोलियन
rahi रही
jayanti जयन्ती
2051 २०५१
adjustment समन्वय
tools औजार
ammunition गोली
initiation शिलान्यास
keep राख्न
combine जोडने
read पढेर
shesh शेष
absorbed सोसेर
2058 २०५८
gemstone रत्न
sahaj सहज
artist कलाकार
books पुस्तकहरुमा
idol प्रतिमा
europe यूरोपको
e-mail इमेल
560 ५६०
knowledge बोध
plain समतल
council परिषदबाट
verse पंक्तिमा
cloth बस्न
completing सकेपछि
troops फौज
artic आर्कटिक
hard अठोट
or की
fifty पचास
economy अर्थतन्त्रलाई
bp बीपी
seen देखिनै
land भूमि
acharya आचार्य
leaving प्रस्थान
21 २१
car गडी
went गयो
kind दया
won जितेको
patch पाठ्य
same त्यही
822 ८२२
party दलहरुको
republic गणतन्त्रको
proverb धातु
historical एतिहासिक
pariksha परीक्षा
study अध्यान
91 ९१
language संस्कृतम्
khar खार
prakash प्रकाश
teacher गुरुयोजना
enquiry गराउन
season याममा
sikh शिख
unprecedented अद्वितीय
kilometer किलोमीटर
beggar भिक्षु
expect अनुमान
ganay गर्नै
policy सम्यक
mainly मुख्यगरी
more ज्यादा
organisation संगठन
more थप
3600 ३६००
become पाइएको
land भूमी
makar मकर
dollar डलर
creatures पशुपंक्षी
invention जानकारीको
terms दृष्टि
poem कवितालाई
equipment उपकरण
happening थाहा
graduate स्नातक
shumsher शमशेरले
seen देखिने
himalaya हिमालयले
story उखान
creation रचना
start भित्र्याउने
eastward उत्तरतर्फ
professional ब्यबसायिक
mahal महल
colour रङ
fight लडाईं
length लम्बाई
phase चरण
salary जागिर
image छवि
sheep भेडा
period बेला
best अनुपम
east पुर्ब
plan परियोजना
unicode युनिकोड
year अन्योल
places ठाउँहरुमा
directed निर्देशित
245 २१५
eat खाएर
saff साफ
how कसरी
only खालि
suffered थला
district जिल्लाकै
give दिइने
official पदाधिकारी
issue मामलामा
do गरे
punish दण्ड
people प्रजा
of राजतन्त्रको
morale नैतिक
cruel क्रुर
bengal बंगाल
diseases रोगहरु
boy बालक
city सहरमा
including समेत
length लम्बाइ
versatile बहुमुखी
sapling बोट
brahmaputra ब्रह्मपुत्र
naga नाग
rupees रु
income आय
subjects विषयवस्तु
push पुष
rapti राप्ती
122 १२२
wikimedia विकिमिडिया
seed बिउ
team दलले
different अलग
do पार्दछ
state राज्यको
staff कर्मचारी
post पदमा
sindhu सिंधु
museum सङ्ग्रहालय
prevent रोकथाम
bring ल्याएर
way रुपबाट
control नियंत्रण
shalya शल्य
pain पीडा
sat बसी
choon चून
park पार्क
tourism पर्यटनमा
shumsher शमशेर
black काली
nearly झण्डै
purana पुराना
certain पक्का
repair मर्मत
league लीग
news समाचारको
sit बसी
gaja गज
bagmati बाग्मती
task कामको
rupees रू
road मार्गमा
jordan जोर्डन
shah शाह
municipal महानगर
mughal मुगल
association संस्थाको
cooperation सहयोगमा
obtain पाउने
trouser सुरुवाल
grass घाँस
hey हे
seva सेवा
dedicated समर्पित
conservation संरक्षणका
tamang तामाङ
beginning शुरुआती
that जस
make बनाएका
worldwide विश्वभर
kamal कमल
extend फैलिएर
forty ४०
give दिएका
concentrated केन्द्रीत
gave चढाए
presentation भेडेटार
layered पत्रे
nowadays आजभोलि
father बुवा
unified एकीकृत
project योजना
humanity मानवीय
haveli हवेली
shikhar देवल
use अनुप्रयोग
seen देखे
workload कार्यभार
napoleon नेपोलियन
kathmandu काठमान्डू
maharshi महर्षि
assume मान्दछ
name भक्तबहादुर
crushing कुट्ने
aspect पक्षको
exist हुनुका
alone एक्लै
this सि
included सम्मिलित
formed संगठित
live बसोबास
method तरिका
damage आघात
hat ह्याट
name रवीन्द्रनाथ
described वर्णित
hence त्यस्तै
represent जनाउन
se से
nepal नेपालका
daily दैनिक
95 ९५
ye ए
amar अमर
interest चासो
way रुपले
those त्यसका
apparent जनाउन
rampur रामपुर
location ठाँउ
rise चढ्ने
chinese चीनीया
gave दी
foot फाँट
sat बसे
husband पति
give दिनमा
able सकेका
africa अफ्रिकाको
ganga गंगा
western पश्चिमाञ्चल
e ङ
city सहरी
sacrifice बलि
character चरित्र
east पुग्ने
river त्रिशुली
yaman यमन
organisation संस्थान
gopal गोपालले
yojana योजना
discover आविष्कार
list सूचीमा
sale बिक्री
general सामान्य
ministries मन्त्रालयका
minority अल्पसंख्यक
green हरियो
material सामाग्रीको
muslim मुसलमान
paragraph पाद
word शव्द
shumsher सम्शेर
basic आधारभुत
historical ऐतिहासिकता
solitaire त्यागी
changing परिवर्तनको
anyone जोसुकैले
species प्रजातिका
beginning आरंभ
previous अघिको
habit आचरण
interval अन्तरालमा
time रोज
business व्यापारिक
mega बृहत
mountain पहाडहरू
gyanendra ज्ञानेन्द्र
bhagat भगत
gorgeous भव्य
ego अहम्
condition स्थिती
rico रिको
this यै
famous प्रसिद्धि
made गरियो
religious धर्मावलम्वी
hunting शिकार
remained रहेकाले
speed गतिमा
armpit छालामा
gain उपलब्धि
moon चन्द्रमाले
army आर्मीको
worship पूजाः
best उत्तम
project परियोजना
mountainous पर्वतीय
need चाहिन्छ
mahabharata महाभारतमा
hectare हेक्टर
store भण्डार
are हरूलाई
eat खाँदा
first पहिलोपटक
vas वस
bank बैंक
call बोलाएर
patriotic राष्ट्रवादी
uncertainty अनिश्चितता
bonus बोनस
chairman सभापति
instructed निर्देशित
samvat संवत्
women माहिला
this ये
basis भरमा
rupee रु
mix मिसिन्छ
items सामग्री
lisa लिजा
most प्रबल
wine रक्सी
benefit हित
win जितेका
kullu कुल्लू
alive जीवित
all सबैको
department विभागमा
till सम्ममा
cowshed गोठ
lying ढली
duty कार्यभार
find पत्ता
achieve हासिल
staying बस्दा
select छनौट
specify उल्लेख्य
health स्वास्थ्यको
offices कार्यालयहरु
over अति
recent हाल
places स्थानमा
communist कम्युनिस्ट
sacred पवित्र
islamabad इस्लामाबाद
go जानुहोस्
included समेटिएको
around ताका
fruitful सार्थक
serial क्रममा
jobs कार्यहरू
majority वाहुल्यता
criticism आलोचना
kathmandu काठमाण्डौ
opponent विरोधी
om ओम
extensive ब्यापक
period समय
2009 २००९
soul आत्माको
forecast भविष्यवाणी
readily सहर्ष
its एक्लै
shira शिर
again पुनः
this यसको
able सकेको
gayo गयो
uncompleted नसकी
any सुकै
meter मिटरसम्म
discriminate भेदभाव
hospital अस्पतालको
thar थार
cancer क्यान्सर
offices कार्यालयहरू
determine अठोट
east पुर्व
seat सिट
time कालीन
science विज्ञान
get जान्छन्
about तिर
following तलका
this यस
bridge सेतु
gas ग्यास
world विश्व
run चल्न
a.d. इस्वी
arunachal अरुणाचल
69.0 ६९०
goddess सिद्धिदात्री
together सँगसँगै
black कालो
effective प्रभावी
far टाढा
alternative वैकल्पिक
country मुलुकमा
lama लामा
disabled अपाङ्ग
organise संगठित
cable तार
stay रहयो
tiger बाघ
central केन्द्रका
ota ओटा
that उक्त
new नभए
sita सिता
13 १३
open खोले
it इट
kolkata कोलकाता
tenth दशौ
tila तिला
union संघ
congress कांग्रेसको
england बेलायत
390 ३९०
london लण्डनमा
this यसलाई
m एम
science बिज्ञान
hour घण्टा
commercial व्यावसायिक
commander कमाण्डर
initiative पहल
congress कांग्रेस
father जन्मदाता
international अन्तर्राष्ट्रिय
society समाजमा
resources साधनहरु
given चढाएको
defeat हार
picture दृश्य
having हुंदा
do गरी
recognise मान्यता
cottage आश्रम
entrance प्रवेशद्वार
british बेलायती
cultivable खेतियोग्य
concept अवधारणा
nepali नेपालकी
making बनाई
north उत्तरको
ascent उन्नति
plate प्लेट
naka नाका
army सेनालाई
economy अर्थतन्त्र
city नगरी
communication सर्म्पर्क
attempt कोशिकाहरु
term परिभाषित
administrative कार्यकारीणी
orbit कक्ष
glacier हिमताल
tense कालको
hero नायक
dissolved विघटित
campus क्यामपस
hypothesis परिकल्पना
southern दक्षिणी
vir वीर
starting शुरुआती
expect सम्भावनाको
commodities सामाग्रीहरू
visitation बडादसैं
outside बाहिरी
reached पुग्यो
ganesha गणेश
contributions योगदान
institute संस्थाबाट
argali अर्गली
whole पुरा
living निवासी
purvanchal पूर्वाञ्चलको
cannon तोप
rica रिका
civilization सभ्यता
place स्थानका
1857 १८९७
birth उत्पतिको
family परिवारमा
seen देखा
make बनाउनु
wednesday बुधवार
desperate बाध्य
army सैनिकको
gardener माली
air हावा
kings राजाहरूले
people मान्छेहरु
language हिन्दी
water जल
metre मीटर
healthy स्वस्थ
legal कानूनी
record अभिलेख
search खोजीमा
give दिन्थे
cool ठण्डा
commission आयोगलाई
area क्षेत्रहरुमा
live बसो
upanishads उपनिषद्
physical शारिरिक
capital राजधानीको
1789 १७८९
award अवार्ड
2010 २०१०मा
gruesome भीषण
jail कैद
bhagwati भगवतीको
vegetarian शाकाहारी
agitation आन्दोलनमा
vote मत
malla मल्ल
waste मल
meeting बैठकमा
previous अघिल्लो
possibility सम्भावना
leaving छाडेर
oceanic समुद्री
faithful वफादार
sugar शङ्कर
maintain कायम
reaction प्रतिक्रिया
instead सट्टामा
neighbour छिमेकी
lower तलका
note नोट
all गडी
leave त्याग
way बाटोलाई
royal रोयल
climb चढेर
chinese चिनीयाँ
believe विश्वास
tamilnadu तमिलनाडु
currently हालका
bina बिना
establishment स्थापनाको
union यूनियन
estimation लेखाजोखा
to टू
ancient परापूर्व
elizabeth एलिजाबेथ
capable सक्षम
dha ढ
kedar केदार
civil निजामती
dhani धनी
norms संहिता
japan जापान
associateship संगै
biswanath विश्वनाथ
this यी
city नगरको
develop बढेको
can सकिन्छ
da दा
5th ५को
bird चरा
180 १८०
chemical रसायन
fought लडेको
located स्थित
calender पात्र
240 २४०
infection संक्रमित
information जानकारीका
investigator अनुसन्धानकर्ता
population जनसंख्याका
azad आजाद
seeing दर्शन
peninsula महाद्वीपको
read पढी
remain रहयो
fast छिटो
plains पठार
northwest उत्तरपश्चिम
too एकदम
day गते
coal कोइला
make तुल्याउने
sight टिष्टा
keep राख्दछ
jesus यशु
spring बसन्त
decision कदमको
supporter समर्थक
same सोही
charity दान
government सरकारी
kiranti किराती
school विद्यालय
opponents विरोधी
sa स
speed गतिशील
runway धावनमार्ग
increasing बढीरहेको
decide निधो
done किया
insects कीरा
arya आर्य
open खोलाहरु
here यहांको
record रेकर्ड
soon चाँडै
america अमेरिकाले
prepare बुनेर
bandai बन्दै
war लडाइको
happen ठाउँ
international अंतर्राष्ट्रीय
gujrati गुजराती
branch शाखाहरू
dynasty राजवंश
forgive क्षमा
ancient परापूर्वकालमा
rivers नदीनालाहरू
for हेतु
private निजी
commercial वाणीज्य
499 ४९९
many अनेक
myself आफु
market बजारसम्म
species प्राणीका
karki कार्की
nile नाइल
sanskrit संस्कृतमा
goods सामान
village गडी
imagination कल्पना
symbol चिह्न
labour श्रमिक
there तत्र
baran वरण
stay ठहर
pear आरु
full पूरा
growing बढ्दो
which कुन
difficult गाह्रो
tenth दशौं
union युग्म
devi देवी
eastern पुर्बी
dynasty बंश
quarter चौथाई
medium माध्यमले
close बन्दछ
destroy विघटित
ja ज
do गरेको
branch शाखाहरु
story कथा
temple मठको
prevalent व्याप्त
easy सजिलो
himachal हिमाचल
utsav उत्सव
national देशी
quarrel झगडा
write लेख्छन्
left देब्रे
done गरिन्थ्यो
75 ७५
shifted सरेको
rule शासन
chhetri क्षत्री
equipment यन्त्र
take लिनु
doing गर्दै
played खेलेको
assembly सभा
sport खेलकूद
give दियो
rivers खोला
lake झरना
branches शाखाहरू
ra र
making बनाउन
person ब्यक्ति
policy निती
surname भट्ट
at गढीमा
prisoner बन्दी
secretariat सचिवालयको
wire तार
sugauli सुगौली
and एण्ड
they उनीहरुले
satellite उपग्रह
tennis टेनिस
writer साहित्यकार
division बिभाजन
darbar दरवारमा
labours मजदूर
presence अस्तित्वको
foundation स्थापनार्थ
does कुराहरु
illustrates बयान
extension विस्तार
big ठुला
get पाउँछ
release मुक्ति
existing भयेको
260 २६०
email ईमेल
chamber संघ
live जिवित
writer लेखेका
job रोजगारी
till सम्मको
branches शाखाहरु
solar सौर्य
villages गाउँघर
these यिनीहरु
system प्रणाली
income आयको
slaughter वध
ad ईपू
staff स्टाफ
roofing माढी
maintain बहाल
exist विद्यमान
s. सं०
script तिरहुता
he उनलाई
remain पर्दछन
fit फिट
fourteen १४
engineer इन्जिनियर
padi पढी
hilly पाहाडी
arabic अरबी
fete जात्रा
issue काण्ड
house सभाका
october अक्टोवर
much निक्कै
war संर्घषा
inscription अभिलेखमा
these यिनीहरू
serially क्रमबद्ध
me म
decoration सजाय
layer पत्रे
glory महिमा
opened सक्दैन
all सबैका
cambridge क्याम्ब्रिज
reading पढ्नु
acceptance अभिवृद्धि
this यसै
full पूर्ण
cliff पहरा
160 १६०
discharge मुक्ति
shamsher शमशेरले
area ईलाका
flowing बग्ने
past भैसकेको
accepted अपनाइएको
road मार्गका
bible बाइबल
prepared बन्छ
sindhupalchok सिन्धुपाल्चोक
station चौकी
weapons हतियार
beach किनार
tripathi त्रिपाठी
by घटनाले
print छापिएका
homely घरेलू
rule स्वामित्वमा
280 २८०
high बढी
working सक्षम
cousin चेला
mountain हिमालयका
flag झन्डै
life जीविका
caste जातीय
convention सभा
extremely अत्यन्तै
punjabi पंजाबी
idol मुर्ती
environment हावापानीमा
teaching शिक्षण
temple चैत्य
two दुइटा
system व्यवस्था
night रातको
punishment दण्ड
conch शङ्ख
swaraj स्वराज
din दिन्
hours घण्टा
1914 १८१४
items सामग्रीले
attacked प्रहार
broadcast प्रशारण
connect जोडिएको
remuneration पारिश्रमिक
of अफ
puspa पुष्प
unofficial अनौपचारिक
hota होता
make पार्दछ
sandhi सन्धि
layer तह
happen भएका
cinema चलचित्रहरू
convention सभामा
returned फर्कियो
roof धुरी
port नाका
mudra मुद्रा
see सी
expert शास्त्री
treatment चिकित्साको
distribution वितरण
wales वेल्स
sound धुन
model प्रतिक
races जातिहरु
organism प्राणीका
tame पाल्ने
lui लुई
remain रहनु
do गरिन्
simplify सरलीकृत
shadow छाँया
1895 १८९५
hut कुटी
metre मिटरभन्दा
zone अन्चल
17 १७
france फ्रान्सको
dev देव
football फुटबलको
male पुरुष
successful सफलतापूर्वक
job नोकरी
shape आकारको
certain निश्चित
exile निर्वासन
thi ती
tropical प्रदेशीय
tada टाढा
field मैदानी
house हाउसले
cold चिसो
universal शाश्वत
any कोई
1960 १९६०
namibia नामिबिया
valley तराईको
remarks टिप्पणी
when जुनबेला
worship पूजाको
commercial व्यवसायिक
races जातिहरू
bus बस
wherever जता
renowned विख्यात
base बसे
islam इस्लामी
require चाहिन्छ
transportation यातायातको
anubhav अनुभव
to जीलाई
devi देबि
pneumonia निमोनिया
mother आमा
eye आँखाको
principle अवधारणा
hurdles बाधा
balaram बलराम
known ज्ञात
identify पहिचान
road मार्ग
did गरिए
before अघिसम्म
link लिंक
initially प्रारंभमा
watch घडी
worlds विश्वका
cow गोरु
youth युवा
fall पर्ने
see हेर्नुहोस
river नदिको
sammelan सम्मेलन
article लेखको
subcontinent महाद्वीपमा
anesthetic एनेस्थेटिक
because किनकि
accepted मानेका
force फौज
liberation निर्वाण
shah शाहको
legislative व्यवस्थापिका
cheque चेक
section शाखा
fruit फलको
completely पूर्णतः
ho हो|
intelligent विद्वानहरुले
culture सास्कृतिक
mahavir महावीर
victory विजय
good कुशल
barber नाउँ
minute छरितो
surname थरबाट
lord देवताको
is हुनुहुन्छ
capital सदरमुकाममा
announced घोषित
lama लामाको
romania ईश्वर
things कुराहरु
having भएकोमा
do गर्न
sant सन्त
99 ९९
ruru रुरु
complete सम्पन्न
trick चाल
b.c ईशापूर्वको
ghar घर
generally प्रायजसो
love प्रेम
balance सन्तुलन
preach उपदेश
trustworthy भरपर्दो
complex परिसर
kirk कर्क
fact तथ्य
late स्व
forum मंच
place स्थानको
friend साथी
spoken बोल्ने
bring ल्याइ
done गरेका
participant सहभागी
1400 १५००
do करता
development विकाश
assumed मानी
correction संशोधित
2010 २०१०
seen देखिएको
rupees रुपैया
chaturdashi चतुर्दशी
normally सामान्यत
happen भएको
iron फलामको
working कम्तीमा
himself आफू
countless असंख्य
initiation पहल
feelings भावना
mention उल्लेख्य
ramayan रामायण
tarmac कालोपत्र
alteration रूपान्तरण
leave रही
sect पक्षलाई
design रुप
operation अपरेसन
punishment अपराध
cleanliness सफाई
river बागमती
around वरिपरिको
veda वेदको
security सुरक्षाको
begin शुरु
porn पार्न
part बाटोको
type किसिमले
football फुटबलका
now अब
specially विशेषतः
different भिन्न
baar बार
did गर्थ्यो
cholesterol कोलेस्टेरोल
dharma धर्म
pond दह
ha हा
dat डट
draupadi द्रौपदी
joint गाँसिएको
strong सशक्त
home आश्रम
shape खड्ग
prosperous सम्पन्न
singh सिङ्
take लिने
democracy प्रजातन्त्रको
parashuram परशुराम
france फ्रान्सका
himalaya हिमालय
kanchenjunga कञ्चनजङ्घा
unable नसके
bread रोटी
plenty प्रसस्त
standard मानक
country माली
including मिलाएर
sign चिन्ह
sixth छैटौं
come आउनु
mound स्तुपा
arrived पुग्दा
beautiful सुंदर
san सन
three तीन
bomb बम
porcupine दुम्सी
software सफ्टवेयर
beneficiary लाभान्वित
last पछिल्ला
aim लक्ष्य
their यिनिहरु
gahan गहन
open खुल्ला
830 ८३०
verma वर्मा
about जति
development विकास
middle माध्यमिक
done गरेकाले
meet भेट्न
glucose ग्लूकोज
quarrel लडे
around वरिपरी
things कुराहरू
harischandra हरिश्चन्द्र
civilisation सभ्यता
snow हिम
done गरिनु
