will vullnetin
uranium urani
result pasojë
infinitesimal infinitezimale
hand dorën
against kundra
periods periudhave
world botes
houses shtëpive
heritage trashëgiminë
public publik
screens paratë
especially veçohet
elegy elegjia
registered regjistruar
department departamenti
have ranë
role rolin
forgiven falet
future ardhme
presence prania
periodic periodike
goal qëllimi
celestial qiellore
thence andej
desire dëshirë
poet poeti
so menyre
tools mjeteve
published botua
official zyrtar
wealth pasuria
i illyricum
pinnacle kulmin
since meqënëse
color ngjyrë
parties palët
grammar gramatikore
families familjeve
history historinë
unite bashkoheshin
debts borxhe
noted theksonte
enough mjaft
books librave
print shtypur
object objekt
artisans zejtarisë
system sistem
acidic acidike
simply thjeshta
care kujdesin
miles kilometra
palace pallatin
milan milanit
proposed propozuar
bega began
operation operacionet
thread fijet
inhabitants banorëve
merchants tregtarë
lack mungesën
society shoqërinë
fighters luftëtarëve
taken merren
representative përfaqësues
terrorism terrorizmit
press shtypi
postponed shtyu
taking marrja
moments momenti
epic epike
gjergj gjergjit
english anglisë
stretch shtrirje
realized realizuan
troops trupa
mostly tepërmi
favour favor
fate fati
kafka kafkës
worked institutit
similar njëjta
airport aeroporti
religious besimtarëve
diameter diametri
document dokument
road rrugën
testifies dëshmon
stick ngjit
continued vazhduar
measured mati
economically ekonomikisht
entirely tërësisht
theory teorisë
rejected refuzuar
geometry gjeometria
meet takonin
give japë
lacking mungonin
literary letrare
applications aplikacioneve
held mbajtur
consist atmosfera
ranges vargjet
good mira
exhibit shfaqin
hepatitis hepatitit
resemble kujton
dawn agimi
liburnia liburnët
slowly ngadalë
armies ushtrive
colonies kolonive
merit merita
happen ndodhën
reported njoftuar
station shtëpisë
hydrogen hidrogjen
content përmbajtja
ads reklama
however megjithëkëtë
surrender dorëzuar
features tipareve
atmosphere atmosferë
people njerëzve
thread fijes
stones gurësh
samples modelet
pollution ndotja
fish peshq
impact ndikimin
previous paraardhës
cuba kubë
jupiter jupiteri
students studentore
hoped shpresonin
value vlere
sugar sheqerit
municipal komunal
coffee kafe
is ështe
categories kategoritë
home shtëpiake
phase faza
trulli truri
try përpiqet
throw hedh
definitive përfundimtar
albanian shqiptarëve
more shume
home shtëpi
stays qëndron
hermeneutics hermeneutika
phase faze
athletic sportive
remain mbeteshin
requests kërkesat
believer besimtari
computer kompjuterët
gate portës
prevented pengoi
winters dimra
napoleon napoleonit
preferred preferuar
resurrection ringjalljes
precipitation reshjet
silver argjendi
forces forcave
yours juaj
system kinematika
of e
harmony harmoni
think mendoj
shares ndan
only vetem
time koha
affordable volitshme
environs rrethina
roma romë
listing renditur
systematic sistematika
then mandej
origin prejardhje
university universitet
star ylli
information informimit
connection lidhjes
directly drejtpërsëdrejti
secret fshehta
released lëshohen
use përdornin
albania shqiperise
scene skena
mine minierës
soviets sovjetikët
allow lejonte
polar polare
reports raportet
reform reformat
conflict konflikt
land truall
lion luani
glass gotë
native autoktone
wore mbajtur
eleven njëmbëdhjetë
processing përpunimi
natural natyrshme
our tonë
formed formoi
weather motit
satisfies plotëson
staff shtabi
exchange shkëmbim
bird shpendëve
process procesin
traces gjurmët
ocean oqeanit
awards mirënjohjet
opens hapet
whenever kurdoherë
liquid lëng
effects efektet
use shfrytëzim
remaining mbetura
expenses shpenzimeve
issues çështje
form formonte
elements elemente
connect lidhë
ottomans osmanët
tradition traditë
classic klasik
east lindjen
districts rrethet
political politike
evidently dukshëm
discovered zbulohet
done behet
area zona
step hap
communities komunitete
protocol protokoll
harbour liman
building ngritjes
forgive fali
pretends pretendon
balkan ballkani
each cdo
bees bletët
start fillimin
sites faqet
procedure procedurë
lessons mësimet
sultan sulltani
strongly fort
communion bashkësia
ibm ibn
stance qëndrimi
shed hedhin
so prandaj
sodium natriumi
benefit përfituar
friends miqve
conflicts konflikteve
keep mbahet
clubs klubin
protection mbrojtjes
moments momente
shen shën
dimer dimër
fund fondi
fight luftojnë
gratitude mirënjohjet
circuit qark
layer shtresën
other tjeter
date daton
fix rregulluar
culture kultures
ranks radhët
bosnian bosnjës
oppose kundërshtonte
potassium kaliumi
tools vegla
martial marciale
constructed ndërtuara
hydrography hidrografia
romans romanet
number numer
change ndryshim
knowledge diturisë
craft zanat
military luftarake
southeast juglindje
time çastin
skull kafkës
treating trajtimin
package pakët
waiting pritje
muslim myslimane
conflict konfliktet
formed formohen
foreign huaja
feet këmbëve
local vendas
issued nxori
stuff gjëra
revolution revolucionit
fondation fondacioni
humanity njerëzimi
slaves skllevër
stretching shtrihen
particularly veçanërisht
staff shtabit
things gjërat
done kryera
decide vendos
army ushtria
surname mbiemrin
periodical periodike
there atje
values vlerat
had desh
programmes programe
fish peshk
mr zoti
constant konstant
christian krishterë
mission misionit
latest fundme
autism autizmi
degree shkallën
stated theksonte
rise ngritën
comes vie
big medha
of i
deputy deputeti
acts skenat
debar dibra
state shtetit
violent dhunëshme
members pjesëtarët
completed përfundua
work punojë
actual konkret
sportive sportiv
areas vise
holy shenjtë
page faqja
frequency frekuenca
african afrikën
try përpiqen
evil liga
bones kockat
administration administratën
member anëtar
road rrugës
mountains maleve
have kane
socrates sokratit
quran kuranin
refused refuzoi
which cili
slaves skllevërit
illegal ilegale
components komponente
valley bjeshkë
classification klasifikimi
soviets sovjetikëve
species gjallesave
retain ruan
previous mëparshëm
lack mungesës
principles parimeve
indicator tregues
prose proza
extraction nxjerrja
hospitalized shtruar
accountability kontabiliteti
association shoqata
quality cilësi
decrease uljen
intellectual intelektual
network rrjetit
municipality bashkia
dominated dominuar
chest gjoks
levels niveleve
weapons armë
four kater
environment mjedis
conclusion përfundimin
balkans ballkani
life përjetshëm
impossible pamundur
gorge grykën
easy lehte
are jepen
songs këngëve
spot vatra
church kishtar
were gjendeshin
missing mungojnë
volunteers vullnetarë
both dyja
the tërësia
mosque xhamia
victory fitorja
albanians shqiptarësh
mentioned përmenden
egyptian egjiptian
fibers fibrat
inspired frymëzuar
allowed lejohet
power pushtet
initiative nismë
stream derdhet
bed shtrat
minerals mineraleve
encounter ndesh
vitamins vitamina
needs nevojave
randomly rastësisht
football futboll
yellow verdhë
layer shtresës
constitute përbëjnë
directions udhëheqëse
formations formacione
pine pisha
your juaj
ranges sillet
yours jush
shows dëshmon
types tipe
europeans evropianë
gorge laguna
release çlirimi
plant bimore
new nju
kosovo kosovës
bricks tullave
name gani
muscle muskulaturës
hertz herci
cast hodhi
analog analoge
realized realizua
shrinkage tkurrje
involvement përfshirja
invited ftoi
requirements kërkesat
fighting luftonin
feeling ndjenjën
nets rrjetat
cloning klonimi
colour ngjyra
thrown hodh
lithuania lituania
have kemi
heart zemrës
conference konferencë
city qyteti
decline rënien
russian rus
role rolit
muslim myslimani
crises kriza
flower lule
area zone
world boten
steel çelikut
sometimes ndonjëherë
bekir beqir
contribute kontribuar
bloody përgjakshme
experiencing përjeton
women femrat
particles thërrmijave
historical his
mountains bjeshkët
mankind njerëzimi
metropolises metropoleve
process procesit
although ndonëse
inspiration frymëzimi
grape rrushi
wet lagësht
quantity sasi
give jepte
diverse larmishëm
prayer namazit
ancient lashtësisë
build ndërtuar
ad krishtit
aid ndihmës
learning mësim
submitted parashtroi
montenegrin malazezë
gain fituar
discs disqeve
press shtyp
families familjes
allies aleatëve
stations stacionet
stop ndal
since meqë
red kuq
apparatus aparati
show tregohet
european europian
binary binarë
lined vijëzuar
alpha alfa
lagoons laguna
advantage përparësi
width gjerësi
french frënge
administration administratës
portrait portreti
series sërë
wheels rrota
realization realizimin
pleasure kënaqësi
patient pacienti
detail hollësi
strategic strategjik
late vonuar
church kishën
skin lëkurë
armament armatim
options varianteve
collect mbledh
rare rralla
impact ndikimit
form krijohej
month muajt
forms format
bouzouki buzuku
homeland atdheun
harbour portin
officers oficerët
ridges vargmalet
size madhësi
divine hyjnore
library biblioteka
bird zogu
fighter luftëtar
prayer falja
ambient ambientit
eventually eventualisht
disappears zhduket
wrote shkroi
strict rreptë
pioneering kërkime
etc etj
line linja
european evropian
questions pyetjet
presence pranisë
invasive pushtuese
west perëndimin
already tashme
example shëmbull
these këto
modified modifikuar
european evropianë
discharge derdhen
illyrian ilire
details dhënat
operated vepronte
pact paktit
epistolary larta
singing këndonte
view grafike
kuran kurani
russia rusisë
characters personazhet
dedication përkushtim
poor dobët
giant gjigant
speak flisnin
quantity sasia
ball topi
compiled hartuan
holding durres
reduce ultë
efforts përpjekjet
contraction tkurrje
times kohëra
used përdori
powered mundësuar
subjects lëndëve
air ajër
understands kupton
was qene
try mundohen
cell qelizes
triangular trekëndëshi
architect arkitekt
indo indoevropiane
quench kalit
harbor liman
pupils nxënësit
cultures kulturat
made përbëhet
historic historike
paid paguar
learn mësonte
families familjet
adriatic adriatik
faith bese
country vëndi
dogs qentë
december dhjetorit
valuable çmuar
considered konsideronte
physical jetësor
founder themeluesi
wars luftrave
coca koka
actual aktuale
fixed fikse
mission misionin
swimming not
rings unazat
kosovo kosovën
historiography historiografia
throughout mbarë
denmark danimarka
made perbehet
rather përkundrazi
duty detyrës
organs organet
out jashte
organizations organizatat
ornament zbukurim
eurovision eurovizion
did bënin
motive shkas
english anglezët
faithful besnik
library bibliotekës
confidence besimi
dwellings vendbanimet
spain spanjës
leaders udhëheqësve
economical ekonomikë
kingdom mbretëri
see shoh
generated gjeneruar
steam avulli
fern fier
entirety tërësi
world boterore
coastal bregdetar
rhythm ritëm
call quan
atmospheric atmosferike
instrument mjeti
vlora vlorës
scholarship bursa
reich perandori
types llojet
cat mace
grapes rrushi
resided banonin
thermodynamics termodinamika
passport pasaportë
published botuar
process procesi
mixed përzier
coal qymyrit
based mbështetej
dangers rreziqet
life jetën
tetovo tetovë
south jug
do bërë
etymology etimologjia
your tënde
uses përdor
daily përditshme
sustainable qëndrueshëm
densely dendur
peace paqe
circulation qarkullimi
riemann riemannit
publishes boton
however mirëpo
captive rob
look shihte
users përdoruesit
old lashtësisë
macedonian maqedon
northwest veriperëndim
mecca mekkë
surrender dorëzimin
reach arrihet
standards standardet
rational racionale
extends shtrihet
rate shkallën
list lista
distributed shpërndara
russia rusia
expression shprehja
completion përfundimin
indian indisë
mission misioni
physics fizikën
pressure shtypjes
pasha pashës
yugoslavia jugosllavisë
region regjionit
examples shembujt
invade pushtoi
remained mbeti
interest interesi
together bashkuan
church kishës
platinum platina
along krahas
illustrated ilustruar
had patur
designation emërtimi
publication botim
identified identifikohen
quietly qetë
ends skajet
major madhor
other tjera
meeting mbledhje
resembles ngjan
arrival mbërritur
manual krahu
serious serioze
migrated emigruar
status statusit
kinetic kinetike
represented përfaqësuara
distinguished dallohen
nationality kombësisë
permit lejojnë
love dashuri
played luanin
classical klasike
malesia malësisë
white bardhi
plates pllaka
image imazhin
ethnic etnike
border kufitare
declared deklaruar
talks bisedimeve
measures masave
commander komandanti
save shpëtonte
minority pakicë
view synimin
father baba
said thuhej
prince princit
temporary përkohshëm
education arsimit
past kaluarën
authority autoritetin
technical teknike
theory teorinë
christianity krishterimit
tree pemë
placed vendosen
cyclic ciklike
fire zjarrin
type lloj
opening hapja
via nëpërmes
disc disk
sold shitur
royal mbretëror
insurgents kryengritësit
table tabela
journalism gazetari
amount sasi
parliament parlamenti
head kreu
assistance asistencë
district krahinën
provinces rrethinat
principle parimi
montenegrins malazezet
wine verës
mine sime
choose zgjedh
yoke zgjedha
slave rob
cults kulteve
christ krishtit
authors autorëve
has pati
ukraine ukrainë
name gokut
surrounding rrethohet
commercial komerciale
crafted punuara
assembly asambleja
municipalities komuna
metropolitan mitropolit
dates datat
german gjermanike
sports sportive
korea koreja
gender gjini
published botuan
layer shtresë
build formonin
democratic demokratik
contents përmbajtja
minorities pakicave
dependence varësi
mentioned përmendet
attempts përpjekjet
found hasen
reactions reaksionet
physics fizikës
tools veglat
friends shokë
points pikë
the kelmendi
circle rrethi
called quajtur
memory kujteses
china kina
montenegrin malazezet
name haklaj
to drejt
verse vargje
represented përfaqësohet
back përsëri
women grave
elections zgjedhjet
worked punuan
fellow bashkatdhetarëve
critical kritikë
bases bazave
temples tempujt
belgrade beograd
stays mbeti
biological biologjike
person personit
infrastructure infrastrukturës
magazines revista
via nëpërmjet
junior jr
tomorrow nesërmen
severe ashpër
officer oficer
fluid lëngu
became bënë
malesia malësi
meet takonte
slovak sllovakisë
strengthened forcua
level nivelit
expression shprehje
establishment krijimi
monday hënën
begin fillonin
schools shkolla
pasha pashën
securities letrave
mouth gojë
hoxha hoxhës
calls thërret
black zezë
called thirri
physiological fiziologjike
offer ofrojnë
step hapi
rate shkallës
community komuniteti
forces forcat
stephen stefan
characteristic veti
wall murit
russians rusinë
bath banja
contact kontakte
fuel djegëse
geographically gjeografikisht
mind mend
slovakia sllovakisë
held mbahej
found gjetën
but veçse
continue vazhdonin
past kaluarës
described përshkroi
explain shpjeguar
destroyed shkatërrohet
authority autoritet
gravitation gravitacionit
albania shqipëri
act veprim
term termit
hit godet
hill kodrës
heart zemër
systematics sistematika
europe evropës
summer vera
other tjetri
romania rumania
times kohëve
trait trajtë
your tuaj
passive pasive
thence këtej
animal kafshë
trade tregtisë
conditions rrethana
court gjyqësore
issue lëshojnë
completion përfundimit
upper epërme
up ngrihen
subjects subjekti
byron bajroni
stores dyqanet
professor profesor
body trupin
contraction tkurrjes
reserve rezerva
city kuçovë
increase rrisin
einstein ajnshtajnit
obligations detyrimeve
experience eksperienca
tool paisje
days ditet
canal kanali
general përgjithësi
homeland atdheut
twenty njëzet
country vend
painter piktori
headquarters selinë
occupiers pushtuesve
prepared përgatiti
wonderful mrekullueshme
duties detyrat
tumors tumoret
basic bazat
series serinë
items sendeve
youthful rinor
demand kërkesës
city pogradecit
region regjion
excellent shkëlqyera
five pesë
bey bej
now tani
status statusin
kruja krujës
relationships marrëdhëniet
site kantieri
search kërkimi
mat matit
clear qarte
population popullsisë
concerts koncertet
photo foto
contains përmban
organisations organizata
cut prerje
included përfshinin
when kur
examples shembuj
homeland atdhetarë
about afro
rain shiu
durres durrësi
music muzikë
tribes fiset
provide siguronte
sight pamurit
assessed vlerësoi
before para
noted shënohet
big mëdha
up ngrihej
herbs bimëve
forced detyrua
approval miratimin
star yllit
killed vra
bulgaria bullgari
thesis teza
feminine femërore
differentiation diferencimit
sixteenth gjashtëmbëdhjetë
increased rritur
institute instituti
liver mëlçia
wave vala
kosovo kosovarë
rotation rrotullimit
earthquake tërmetet
library bibliotekat
suites suita
victory fitore
hosts ushtrive
out nxjerrë
regulation rregullimin
often shpesh
poetry poezisë
gorge gryka
simultaneously njëkohësisht
immediate menjëhershëm
base baze
goods mallrave
ideas ideve
systematic sistematike
sugar sheqeri
education arsimin
create krijojnë
lies gjendet
what çka
center qendrën
biology biologjisë
quantum kuantik
podgorica podgoricës
individuals individëve
represented përbënin
said thuhet
emperor perandor
rays rrezeve
subjected nënshtrohet
perform kryejnë
chess shahu
group grupin
war luftës
through nëpër
hero heroit
requests kërkesave
airport aeroportin
back kthye
mother nënë
frenchman frances
said tha
variant variantin
text teksti
wealth pasuri
plane avionë
plav plavës
origin origjine
operating vepronin
steps hapa
leave largohen
capital kryeqytet
communism komunizmit
monday hënës
become bëhej
specified cilësuar
combination kombinim
confront kundërvihet
human njerezore
durres durresi
manner mënyrën
row radhë
tour tur
fragmentation copëtimit
sense kuptim
autonomy autonomiste
night natë
contact kontakt
prevent parandaluar
technology teknologjinë
vertex kulm
art artit
principles parime
history historike
body trupit
provinces krahinave
polished lëmuar
bay gjirin
outside jashtë
about lidhur
district qarkut
philosophical filozofike
flow rrjedhë
some rreth
violence dhunën
work veprës
film filmi
difficulties vështirësitë
programming programimi
them t´i
this ketij
october tetorit
includes përfshinë
outstanding ndritur
en sq
superb madhështore
chemical kimik
broken thyer
protect mbronte
fourteenth xiv
began filloi
more ma
letters shkronja
applied aplikuar
movable lëvizshme
more shum
attack sulm
title titull
particles grimcat
logical logjike
atom atomit
centuries shekuj
why përse
whirl rrotullohet
agricultural bujqesore
lumbar mesit
publications botime
life jetës
gods perëndive
exercises ushtrine
tool mjet
shines shkëlqim
reserved ruajtura
note përmendet
ruins rrënojat
during gjat
ocs gjilani
my ime
he tha
respond përgjigjur
appointed caktua
euro eur
enrichment pasurimin
low ulet
others tjerëve
presence praninë
village fshat
letters shkronjat
goku gokun
america amerikës
authority autoritetit
war luftën
cooker paketat
belong perket
province provincë
scenes skenat
bore lindi
spread përhapjen
accordance përputhje
fund fond
description përshkrimin
businesses bizneseve
races garat
elements elementet
systems sisteme
believing besimtari
tale përralla
government qeveria
physical fizike
organized organizoi
received moren
inhabited banohej
partition copëtimin
thanks sajë
wealth pasurisë
usually zakonisht
direct direkte
membrane membranës
million milionë
resolve zgjidhte
publications botimet
submission dorëzimi
aegean egje
trimmings stoli
christianity krishterimin
what asaj
government qeverisë
relatively relativisht
personalities personalitetet
selected zgjodhën
violently dhunshëm
basic themelore
prizren prizreni
work veprën
thick trasha
baked pjekur
worked punuara
batch grumbull
chuang kosova
platoon platoni
incoming hyrëse
valleys luginat
destroys shkatërron
gifted dhuruar
follow ndiqte
aid ndihmat
channel kanalin
castle kala
turnover qarkullimi
center qendrës
laws ligjeve
model modelit
gazing vështruar
seasonal sezonale
lipids lipidet
areas zonat
popular popullor
other tjere
tabak tabakëve
lies qëndronte
good mire
italian italianë
india indisë
existing ekzistues
bulgaria bullgarisë
lab llapit
except përvec
fluvial lumor
craftsmanship zejtarisë
acceptance pranimin
happy gëzuar
evolved evoluar
think mendja
manner menyre
trends prirjet
communication komunikacionit
law zakon
variants variante
be jete
organizations organizata
universal universale
respectively gjegjësisht
ruling sundimin
owned zotëronte
towers kullat
child fëmija
chief shefi
so menyrë
aspects aspekte
few pakta
nets rrjeta
oriented orientuar
regulation rregullimit
informations informacione
parallel paralel
basin pellgu
group grupit
muscle muskuli
because ngase
conqueror pushtuesi
spring pranvera
welcome vini
woman gruaje
france frances
match përputhen
safe sigurtë
columns shtylla
city shkodër
coast brigjet
undoubtedly padyshim
selected zgjedhur
milk qumësht
leave largohet
glucose glukozës
layers shtresat
goods malli
then atehere
rocks gurët
order rendin
implementation zbatimi
building ndërtesa
volunteer vullnetarë
gene gjenin
family familjen
is gjendet
champion kampion
completeness tërësinë
vietnam vietnami
politics politike
guerilla guerile
information informacion
wong juniku
appreciated vlerësoi
northeastern verilindore
field fushore
effort përpjekja
tzar car
so aq
interpreted interpretuar
acids acidet
virtually praktikisht
microscope mikroskopi
naruto narutos
sensible ndjeshme
tiger tigër
north veriut
call thirrur
founded themelua
as kur
server serveri
keeps vazhdojë
treaties traktatet
researchers studiuesit
taught mësonte
won fituar
bad keq
security sigurinë
distinguishes dallon
academy akademisë
encyclopedia enciklopedia
terrain terreni
competences kompetencat
acid acidi
permits lejon
allies aleatët
small vegjël
self veten
dedicated kushtohet
expand shtrirjes
signs shenjave
art artin
ceramics qeramika
islam islame
its saj
degree shkalle
coast bregut
encounter hasim
background prejardhja
west perëndimi
love moj
vain kot
goku gokut
forgotten harruar
proficiency aftësisë
have kan
ear veshit
successes sukseset
blocked bllokuar
arabs arabët
family familja
urban urbane
names emrave
community komunitet
me mua
canto këngë
approximately përafërsisht
special veçante
stream lumë
clusters grupimeve
fat yndyra
virus virusi
principle parimin
profit fitimit
yugoslav jugosllave
question pyetja
lifestyles jetesës
region regjioni
family familjare
pierce përshkon
red kuqe
communities bashkësive
go shkojnë
partially pjesërisht
structure struktura
nephew nipit
new rinj
election zgjedhor
successors trashëgimtare
religions feve
expressed shprehu
view pamja
declaration deklaratën
enemies armiqtë
live gjalla
choice zgjedhja
found gjet
residential banuara
intervention ndërhyrje
author autorin
definition përkufizimi
freedom liria
behaves sillet
unit njësi
recreation argëtim
creations krijimet
orient orientuar
refer drejtohet
spiritual shpirtëror
demography demografia
greek grekët
considered mbahej
country vendit
complete plotësojë
required kërkonte
affects ndikon
secretary sekretar
era epokë
summer verës
variations variante
mass masiv
performs kryen
cape kepi
northern veriorë
systems sistemeve
baronetcy bajronit
through nëpërmes
girls vajza
comptroller llogaritësit
intention njëjtit
personals personale
rival kundërshtare
characteristic karakteristik
named quajtën
hp kf
factors faktorë
trees drunj
sector sektorin
orthodox ortodoks
ramazan ramazanit
darwin darvini
discovery zbulimi
neighboring fqinjë
civilization civilizimit
attack sulmin
drives disqet
soul shpirtit
action aksioni
denmark danimarkës
own zotëron
next vijon
believes postare
series seriali
wars luftërave
top krye
new ri
organisms organizmave
church kishe
almost pothuajse
mankind njerëzimit
stay qëndrojnë
beograd beogradit
teams ekipet
mitrovica mitrovicës
artist artisti
acid acide
concepts koncepte
slap mu
integration integrimit
helium heliumi
neighboring nene
begin fillojnë
distributed shpërndanë
berat berati
i une
islam islami
saranda sarandë
macedonian maqedonasit
family familjes
graves varrezat
hose gëte
serious serioz
opposition kundërshtimin
entries shkrime
paleolithic paleolitit
change ndryshimit
model modelin
see shihte
league ligën
order rendit
credit kredi
files skedave
sound shëndoshë
idea mendimi
item çmim
proclaim shpalli
sent dërgohen
declaration deklaratës
found gjendeshin
wards reparte
age moshën
mining minerare
workshop punishte
religious feje
operating veprojnë
took zuri
lose humbet
research hulumtimet
fell ranë
water ujore
albanians shqiptarëve
near afërme
special posaçme
albanian shqipe
family familjet
proliferation shumimi
enemy armikun
back kthehej
historiography historiografisë
movement lëvizjen
globe globi
broadcasting transmetimit
famous famshëm
reverse anasjelltas
field lëmi
organisms organizmat
matter materies
vital jetike
view pamje
gravitation gravitacional
anti kundërosmane
change ndryshonte
telescope teleskopi
origin origjina
mr. zoti
scientific shkencorë
qualify cilësohet
mine mi
strategy strategjia
whether qoftë
christian kristiane
brown kafe
origin origjinën
gangs bandave
structure strukture
length gjatësinë
olympia olimpia
combined kombinuar
man burri
followed përcjellë
auxiliary ndihmesë
join bashkohet
foreigners huajt
eight tetë
mass shumicë
produces prodhon
similar afërme
principal kryesor
leave largohej
choice zgjedhje
frequent dendura
lost humbur
winner fitues
follow ndjek
atoms atomeve
primary primar
efforts përpjekjeve
problem problemin
found gjërë
introduction futjes
busy zënë
accepted pranonin
wandered end
began filluan
namaz namazit
experienced përjetoi
scientists shkencëtaret
autonomous autonom
germanic gjermanike
mythology mitologjia
autonomous autonomiste
reptiles zvarranikët
truly realisht
words fjale
gjergj gjergji
support mbështetur
endless pafundme
ties lidhjeve
earth token
ear veshin
liquid lëngu
temperatures temperaturat
forgiveness faljen
organize organizua
completed përfundoi
serves shërben
partners partnerët
close afër
doctrine doktrina
held mbajtën
race racës
benefits certifikata
movement lëvizjes
cattle bagëtisë
back kthehen
message mesazhi
summer verën
machiavelli makiaveli
stone gurëve
questionable diskutueshme
germany gjermani
statement deklaratë
soul shpirtin
appointed emëruar
thermal termike
literary letrar
land toke
hand dorë
grocery ushqimore
e-mail miqve
threads temat
took zunë
servants shërbyes
rocks shkëmbinj
attacks sulme
agnosticism agnosticizmi
communicate komunikojnë
harbor limani
argentine argjentinës
signs nënshkruan
mountains malet
developed zhvillohen
vilayet vilajeteve
continent kontinent
insurance sigurimin
drama dramë
is eshte
expected pritën
moderate moderuar
having kryerjes
author autorit
as përsa
cope përballuar
an nji
seas detet
sources burimeve
member anëtare
proves vërteton
actor aktor
sculptor skulptor
started nisën
fire zjarrit
neighbourhood lagjja
sector sektor
refined përpunuar
produced prodhoi
vilayets vilajeteve
living gjalla
together bashkon
police policore
projects projekteve
placed vendoset
skeleton skeleti
need nevoje
making dhuruar
priest prift
farming blegtori
other tjetra
mission mision
reserves rezervat
source burim
beginning fillim
britain britani
analyzes analizon
residents banorëve
aristotle aristoteli
clarendon lezhës
contradictory kontradiktore
implement zbatonin
leader lideri
spinal kurrizore
sizes përmasat
albanians shqiptarët
strong fuqishme
domestic vendas
expressed shprehej
treated trajtuar
converted shndërrohet
theological teologjike
ideas ide
strengthening forcimin
school shkolla
metal metalike
each secila
differ dallojnë
forgiveness faljes
biometric biometrike
gadget vegël
constitution kushtetuta
devices pajisjeve
love dashurisë
coast bregdetare
northern verior
early hershëm
separate veçuar
emerged shfaqur
published botoi
develop zhvillojnë
brought sollën
reading leximit
europe evropën
poetess poetë
borders kufijtë
operation operacioni
folks popujt
venice venedikut
width gjerësinë
sent dërgua
races garave
flotation flotacioni
lie ndodhen
architectonic arkitektonike
territory treva
product produktit
translation përkthim
bull dëm
hunting gjuetisë
active aktive
existed ekzistonte
determination vendosmëri
discussions diskutime
slavic sllav
dedicated kushtuan
mirdita mirditës
knowledge njohuritë
processes proceset
fought luftuan
agreements marrëveshjeve
defined përcaktuara
part pjese
inside brendi
brazil brazili
roll rrotull
viz dmth
theme tema
if nëse
not nuk
mechanics mekanikë
conference konferencën
generations brezat
concrete konkrete
to të
river lumore
girl vajzë
exploitation shfrytëzimi
bands çeta
led udhëhequr
region regjionin
cloud retë
twin dyfishtë
etymologist etimologjia
continued vazhdoi
seems duket
stated permendet
film filmit
noli nolit
structure strukturat
satellite satelitore
speed shpejtësisë
newton njutonit
filmic filmike
platform platformën
read lexohet
purposes qëllimeve
external jashtme
poetics poetika
albania shqiperi
expressed shprehen
love ndjenjave
last fundit
events ngjarjeve
theory teoria
relief relievin
winds erërat
which cilave
something diçka
have keni
support përkrah
anyway gjithsesi
venice venediku
mother ëma
decision vendim
issues çështjeve
has ja
popularity popullaritet
natural natyrshëm
sports sporteve
rates normat
portugal portugalia
freed lirohet
water uje
degree shkalla
monasteries manastiret
skull kafka
favorable favorshme
politics politika
shown dëshmuar
half gjysma
symbol simbol
definitive përfundimtare
net rrjeta
sentence dënim
hamlet hamleti
term termin
center qender
suffer vuajnë
complex ndërlikuar
order urdhri
school shkolle
leading drejtuese
family familje
yours tuaj
task detyre
chromosome kromozomike
developed zhvillohet
mining miniera
thunderer zeusi
conflicting kontradiktore
gloss shkelqim
like sikur
special veçanta
prophet pejgamberi
received marrë
field fushen
allied aleate
ceramic qeramikës
apple mollë
quickly shpejt
greek greqisht
position pozicionin
birth lindja
optics optikës
marine detar
south jugor
river lum
occupation pushtimi
this kjo
author autor
ear vesh
grammar gramatika
declared deklaroi
high lart
government qeveri
date datojnë
zinc zinkut
ban ndalimin
general përgjithshëm
each secili
dynamic dinamike
advanced përparuar
alone vetëm
albanian shqipen
users përdorues
marine detare
people popuj
operator vinci
source burimi
insurance sigurimit
change ndryshimin
constant konstante
deserves meriton
conference konferencës
ahtisaari ahtisaarit
search kërkim
colony koloni
dense dendur
effective efektiv
hierarchy rangut
that që
museum muze
etymological etimologjike
founder themelues
organization organizatat
rich pasura
task detyra
little paksa
bajram bajrami
enough mjafton
genesis zanafilla
transitional tranzicioni
barge ndesh
affairs punët
songs këngët
over kalimin
economic ekonomike
first parën
year vjet
speak flasin
things gjëra
macedonia maqedonisë
platform platformës
significantly ndjeshëm
climatologists klimatologjia
cheops keopsit
cause shkaku
face fytyra
concert koncert
wall murin
moves lëviz
land toka
question pyetje
virtue vetitë
match ngjashmëri
research kërkimeve
scientist shkencëtar
perspective perspektiva
religion besimin
calculated llogaritet
switzerland zvicra
holes vrimave
strategy strategjik
references referencat
responsibility përsipër
mine mia
area zonen
forerunner paraardhës
government qeverisjes
artists artistë
shine shkelqim
serbians serbëve
letter letrës
its vet
organization organizate
symbol simbole
internet internetin
argue argumentonte
islam islamin
number numrit
free çliruar
residential banimit
bring sjellë
height lartësia
soviet sovjetik
violent dhunshme
time here
later mëvonshme
louis luigj
reach arrinë
community komunitetet
durrës durresit
command komandën
core bërthamë
aerial ajror
evolution evolucioni
improve përmirësuar
plucky gjergji
earthquakes tërmete
luck fat
know njoh
vatican vatikani
essential thelbësor
out nxjerr
undertakes përsipër
rebellion kryengritja
century shekull
talk flasim
methods metoda
withdrawn tërhoqën
united bashkua
implemented zbatuar
maintained ruajtën
echoed jehonë
canada kanadanë
years vjet
precincts rrethinat
induce nxit
developed hartoi
direction drejtim
suddenly papritur
size madhësisë
