standalone samostatný
also také
called nazýva
son sin
environment životné
diamonds diamantov
parliament parlamentom
orbit obežnou
air ovzdušia
steam pary
supported podporované
world svetová
plates platne
prevent zabrániť
called nazývame
remote vzdialené
couple páry
slats látkami
products produkty
excluded vylučujú
asia ázie
climate klímy
trigonometric goniometrických
weight hmotnosti
mode móde
motives motívy
files súborov
brother brat
not nebude
track skladby
doubt pochybnosti
amount hodnota
typical typické
cattle dobytok
effective efektívne
characters znakov
scanner skenera
right pravé
overcome prevládajú
substance látku
resistors rezistorov
stones kamene
leader vodca
ocean oceánu
character charakteru
solicitude starostlivosť
here sem
classification klasifikácia
secretly tajne
formally formálne
each každú
independently nezávisle
guided riadené
be dajú
benefit dávky
exit ukončiť
molecule molekúl
preparation prípravy
former bývalý
archbishop arcibiskupa
derivative derivácia
longer dlhšie
austria rakúsku
nucleus jadrové
additionally prídavné
historical historická
evolution evolúcie
one jedného
organization organizácia
by prostredníctvom
bratislava bratislavu
physiological fyziologické
ground zemou
support podporujú
work fungujú
disc disk
reform reforiem
encounter stretnúť
castle hrad
teachers učitelia
common spoločné
spanish španielska
concentration koncentráciu
defense obranu
famous slávne
education vzdelávanie
average priemer
degrade rozkladá
unrecognized neuznané
considered uvažuje
europa európu
malta malte
western západne
u.s. americké
reign panovania
former dánska
memory pamäti
each každom
features črty
opera operu
characters postáv
liberty slobody
area plochu
saw videl
chain reťazec
coordinates súradnice
rebels povstalcov
partly sčasti
individual jednotlivých
foreign zahraničnú
located nachádzala
previous predchádzajúceho
significant významná
lying ležiace
thickness hrúbka
culture kultúrou
their svoje
impact vplyvu
conscious väzba
enlightenment osvietenstva
game hre
medici mediciovcov
cause príčinou
japan japonska
similar podobnú
medieval starovek
home domáce
luck šťastia
music hudba
go ísť
obese obežných
workers pracovníci
stretches tiahne
nazi nacizmu
newspaper noviny
distribution distribúcie
general generáli
vote hlasovanie
co-operation spolupráce
said vraví
graduating absolvovaní
area rozlohy
heat tepelné
price cena
each každý
elizabeth alžbety
mars marse
settlements osídlenia
theory teóriu
initials iniciály
japanese japonci
hounds durič
include zaradiť
close blízkej
below nadol
business podnikov
decree dekrét
enough dosť
communist komunistickej
scheme schémy
conclusion záver
occupied zaujíma
life životným
coin mince
ended ukončení
domain domény
radiation žiarenia
breeds pestuje
air leteckej
smallest najmenšie
techniques techník
form tváre
director riaditeľ
accepted prijala
they tí
prešov prešovský
social sociálnej
usually pomerne
scene scéna
hlinka hlinku
why pocit
contact kontakte
rebel povstaleckej
so tak
contact styk
office pracovných
exchange výmeny
permanent trvalý
applied uplatňuje
improvement zlepšenie
end koncového
exactly presne
creating vytvorenie
preserve zachovať
immediately ihneď
pc počítaču
denmark dánsko
surrender vzdať
rather skôr
instruments nástroje
situations situácii
method metódou
planet planéty
preparation prípravu
current súčasnom
quick rýchleho
implementation vykonávanie
media médiách
future budúcich
smaller pomalky
resources prostriedkov
can môžu
slovak slovenskou
provided poskytnúť
divides rozdeľujú
atmosphere ovzdušia
typical typickým
architecture architektúre
normalisation normalizácia
earth zem
changes zmien
state štáte
asia ázia
bratislava bratislavy
afghanistan afganistan
u.s. americkí
any ľubovoľné
christians kresťanov
memory pamäte
introduced zavedený
professor profesor
people ľudovú
iowa trenčiansky
software softvér
reserve rezerva
bad zlá
shape tvarom
unity jednoty
lower menším
languages jazykoch
education vzdelávania
defense obrany
falls prípadné
appears vznikne
farmers roľníkov
title tituly
this tohoto
age vek
european európskych
public verejné
technologies technológie
here tu
you tí
waterfalls vodopády
film filmu
molybdenum molybdén
project projektu
exchanges výmeny
breeds plemien
show zobrazujú
fluent plynné
uniformly rovnomerne
turkey turecko
end vystupujú
derivative derivácie
port prístav
number číslice
sticks látky
someone niekto
medicine lekárstva
carbonate uhličitan
parliament parlamente
commercial komerčne
commands príkazy
all všetci
television televízne
content obsahom
same istým
fibres vlákien
we musíme
when pi
elan elán
base základnou
highest najvyššej
picture obrázku
learning učenia
occurrence výskytu
optional volí
in ú
wall stene
city mesto
work pracovnej
face tvár
meets zásade
franc frank
requesting žiadal
publishing vydavateľstvo
obtained získané
production výrobu
austria rakúskom
significantly značne
say tvrdia
paris paríž
dispute spor
ministers ministri
dissolved rozpúšťa
order rádu
rock skalné
root kôre
rym rým
game hra
theory teórii
things vecí
long dlho
european európskej
instead namiesto
demanding náročné
songs piesne
terrier teriér
stooped prestal
great obrovskú
infectious infekčné
competence príslušnosť
work pracovali
muscle svalov
appear objavujú
spiritual náboženská
threshold prahy
connect pripojiť
shoes obuvi
elevations polohách
st. svätého
connected spojené
uses používa
similar podobný
receives dostáva
strong silnej
employment zamestnania
at u
appropriate príslušných
always vždy
measurements meraní
created vytvorený
schools škôl
priests kňazi
fully plné
origin pôvode
austria rakúsko
figures počty
liberates uvoľňujú
penetrated prenikli
matt matej
polar polárnych
attempted pokúsil
coin minca
architecture architektúru
for o
correct správnej
visit navštíviť
u.s. americkým
sugary cukrová
proposal návrh
troubles starosti
precipitation zrážky
situations situácie
maintained zachovaná
rulers vládcovia
streets ulici
pattern vzoru
word slovo
know poznať
accounting účtovníctvo
occurred nastala
complex komplexu
suggests naznačujú
positively pozitívne
tens desiatok
exceptionally výnimočne
brazil brazílii
contact kontakt
north severným
nicholas mikuláš
regions regióny
protein proteínov
roma ríma
remains zvyšky
for určených
jewish židovský
time čias
trade obchodu
czechoslovakia československé
churches kostoly
sun slnka
another iná
clean čistý
protons protóny
architectural architektonické
cg ťažiska
tumor nádor
zhou čou
cannon kanóny
founded nájdené
effort snaha
nazis nacisti
men mužov
overview prehľad
images obrazov
2 ½
alps álp
statement vyhlásenie
west západ
roman román
bourgeois mestská
acts činy
right pravá
father otec
comet kométy
was vznikla
rate rýchlosť
types typy
armenian arménsko
players hráčom
neck krk
study štúdia
economy ekonomická
folk ľudovú
claims tvrdí
stephan štefana
statistics štatistiky
atom atóm
use používanie
character ráz
primary základnej
full silná
development rozvojom
influenza chrípka
hungarian maďarský
reflects odráža
together spoločné
several viaceré
poem básní
prima prijímajú
group skupine
lower dolnom
court súd
czech česko
king králi
body trup
alphabet abeceda
largest najväčším
leads vedie
forbidden zakázané
texts textoch
modality modalita
higher vyšší
better lepšiu
council zastupiteľstvo
compound zložené
arts umení
towards voči
further bližšie
because dôvodu
sense zmysel
catholic katolíckej
famous preslávil
high vysokú
area sfére
rebels povstalcom
daughter dcérou
sides strán
increased zvýšenej
observer pozorovateľné
these tí
easier jednoduchšie
goal cieľom
flood pôvodní
czech česku
white bieleho
image obrazu
group skupina
such takéto
our nás
respectively respektíve
left zanechal
main ústredným
theater divadla
wave vlna
whole celom
addiction závislosť
cancer maternice
weather počasie
chassis podvozku
mur múru
main hlavná
create vytvorenie
wear nosili
women žene
it nej
gen. generála
deputy poslanec
transistors tranzistory
infection nákazy
mechanic mechanické
attention upozorňujú
voice hlasov
english angličtiny
line riadok
of hospodárskej
divided rozdelila
boy chlapca
mode módu
occurs vyskytuje
accepted prijali
network sieťou
web prehliadač
focus zamerania
forest lesná
dispute sporov
happened prebehla
action pôsobení
lakes jazerá
wheels kolesá
asteroid planétky
reaction reakcie
master majstra
traditional tradičná
limits obmedzuje
technology technológia
bright jasný
side stranu
power moc
six šesť
forth štvrtej
cialis achát
given danej
expensive drahé
place uskutočňuje
process procesu
permission povolenie
period obdobia
back naspäť
i som
turkey turecku
school škola
in roku
myth báj
working pracovný
company kampanila
correct správna
army armády
voted volení
tokyo tokio
composition zložený
stone kameň
radiation žiarením
captain kapitán
completely úplná
directed smeruje
match zápase
individual jedinec
great obrovský
correct správne
percentage percento
troops vojskám
rate rýchlosti
ground pozemné
city mestu
slovak slovenskom
provide poskytujú
concept koncentrácii
british britského
whole celok
substance látky
wood drevené
example príkladom
technology technika
creating vytvorením
is spočíva
stems pramení
iodine jódu
compared porovnaní
associated spojeného
splitting stĺp
crossroad križovatky
premises priestoroch
focus zameranie
matters veciach
method spôsob
nema nemá
explosion explózia
caucasus kaukaz
which aká
st. ul
started začalo
stated uvedené
metals rúd
trade obchody
institute ústav
croats chorváti
production tvorbu
federal spolková
departure odchode
army vojska
layer vrstvou
moreover ostatné
stable stabilné
ch č
arena aréna
mainly zväčša
allows umožňujú
fast rýchleho
development vývoj
use používania
season sezónu
openly otvorene
high vysoký
direction smer
socially spoločenský
acted konali
take prijali
concentration koncentrácii
growth rastu
north severné
katarina katarína
purpose účel
weight hmotnosťou
weather počasia
cro-magnon kromaňonec
environment okolím
census sčítania
there existuje
develops vyvíja
ossification osifikácia
initial počiatočné
move pohybom
holds drží
village vsi
signings podpísaná
do robia
polish poľska
metal metalu
experience prežívanie
place uskutočnilo
missiles rakety
department odbor
divisions divízií
tones tónov
color farbou
campanile kampanila
study štúdie
cape myš
clouds oblaky
abolished zrušení
she dala
independence nezávislosť
axis os
red červenou
official oficiálne
conditions podmienky
belarus bieloruská
theatrical divadelné
metals kovy
michigan michalovce
manifest prejavovať
developed vyvinul
join spojiť
peasants roľníci
law právny
ie tzv
concentration koncentrácia
also taktiež
book rezervácie
fall spadajú
sciences vied
force sile
serious vážnej
holes otvory
supported podporovaný
expected očakáva
electric elektrických
personal osobnú
exchange výmene
border hranici
refused odmietol
performed vykonáva
inspired inšpirované
concrete konkrétny
magnet magnetu
just rovnako
cases prípadov
true pravda
place uskutočnili
relevant príslušných
acts číny
hallucinations halucinácie
operation chod
army armádu
designation určenie
winds vetry
ancient starovek
joseph josef
alphabet abecedy
hydrocarbons uhľovodíkov
such takúto
eagle orol
economic hospodárskeho
beam lúč
europa európa
once kedysi
road ciest
damage škoda
achieve dosiahnuť
mammals cicavcov
price cenu
flood pôvodná
unity jednota
name mene
remained zostala
automatically automaticky
requires vyžaduje
three trikrát
sets stanovuje
development vývoji
japan japonsko
top najvyššie
holland holandský
peasants roľníkov
organisation organizácii
special zvláštnym
villages dediny
ac sieťovej
century storočia
former bývalí
separation rozdelenia
teaching nastáva
shape tvár
requirement požiadavku
conflict konfliktov
activities aktivít
whenever kedykoľvek
made tvorili
proteins proteínov
not nesmie
equipped vybavený
today dnešných
province provincii
short krátke
scientology scientológie
line čiarou
enlightenment osvietenstvo
resistance odolnosť
drugs lieky
second sekundu
went chodil
turkey turecka
tombs hrobky
shape tvaru
lada ľadový
went prešlo
understand chápať
next budúceho
chemically chemicky
evokes vyvoláva
positions polohách
breakdown členenie
father otcom
demography demografia
most najväčšou
seen vidno
brazil brazília
management vedenia
led viedli
nou ňou
clearly jasne
known známe
presence prítomnosť
students študenti
factors faktorov
completed vypĺňa
aside stranou
based opiera
wrote napísal
confirmed potvrdené
partisans partizánom
operating operačným
largest najväčšiu
candidates kandidátov
printer tlačiareň
giant obrovské
architect architekt
head vedúci
earth zemského
scenes scény
sole samotnej
genetic genetickej
competitor súťažiaci
includes zahŕňajú
main hlavnou
started začal
land pôdu
existing existujúce
temporarily dočasne
family čeľade
producers výrobcovia
ties väzby
german nemcom
ocean oceáne
viennese viedenskom
object objektov
afghanistan afganistanu
neatly upravené
beaver ďalší
magma magmy
sexually sexuálne
structure štruktúra
english angličtine
powers mocnosti
coins euromince
autumn jeseň
reason príčina
company spoločnosťou
law zákon
scope pôsobnosť
may môžu
below pod
dangerous nebezpečné
access prístup
metalloid nekov
afford získa
decreases klesá
different rozličných
wide široký
call nazývať
translation preklad
several viacerí
design dizajn
main hlavné
binoculars ďalekohľad
flu chrípka
foreign zahraničné
proteins bielkovín
conducted uskutočnil
dutch holandský
sent poslal
longest najdlhšou
frederick fridrich
list zoznam
the tie
externally externé
down nadol
trade obchodnej
covered pokrytý
incomes príjmy
contained obsahovala
end závere
recommended odporúča
fire ohňa
winter zimy
austrian rakúsku
danger nebezpečenstvo
science vedu
cooling chladenie
industry priemyselná
half pól
preponderance prevahu
services služby
stadium štadión
popular obľúbeným
claim tvrdia
person osobám
board tabuľa
territories územiach
active aktívne
names mená
court nádvorie
tasty výborne
territory územiu
anytime kedykoľvek
studies štúdií
fixed pevné
defeat poraziť
good dobra
architecture architektúry
energy energiu
related súvisiacich
permanently natrvalo
alternatively alternatívne
former bývalé
stroke porážke
inc. inc
seat sídlo
military vojenský
turkish tureckého
industrial priemyselných
both obidva
monument pomník
autonomous autonómne
position polohy
enter vstupuje
welcome veľkom
province provincie
folk ľudový
short krátka
scientology scientológia
remained zostali
died zomreli
normalization normalizácia
other inom
gathering zhromaždenie
bridge moste
remained zachované
avoid vyhnúť
upper hornom
function funkcii
connected spojený
produced vyrábať
strings strún
matches zápasy
serbs srbi
on na
consists skladá
provide poskytnúť
known známa
karol karola
lose strate
end skončení
steel oceľ
said vyjadril
memorable pamätná
gun kanón
participate podieľajú
sold predalo
consciousness vedomie
affected ovplyvnila
asteroid planétka
croatia chorvátska
cine číne
change drobné
electrically elektrickej
display zobraziť
half pol
whole celou
forms foriem
arrive dochádza
harmony hormóny
adze tesla
memorial pamätných
web webe
religion náboženstvá
commanders veliteľov
considered považované
council radou
production výroby
large veľkej
dry suchá
famous známeho
proteins proteíny
decide rozhodnúť
performs vykonáva
principle princípu
foodstuffs potraviny
begins začína
eleven jedenásť
victory víťazstvom
form tvare
cases týkajúce
daughter dcéra
head hlava
english angličtina
home domácu
solar slnečného
care pozor
child dieťa
space priestore
figure obrázok
mining ťažby
hot horúce
aluminium hliníka
fruit ovocie
questionable sporné
who koho
celebrate oslavujú
of mesta
server servera
went prešli
second druhýkrát
her ju
variants varianty
church cirkví
represents predstavujú
literal literatúry
reigned vládol
transformation transformácie
measurement mierou
ie tzn
active aktívna
postures postoje
votes hlasov
golden zlatom
made tvorilo
rectangular pravouhlého
national národný
bigger väčší
added pridaním
small malé
public verejného
eclipse zatmenie
henry henricha
relief reliéfu
power mocnosti
series seriálu
twentieth dvadsiateho
surrounds obklopuje
allow umožnili
crown koruna
railroad železničnej
plants rastliny
famous známymi
celtic keltské
great veľkej
continent kontinent
line linka
dear väzení
practice praxi
volume objem
time chvíli
vein žila
passports pásov
state štátnych
royal kráľovské
cup pohára
same rovnakej
development vývoja
sector sektor
austrian rakúsky
start začať
formed tvorený
eighties osemdesiatych
wall stenu
foetus plodu
coal uhlia
one jednej
developed vyvinúť
led viedla
italian talianske
sense zmyslom
surface povrch
discoveries objavy
arab arabské
electric elektrické
amplification zosilnenie
morale morálka
wide širokú
areas plôch
clothing odev
region región
alexander alexandrovi
abrasion abrázia
scene scéne
singer speváka
boss náboja
bought kúpil
passcode prísť
determines určuje
peak vrcholom
interrupt prerušenie
chemical chemicky
publishing vydáva
smallest najmenšia
given stanovené
main hlavnom
typical typická
metabolism metabolizmus
women ženy
received prijímajú
twisting otáčania
baby dieťaťa
there existoval
far zďaleka
adam adama
person osobného
consciousness vedomia
passed prešiel
proclaimed vyhlásený
five piatich
waited čakali
think myslí
ark achát
era éry
nickel niklu
very veľmi
these týchto
everyone každý
see videli
next nasledujúcej
bones kosti
life životom
market jarmok
yearly každoročne
historical historické
place uskutočnila
versions verzie
normally normálnych
peak vrchol
center centrá
crisis kríž
municipalities obcí
represents reprezentuje
live býva
forest les
museum múzeu
legs končatiny
province provincia
tooth zub
partisans partizánov
power právomoc
decided rozhodli
making tvorbe
founded založená
liability zodpovednosti
quantities množstvách
wheels kola
economic hospodárskej
this touto
series rad
liver pečene
worry starosti
huge obrovskú
group skupinu
national národnú
a určitého
recorded zaznamenaná
property vlastnosť
correct správny
city mesta
center strediskom
hospital nemocnice
stage etapa
mentioned spomína
family rodinou
liptovský liptovskom
manufactured vyrobené
transistors tranzistorov
animal zviera
knowledge vedomosti
when kedy
match zápasy
like chcel
another ďalšia
similarly podobné
lower nižších
all všetko
started začala
successful úspešný
churches kostolov
units jednotkami
grew rástla
others inej
harmonization žiaden
identified poznal
great veľká
so taká
housed sídli
general generála
distinct výrazný
minute minúta
decided rozhodlo
about asi
extends rozširuje
subject podlieha
most väčšiny
parts časťami
conception koncepcia
eclipse zatmenia
principle princípom
computer počítačovej
night noci
free voľného
transformation transformácia
gravitationally gravitačne
artificial umelé
remained zostalo
catholic katolícka
alaska aljaška
local miestnych
exchange výmena
distinguish rozlíšiť
process procese
won získala
parts častí
much omnoho
not nemohol
unit jednotka
locality lokalita
happen dôjsť
hebrews hebrejci
better lepšie
relation vzťah
grounds dôvody
characterized vyznačuje
played odohral
barrel súd
budget rozpočtu
wall steny
official oficiálnym
fixed pevná
moment chvíli
additional prídavné
domains odbory
yields výnosy
single singlom
circulation obeh
century storočie
border hranice
while pritom
prague praha
helium hélia
stab podobe
practice praxe
thermal tepelnej
westmeath trenčiansky
fresco fresku
electrical elektrického
help pomáhali
consist skladajú
fiber vlákno
effort snahu
usually zvyčajne
illnesses chorôb
locality náleziská
which akým
removal odstránenie
north severný
salt soli
claims tvrdenia
italian talianska
open otvorene
eye očí
star hviezda
agreements dohôd
located nachádzali
term termín
author autor
called nazval
landscapes krajín
ways spôsobmi
computers počítačov
plato platón
public verejná
reaches siaha
structure štruktúre
died zomrel
fats tuky
management vedenie
concentrated sústredil
gases plyny
social spoločenských
breast prsníka
switch spĺňa
lost stratila
communist komunistických
south južnej
hospital nemocnici
river riekou
acid kyselina
allele alela
action kroky
conscious vedomý
defensive brániaci
vienna viedenská
techniques techniky
crust kôre
allies spojencov
category kategórií
died zomrela
occasion príležitosti
english anglickej
data údajov
orientation orientácia
top najvyššiu
worked pracoval
important dôležitou
independent nezávisí
division divízie
doctor doktor
the ta
kept chované
function funkcia
expensive drahý
study štúdiu
older starších
other ďalším
malta malty
younger mladších
bound viazaný
action pôsobenia
named pomenovaná
protein bielkovín
mounting mont
ratios pomery
decisions rozhodnutia
used použili
city meste
possibility možnosť
also taký
day dňom
catholic katolícke
north severnú
aluminum hliník
base základný
memorable pamätné
tensor tenzor
broke vypukla
use užívania
stopped zastával
base báze
increase zvýši
awakened počíta
sun slnko
wave vlnu
learned dozvedel
concert koncert
italy taliansko
vatican vatikánu
third tretiny
tennis tenisové
higher vyššej
other inou
cross kríža
vienna viedenskom
seven siedmich
said hovorí
discover objaviť
defensive obranné
artistic umelecké
personal osobný
relates týka
places mestách
maps mapy
dry suché
organization organizácie
arrival príchodu
new novým
triangle trojuholník
actually vlastne
border hraniciach
individual jednotlivými
lines liniek
strongly silne
croatia chorvátsko
ondrej ondreja
sum súčet
support podporovalo
shape tvárou
memorial pomník
center stred
ship lode
reform reformu
greek grécki
magnetic magnetického
made vypracoval
marquise markíza
founded založil
america ameriky
brook potoka
biggest najväčší
political politickú
increasing zvýšeniu
territory územia
effects účinky
frequency frekvencia
glacier ľadovec
neptune neptún
science veda
act koňa
carbon oxidom
varied rôzna
united spojených
italian taliansko
asteroids planétok
december decembri
father otcovi
wall múr
transition prechodu
prague prahe
crystalline kryštalickej
russian ruská
future budúcnosti
metal metalových
tissue tkanivá
signs znaky
soviet sovietskych
words slova
provided predpokladu
organic organickej
piece kusov
corn kukurice
bourgeois mestský
dances tance
staff útvarov
same samé
gallery galérie
decided rozhodla
problem problému
maintain udržať
lower dolnej
prevalent prevláda
certification certifikácia
return návratu
different odlišná
arranged usporiadaných
low nízku
food potravín
short krátky
summer letnej
front frontu
voting volieb
full plní
all celý
teacher učiteľ
system sústavy
factor faktorom
temperature teplôt
middle stredné
rotation rotácie
traditionally tradičné
more omnoho
mainly predovšetkým
band kapely
hand ruku
organism organizmus
asked žiadal
decomposition rozkladu
martial bojových
elisabeth alžbeta
won vyhrali
scotland škótsko
try pokúsili
war vojny
fluid tekutín
claimed tvrdili
foundations základy
composer skladateľa
physical telesnej
sun slnkom
top vrchom
benefits prínos
determine určujú
which ktorej
time časová
combustion spaľovacích
dinosaurs dinosaurov
see vidieť
perfection dokonalosti
full úplnej
connects spája
clouds oblakov
easy ľahko
friends priateľa
health zdravotníctva
now teraz
school gymnázia
reaction reakciou
mainland pevniny
americans američanov
introduced zaviedla
head hlavu
cou čou
u.s. us
folklore ľudovej
fast rýchlym
effect efektu
used používali
wooden drevené
settlements sídliská
free oslobodiť
all celú
philosophy filozofie
greatest najväčšiu
abortion interrupcie
application aplikácia
calculate vypočítať
cecchi čechy
trail súdom
for určené
mother matkou
people národov
studio štúdiové
british britských
be dôjsť
ages stredoveku
material materiál
immediately bezprostredne
technology technológiu
estimates odhaduje
blood krv
steppe stepi
indonesia indonézia
separately oddelené
network sieti
parent materskej
connection spojení
start začnú
independence samostatnosti
machine stroj
weapons zbraní
orthodox pravoslávni
reacts reaguje
itself samotného
use využívať
narrowly úzko
horse koňa
creative tvorivého
national národná
czech českého
included patrilo
state štátom
manifestations prejavy
close blízkom
representation reprezentácia
repeatedly opakovane
your tvoj
won získal
significant výrazné
fishes rýb
presented predstavil
universe vesmíru
reform reformy
note uvedomiť
reproduction rozmnožovania
ukrainians ukrajinci
european európskeho
used používalo
day daň
speed rýchlosťou
slovakia slovenská
exempt oslobodení
bulk hromadne
vienna viedenskej
recognition uznanie
phd csc
encompasses zahŕňa
ship lodi
minister ministra
printer tlačiarne
work diele
two oboch
park parku
showing poukazujú
primary primárny
straight rovný
lukewarm viaže
no žiadnej
cancel zrušiť
future budúce
keeper správcu
shall nadobúda
unsuccessfully neúspešne
board doska
famous najznámejší
frequent častým
frequency frekvencie
of roku
stop zastavili
actions akcií
area plochou
mathematician matematik
agricultural poľnohospodárskych
based založené
settlement osídlenie
sphere sfére
ordinate odvesny
boundary rozmedzí
increases zvýši
board palube
each každej
hand ruky
famous najznámejšie
two obidvoch
official oficiálny
product tovar
sirenia šírenie
short krátku
ways spôsoby
concept pojem
angle uhol
settlement osada
tall vysoký
territory územie
confluence sútokom
surgeries operácii
top vrchol
sun slnku
working prác
corn kukurica
understand pochopiť
uprising povstania
performances výkony
affiliation príslušnosti
gallery galéria
being bytosti
changing striedavý
beginning začiatok
so čím
stress stres
low nízky
integrated integrovaný
manage riadiť
create vytvárať
taxation dané
collaborated spolupracoval
league liga
physical fyzikálne
air vzduch
greek grécko
wisdom múdrosti
declining klesá
expression prejavu
war vojnu
section oddieli
economy hospodárstva
population populácia
strategic strategické
details detaily
count gróf
share akcie
version verzii
driver vodiča
stages etapy
siege obkľúčenia
through cez
country talianska
programs programy
free voľný
twenty dvadsať
atomic atomárny
tank tankové
cities mestá
equal rovný
petar petra
german nemčiny
activity aktivitou
outlay výdavky
natural prírodná
philosophy filozofii
a inom
successfully úspešné
brown hnedý
personality osobnosti
color farebné
solution roztok
need potrebnú
various rôznej
type typ
participated podieľali
or či
mechanism mechanizmu
element prvok
you sebou
macedonian macedónsko
pursuance vykonávanie
socialist socialistických
south južná
formed vznikať
region regiónu
centers centier
board doske
network siete
genres žánre
application aplikácie
claim tvrdenie
vehicle vozidlá
ecosystem ekosystém
mobile finančných
allies spojencami
buildings budov
obtains získava
son syna
weighted vážený
indonesia indonézie
heavy ťažký
and š
tumour nádor
greek gréckeho
oldest najstarší
calculation výpočet
pixel px
direction smere
production výrobných
cool über
population obyvateľstvom
lack nedostatku
density hustote
cial finančných
trees stromy
scientists vedcov
adjacent susedných
web webu
experienced zažil
race preteká
language jazyku
motives motívov
print tlače
jerusalem jeruzalema
occupy zaberajú
ensures zabezpečuje
presented predložil
rate tempom
become stávajú
performance výkony
baj báj
suggestions návrhy
basin panva
netherlands holandska
services službe
slovak slovenskej
typical typickými
assumption predpoklady
congress kongres
will dostane
summer leta
junction sútoku
hundreds stovky
position polohe
greeks grékov
warn upozorňujú
brand značka
discovered objavený
highway diaľnice
west západne
interfere zasahovať
short krátko
belong patrili
this takom
result výsledkom
should treba
sirenia šírenia
working pracovnej
polish poľskom
kovach kováč
nations národy
dana daný
subsequently následné
organisations organizácii
looking pohľade
ownership vlastníctvo
lipids lipidov
paul pavla
banska banská
home doma
middle stredná
utilizes využíva
maintained zachoval
marge márgit
lans takýchto
aircraft lietadla
activity činnosť
exposition expozícia
museum múzea
wide široké
employs uplatňujú
members príslušníci
implemented realizuje
standing stojí
borders hraniciach
presov prešovský
plants rastlinách
citizens občanov
he keby
mean znamenalo
use použité
path cestou
versions verziách
social spoločenské
tries pokusy
changes zmenám
order poradí
planet planétok
italian taliansky
us nás
circles kruhy
require vyžaduje
area rozloha
league lige
introduced zaviedli
components súčasti
limited obmedzený
four štyri
remain zostávajú
unique unikátne
borders hraničí
grants udeľuje
equipment zariadenia
previously predtým
leaves opúšťa
ability schopnosti
effect pôsobenia
music hudobného
commissioned poveril
relation vzťahu
remove odstrániť
statue sochu
snoring chápanie
wider širšom
association spolok
area plocha
physical fyzikálna
moment chvíľu
slovak slovenskú
gorgeous krásna
crew posádka
bound viazané
secure zabezpečiť
strong silnú
marine morské
english angl
mining ťažbu
protection ochrane
factory továreň
risk zisk
ivan ivana
serial sériové
czechoslovak československý
national národné
awarded význame
legally právna
american americká
housing plášť
each každá
latin latinskej
naturally prirodzene
specially špeciálne
body tela
used používala
players hráči
border pohraničné
treatment úprava
health zdravie
strongly silno
midst uprostred
usage prístupu
sayings výroky
legend legenda
old starom
italian talianskej
relations optických
to na
tron trónu
success úspechy
processes procesy
lost prišli
tough tvrdý
form forme
common bežne
popular populárna
survey prieskum
unfortunately bohužiaľ
election volebné
origins počiatky
contacts kontakty
setting nastavenie
circuits obvody
general všeobecného
me mňa
organs orgány
examples príklady
suffered utrpeli
region kraji
fight bojovať
mark označiť
component zložku
tracks skladby
choir hôr
bohemia čiech
lost stratil
balls lopty
medium médium
lower nižšiu
northwestern severozápade
language jazyky
our náš
cast obsadení
belgium belgicko
intersection križovatke
certain určitý
more väčšieho
based založená
indeed síce
italy talianska
particularly zvlášť
highway diaľnica
georgia gruzínska
center ťažisko
state uviesť
adds pridáva
current súčasnej
era éra
went išiel
fashionably moderné
company firma
neighbors susedí
figure figúra
convinced presvedčení
mutual vzájomnej
moment momentu
rotation rotácia
territory územím
privileges privilégium
will vôle
mineral nerastných
enough dostatočné
strong silný
lens šošovky
tax daň
abroad zahraničí
card karta
former bývalá
alternately striedavý
royal kráľovského
price ceny
organisations organizácie
slopes svahoch
core jadro
dispose všetok
experts odborníci
us nám
performance výkonu
significant výrazná
it tá
mankind ľudstva
houses hľadanie
neither ani
greek grécku
exposition expozície
feet nohy
ethics etické
received dostalo
national narodenie
horizon horizont
philosophy filozofiu
control ovládal
greatest najväčšie
older starší
role rolu
itself samotnom
discount zľava
significant významný
other ďalší
equipment zariadenie
autonomously autonómne
tension napätia
known známi
system systéme
human ľudských
border hraničí
transmission prenos
using použitím
irregularly nepravidelné
pressure tlaku
terms zmysle
pope pápež
pups mláďatá
success úspechu
civilization civilizácie
original pôvodní
europe európy
punk punkerov
transport dopravných
complex komplexné
method spôsobom
included achát
defense obrana
version verzia
plants rastlín
all všetka
will vôli
yearly ročné
electromagnetic elektromagnetického
organization organizáciu
formation útvar
errors chyby
intestine čreva
reason rozumu
became stalo
printed vytlačené
published vyšlo
hungry hľadaní
but no
this tento
this tohto
basta bašta
ground zem
majority väčšiny
ink atramentu
deduce určil
once viackrát
protection ochrana
fourth štvrtá
jewish židovská
artistic umeleckých
vagina pošvy
marian marián
angels anjelov
extended rozšírili
sites pamiatok
popular populárne
slovak slovenský
history historici
prove javu
mistake chybu
which čomu
harbor prístavu
error chýb
low nízkej
mr. mr
leaves odchádza
warning pozor
zs zš
rome rím
slovakia slovenské
center stredisko
groups skupinách
cancer rakoviny
manually ručne
were stáli
hemisphere pologuli
native rodnom
signal signál
commanding velil
each každému
longer dlhšiu
capable schopné
platform plošina
democratic demokratických
year-old ročný
world svetového
caliber ráž
vigorous štátneho
virgin panna
turks turkami
takes trvá
said vyhlásila
research výskumov
hungarian maďarská
theory teória
non-metal nekov
the ty
american americkí
carl karl
standards štandardy
integrated integrované
political politické
name názvu
cancelled zrušené
knowledge poznanie
supported podporoval
discrimination diskriminácia
a predstavuje
sine sínus
definitely rozhodne
live žijú
arabians arabi
is patrí
how spôsobu
