insignias obilježja
communication komunikacija
admit priznati
serbo-croatian srpskohrvatski
side strani
growth rastom
important važnih
national nacionalnu
theater pozorište
sod busenje
weak slabe
text teksta
flows teče
china kine
connection vezu
authors autorima
operates djeluje
kill ubijaju
oscilloscope osciloskop
circuits sklopovi
effect djelovanju
area području
based bazirana
destroy uništiti
occupation zauzimanja
luck sreće
favorable povoljan
željezničar željezničara
women žena
simple jednostavna
aristotle aristotel
given dala
eventual eventualne
disease bolest
changes mjenja
youth mladost
singers pjevači
northeastern sjeveroistočne
decision odluka
gallery galerija
button dugmeta
corporation preduzeće
very jako
alive živi
primary osnovnih
hardness krutost
eye oka
significantly znatno
eat jesti
latin latinskom
climax vrhunac
current struju
travel putuje
still još
organic organskih
punishment kazna
democratic demokratski
slobodan slobodana
researching istraživanje
long dugih
plants bilje
photography fotografija
literacy pismenosti
loe leže
drama dramski
no nemaju
mouse miš
could mogle
all svima
council odbor
despite usprkos
fans navijači
list lista
confessed priznala
english engleska
spawn ikru
investment makroekonomija
goals ciljeve
school škole
role uloge
famous poznatih
amount iznosu
sociologist sociologija
henry henri
manufacturing proizvodnog
big veliku
study studirao
emperors careva
class staleža
strikes udari
want hoće
pronunciation izgovora
encyclopaedia enciklopedije
kingdom carstvo
cause uzrokovati
offer ponuda
fojnica fojnice
spread pružaju
member pripadnik
family porodicom
testify svjedoči
familiar poznatom
social društvenih
rival protivnik
theatrical pozorišni
hopes nada
constructed građen
imposed nameće
context kontekstu
shop radnja
breathing disanja
vat pdv
second drugom
sheets listova
musicians muzičara
business poslovni
sharp oštro
anthropologists antropolozi
standpoints stavova
spoken usmena
geographical geografskih
basketball košarku
early rana
beginning početku
quijote kihot
hungary ugarsku
blood krvne
slovenia slovenija
occupying zauzimanje
pressure vrši
duke knez
vienna beča
sing pjeva
shortly ukratko
similar sličan
entered stupio
song pjesmom
events događaja
dating datiraju
networks mreže
trip putovanje
minerals rudama
distinct određeni
popular popularne
city gradsko
fifteen petnaest
contemporary savremeni
kind vrstu
sports sportski
about vezi
golden zlatno
organization uređenje
politics politiku
holiday praznik
ordered uređena
founded osnovali
solar sunčeva
title titulu
murders ubistva
low niskog
visible vidljive
concluded zaključio
rich bogato
sarajevo sarajevska
him njime
nowadays sadašnje
serie serija
continued nastavljeno
social društvenu
flows protiče
announces najavljuje
although no
period roku
occupation zauzimanje
domination dominacije
communists komunista
southern južnog
many puno
satellite sateliti
otherwise inače
reverse obrnuto
full punim
considerably uveliko
table tabela
duty obaveza
needed potrebi
space svemirska
match meč
grenade granata
passes prolazi
otherwise razliku
occasions navrata
public javnih
expand proširio
informations informacije
mountainous planinske
military vojsku
top vrh
remote daljnje
slave rob
led predvodio
other drugo
understanding shvatanje
games igre
later kasnije
wonders čuda
coal uglja
started počele
down dolje
leave dopušta
marks marki
built izgradio
travel putne
assembly skupštinu
korea koreja
regional regionalnih
ancestors preci
road putem
homosexuality homoseksualnost
open otvoreno
step korak
southern južnoj
located smještena
monopoly monopol
tall visok
facility objekta
liquor liker
armies armije
execution izvršavanje
succeed uspio
arabic arapski
cyrillic ćirilica
police policiju
their svoje
estimation procjeni
protect zaštitu
thesis teze
graphics grafika
first najprije
said kaže
meets upoznaje
rain kiša
decision odluke
china kina
anthony antonije
bey beg
evaluation procjenama
identity identitet
production proizvodnje
equally ravnomjerno
work rada
local lokalnog
guarding čuvanje
depression nizija
best najbolju
solemn svećenik
heart srcu
belgrade beograd
herbal biljnog
function funkciji
initial početnu
repeats ponavlja
book književni
final konačna
use upotrebom
passes dodavanja
phase fazu
not nisu
medical zdravstvene
couple para
social društvenim
could mogli
founded utemeljena
colour boji
bridge mostu
press štampa
all svemu
drina drinu
mandatory obavezan
post pošta
higher viših
conquering osvajanje
school školi
separately odvojeno
orators govornici
submitted predao
democratic demokratske
famous poznatim
originally izvorno
current trenutni
shapes oblicima
electrolytes elektrolita
quadrate četverougao
considering obzirom
extremely ekstremno
adriatic jadrana
testify svjedoče
legal pravnom
events događanja
stephen stefan
made stvorili
crimes zločine
tournament turnir
fable fabula
capable sposobni
american američkih
deep duboko
means označava
parties stranke
traditional tradicionalnih
taxation oporezivanja
addition sabiranje
nuclear nuklearno
animals životinjama
patriarch patrijarh
popular popularni
central srednjoj
fighting borili
roman rimska
muscular mišićnih
contemporary savremene
near bliže
hit pogodila
delegates poslanika
graz grazu
edema edem
leader vojskovođa
german germanskih
work djeluju
larger većem
announced proglašen
enzymes enzimi
business poslovne
adopted usvojena
become postati
authority autoritet
pompeii pompeja
motifs motivi
three troje
want žele
count vrijede
dioxide dioksid
musical muzička
height visinom
torso torzo
gilgamesh gilgamešu
completely sasvim
pregnant trudna
create stvoriti
total ukupna
slow sporo
southern južnom
legislative zakonodavnu
peninsula poluotoka
slavery ropstva
apparatus aparat
varies varira
threat prijetnju
determined utvrđeno
lyly ljiljana
breast-feeding dojenje
chives vlasac
visible vidljivi
developed razvijen
production proizvodnja
chambers odaje
patriarchate patrijaršija
kinds vrste
afghanistan afganistan
headquarter sjedište
airplanes aviona
mistake greška
survivors preživjeli
professor profesor
island ostrvu
games igri
set skup
possess posjeduje
secret izlučivanje
built gradili
reasons razloga
software softver
population stanovnika
organization uređenja
reality stvarnosti
politics politikom
core jezgro
chronological hronološki
events događaje
born rođena
elementary osnovnog
world svjetskog
somebody nekog
whom kome
carats karata
extent mjeri
here tu
film filmu
project projektu
advantages prednosti
longest najduža
lower niža
started počeli
upper gornja
highway autoputa
behaviour ponašanju
then onda
amount količine
solar sunčeve
scene sceni
located smještene
upper gornje
announcement proglašenje
engines motora
organic organske
shows nastupi
square trgu
try pokušati
apple jabuka
situation situacije
released oslobođen
simple jednostavni
relationship odnosu
following sljedećih
recent novije
somebody nekoj
condition uvjet
heights visini
skyscraper nebodera
mother matičnu
board odbora
its njenog
corresponds odgovara
virus virusa
theoretical teoretski
ties vezu
church crkva
redox redoks
interest interesa
plane ravni
african afrike
phase fazi
theme temu
speed-up ubrzanje
achieved postigla
matter tkivo
that sto
ministers ministri
released oslobodio
dates seže
turkish turskim
finally napose
important važniji
object objekat
existed postojale
use koristiti
canal kanala
late kasnim
october oktobru
quixote quijote
bosnia bosnom
medium medija
biological biološki
spider pauk
originate potiču
slavery ropstvo
danube dunava
storm oluja
economic privredna
bomb bomba
tie vežu
closest najbliže
ceramics keramike
innovation inovacija
plan planira
base baze
drina drini
quarter četvrt
nobel nobelove
request zahtjev
hormone hormona
did učinio
ancient drevni
last posljednje
visible vidljivo
check provjera
back leđa
medical medicinske
democratic demokratska
machine uređaja
flat ravno
duties obaveze
frequent česta
for o
encyclopedia enciklopedija
scientists naučnici
ritual obreda
chains lanci
list listi
museum muzeja
collective zajedničko
slovenia sloveniji
strawberry jagoda
surname prezime
autonomous autonomna
space prostoru
settlements naselja
aforementioned navedene
study studija
regiments puka
world svjetskoj
changed promijenila
bladder mjehura
parallel uporedo
tasks zadaće
wax vosak
enforcement organe
provides pruža
posavina posavini
patriarch patrijarha
agreement sporazum
row niz
his njegovu
rock stjenovitih
medical medicinski
crest grbom
core jezgra
pigs svinje
knowledge znanja
contemporary savremena
social socijalnih
short kratko
peak zenit
number broju
invaders osvajači
flags zastave
two dvoje
arrived stigla
base baza
whole cijelu
claims tvrdnje
similarity sličnosti
liqueur liker
sun sunca
regularly redovito
simpler jednostavnije
him njemu
question pitanje
development razvoj
name tomislav
alive živa
daughter kćerku
investigator istraživač
southern južnu
reduced skraćeno
existed postojala
events događaji
entrance ulaza
courage hrabrost
matters važi
artists umjetnika
earth zemlju
urinal mokraćovod
add dodati
clubs klubova
secretly tajno
latin latinskog
heterosexuality heteroseksualnost
algorithms algoritmi
olympia olimpiji
caspian kaspijskog
general generala
mayor načelnik
order redom
class klasu
sports sportska
orders redova
never nikad
mild umjerena
release izdanju
went išao
national nacionalni
tse ce
rails pruge
group skupine
reminds podsjeća
playing svira
located smješteni
welcomed dočekao
male muške
little pomalo
got dobije
sarajevo sarajevski
liquid tekućina
free oslobodio
big veliko
spores spore
slow spora
greater veće
lower niže
compilation kompilacije
mother majko
torso trupa
lower niži
dentures proteže
progress napredak
complex složena
upper gornji
teaching proučavanjem
opportunities mogućnost
popular popularno
peaceful mirovni
based utemeljen
discovers otkriva
austro-hungarian austrougarsko
order uređenja
determined utvrđeni
appropriate odgovarajućih
pedagogy pedagogija
team reprezentaciju
nickname kosača
could mogla
big velik
long dugim
related vezana
instructions instrukcije
basic osnovnu
regulation uređenje
tuzla tuzlanskog
tied vezan
women žene
cranberry brusnica
fund fond
accepted priznat
happening dešava
dostoevsky dostojevski
rights prava
musical muzički
kind vrsti
index indexa
base bazi
christianity kršćanstva
came stupio
other drugu
whole cijelo
galena galenit
greater većim
represent važi
greek grčki
he on
tries pokušaja
woodcutter drvar
side stranu
encyclopaedia enciklopedija
theater pozorišta
small niske
wish želje
preparations pripreme
encyclopedia enciklopedije
possibility mogućnost
material materijalom
apart udaljena
deposits ležišta
colour boja
montenegrin crnogorski
process procesu
merchants trgovaca
flows ulijeva
safety sigurnošću
bleeding krvarenje
world svjetskom
export izvoz
last posljednja
school škola
beginnings počeci
golden zlatnu
image sliku
occurred nastale
posavina posavine
structures strukture
coast primorju
were bile
traditional tradicionalnim
film filmskom
powered pokreće
blood krvni
started počela
vicinity okolina
slovenia slovenije
april aprila
unit cjelinu
period doba
autonomous autonomne
transfer prenose
poland poljsku
shown prikazana
big veliki
really zaista
precisely precizno
latin latinsko
draw vuku
forrest šumom
ruins gradine
medicine lijek
sports sportske
business bitan
breathing disanje
data podaci
opens otvara
solutions rješenja
systems sistemi
full punih
relations vezama
stones kamenje
nineties devedesetih
mafia mafija
aspects aspekte
science naukama
army vojska
stadium stadiona
sanski sanskog
belongs spada
english engl
its njenoj
conqueror osvajač
excerpts izvodi
deep duboke
hard težak
interest zanimanje
chola čola
die umre
growth rastu
childhood djetinjstva
national nacionalne
search potrazi
namely naime
cavities šupljine
pearls biseri
male muški
played svirali
alexandra aleksandra
mountainous planinski
social društveni
got dobija
not nismo
valleys doline
converts prelaze
gathers okuplja
additional dodatna
that onaj
later kasniji
hercegovina hercegovini
processors procesora
enzymes enzima
situation situaciji
achieve ostvario
coming dolasku
honours odlikovanja
contains sadrži
gained dobilo
croats hrvati
politics politike
key ključ
spanish španci
performance performanse
conflict sukobu
third treći
found pronađen
scene scenu
interruption prekid
egyptians egipćani
come dolazili
bones kostiju
expand proširila
succeeds uspijeva
important važnijih
third trećina
write napisati
use primjeni
remake prerade
discover otkrili
fell pao
voice glasa
time vremenom
state navesti
beautiful najljepših
carbon ugljika
called nazvan
latin latinske
filip filipa
taped snimio
northeast sjeveroistoku
singular pojedinačni
common običnih
related vezane
movements pokreti
biological biološka
was bijaše
short kratke
maintaining održavanje
bosnians bošnjacima
find naći
tv televizijske
contribute doprinijeli
yugoslav jugoslavenske
angle uglu
southern južno
mark obilježje
economic privredni
south-east jugoistoku
transport prometa
vagina rodnice
order uređenje
force sile
found pronađena
masters majstori
16th xvi
throwing bacanje
dukes vojvode
mostly mahom
spoke govorili
military vojska
action akcije
river val
is izlučuje
open otvorena
serbs srba
sang pjevao
basketball košarka
powers ovlasti
often nerijetko
lack nedostatka
historian historijskim
determine utvrđuje
diseases oboljenja
through niz
evaluation ocjenjivanje
final krajnji
organisms organizama
joseph josef
quantities količine
sharp oštra
urban urbane
war ratne
day dana
called nazvao
already već
human ljudskim
socialist socijalističkog
dry suhe
plans planira
average prosječni
his njegovi
films filmovi
law zakonu
ottomans osmanlijama
led dovela
mostly najčešće
background podloga
importing unosi
reforms reforma
night večeri
hers njenim
assembly skupština
church crkvi
obliged obavezan
nationalities narodima
central središnje
language jezik
existence postojanju
announced proglašena
horse konja
christianity kršćanstvo
organization uređenju
proclaimed proglasio
sent šalju
aristotle aristotela
realization ostvarenje
marks označava
self samom
opportunity prilikom
maps karte
call poziva
northwestern sjeverozapadu
mentioned pomenuti
central središnji
rights pravo
childhood djetinjstvo
structure struktura
campaign pohod
social društvene
symbols simbola
wish želja
fungus gljiva
property kapitala
which čime
applied primjenjuje
stories pripovijetke
holding držanje
offer ponudu
about pitanju
tendency težnja
villages selima
whole čitavo
alloys legure
constantinople carigrad
function funkciju
ovary jajna
arabia arabiji
peak vrhuncu
estimates procjenama
author autoru
king kralj
close neposrednoj
gold zlatnih
secretary sekretar
peninsula poluotoku
eye očne
settled naselili
continents kontinenata
education odgoj
western zapad
sign znaka
start početku
bad lošeg
poland poljska
theorem teorem
national nacionalna
economic ekonomskim
clean čist
stefan stefana
honors zasluge
then tadašnjim
that onim
cathode katoda
arc luk
iron željezne
right pravim
hercegovina hercegovine
origination nastanku
tradition tradiciji
regulated uređena
hungary ugarske
skulls lobanja
contains sadrže
mohamed muhammeda
grows raste
prevalent prevladava
elementary osnovno
mineralogy mineralogija
simple jednostavno
located lociran
latin latinska
new noviji
palace dvora
revolt pobunu
surrounding okolnih
heart srca
my moja
incomes prihodi
main glavnom
writings pisanja
wound ranom
participate učestvuju
impossible nemoguće
bridge mosta
happens dešava
stretching istezanje
made sastavljen
become postale
jajce jajcu
julius julije
come doći
determined utvrđena
biogeography biografija
continue nastaviti
protesters pobunjenici
pregnancy trudnoće
company tvrtka
latin latinski
ideal uzoru
tops vrhova
late kasnih
enough dovoljno
custodian kustos
home kući
skeleton kostur
gold zlatnim
mountain planinskog
design dizajn
third treće
situation situacija
dice kocka
nature prihoda
third trećine
economic privredne
history historiju
witness svjedoče
device uređaj
fort gradina
transistors tranzistora
pneumonia upale
force sila
linguistic jezični
human ljudskih
speaking govorimo
early rano
queen kraljicu
lost ostao
its njen
city grad
success uspjeh
installations instalacije
sarajevo sarajevu
performed izveli
maintain održala
your vaš
short kratki
set postavio
strictly strogo
healing liječenju
stand podnijeti
kula kulin
document povelja
enjoyed uživao
regal carski
opera opere
numerous brojna
obvious očito
pupil zenica
these ovim
company kompanija
cross križa
disorders poremećaji
urban urbana
territory teritoriji
action akcija
authorities nadležnosti
marked obilježena
climate klimu
most većinu
deadline roku
average prosječne
basketball košarke
his njegove
devices sprave
presence prisustva
led dovele
reforms reforme
champion osvajač
sharp oštre
cost trošak
church crkve
captain kapiten
good dobra
war ratna
dervishes derviša
main glavnog
organize organizuje
presented predstavljen
those one
japan japana
set postavi
between među
arab arapskog
muslim musliman
way načina
troubles muke
countries zemalja
highlight vrhunac
yours vaš
best najbolje
british britanaca
swedish švedski
social društvena
option opcija
offensive ofanziva
sent poslao
telecommunications telekomunikacione
shown prikazan
european evropskim
movie filmske
weight masu
geneve ženeva
montenegro gorom
mainland kopnu
create stvaraju
rich bogata
pressure pritisku
keeping držanje
structure strukture
has broji
move prešli
territorial teritorijalna
means sredstva
records zapisima
serbs srbi
other dr
on na
mention napomena
interest interesu
average srednja
sorrows tuge
specific specifične
tradition tradicije
computer računarskih
abandon napustiti
police policija
interestingly interesantno
text tekstu
other ostalog
today današnja
architect arhitekta
currently trenutno
red crvenom
trends pravci
see morem
behaviour ponašanje
takeover preuzimanja
leadership vrha
amount količinu
told rekao
younger mlađeg
two dviju
streets ulice
nations nacije
graphical grafičkog
bosnian bošnjačko
liberty slobodi
sun sunce
rank niz
ie tj
full puna
eg npr
strongholds uporišta
between izmedju
bosniak bošnjačkog
things stvari
accepted prihvaćena
writing pišu
wide širok
exceptional izuzetne
mention pomenuti
salah namaz
catholic katolički
weak slab
educated obrazuje
daily dnevno
processes procesima
this ovim
mosque džamiju
leave napuštaju
vowel vokal
cards kartice
emerge nastao
partner partnera
shared podijeljeni
final konačnu
comet komete
eastern istočno
presented predstavljalo
server servera
heart srce
stool izmet
english engleski
go odlaze
work rade
her ju
nouns imenice
conditions prilikama
neighbor susjednih
cultures kulturi
touristic turistička
decrease smanjenje
bombs bombe
native izvorni
serbia rumunije
number broja
singers pjevača
send pošalje
keeps održava
spirit duh
childhood djetinjstvu
found pronađeni
resort sredstvo
soccer fudbal
constitution ustavom
surfaces podloge
statue kip
master gospodar
again ponovo
read čitaj
locality lokaliteta
bosnian bošnjak
house kućni
raising odgoj
catholic katoličke
use primjena
microscope mikroskopa
regional regionalnim
physics fizici
basic opće
linguistic jezične
representative predstavnika
pregnancy trudnoća
his njegovih
phosphor fosfor
process procesa
real stvarni
digestive probavnom
fans navijača
these ovih
heritage matica
vagina vagine
domain domena
spanish španski
started počelo
his njegova
convicted osuđen
films filmova
believers vjernika
fire vatra
bacteria bakterije
sector sektor
plateaus polja
developed razvijena
constant konstanta
bazaar čaršijska
prepare priprema
tribunal tribunalom
ties veze
shot snimljen
twenty dvadeset
man muškarce
matters stvarima
site stranicama
open otvoreni
intentions namjere
successful uspješan
newspaper novine
schooling školovanje
instruction instrukcija
has obiluje
inequalities nejednakost
best najbolja
organized organizovao
computer računar
feel osjećaju
calling pozivni
touches dodirne
document povelje
numerous brojne
important značajnih
hard teškom
plants biljkama
who ko
recognizable prepoznatljive
rich bogati
movement kretanje
precipitation padavine
logical logično
daughter kćerke
wish želi
mars marsu
rich bogate
largest najbrojniji
indirect indirektno
motifs motive
many mnogima
revenue prihoda
eastern istočnu
share dionica
historical historijsko
movie filmski
men čovjeku
territory teritorijom
ex bivšoj
weighs teži
mosque džamiji
horse konji
descend spušta
bones kosti
locations lokacije
life životom
oric orić
published objavili
suicide samoubistvo
aspect aspekte
team ekipa
island ostrvo
documents dokumenta
want želi
early rani
tooth zub
like takvo
files podataka
weak slabo
present predstaviti
decades decenija
crops pšenica
tradition tradicija
clothes odjeću
max maksimalno
not smije
manage uspijevaju
expelled izbačen
black crnu
disagreements neslaganja
mother majka
area kraju
plain nizije
fort gradine
education obrazovanja
theme tema
josip josipa
numbers brojevi
sphere sfera
mother matične
said navodi
submit podnijeti
leafs listovima
built izgrađen
agreement sporazumom
bronze bronzanog
seal žigom
aside stranu
brought donijela
love volim
every svakih
peoples narodi
end krajnjem
shortcut skraćenica
pass prođe
performances nastupima
read čita
business poslovna
madrassas medresa
bosnian bosanskohercegovačkih
istanbul carigrad
writers književnika
mountain planine
poet pjesnika
volcano vulkana
findings nalazišta
old stare
sign znak
angle uglom
question pitanju
should valja
stops zaustavlja
embellishment ukras
event događaj
mountain planina
name stjepana
relation odnos
remnants ostaci
questions pitanja
herbal biljne
monocytes monociti
islam islama
doubt sumnje
approaching pristupa
more više
football nogometni
longer dugog
say recimo
whole čitave
croats hrvate
during pritom
gladly rado
work radi
learned učio
possibility mogućnosti
peace mirovni
touristic turističke
basis osnovice
hard teškog
events dešavanja
will hoće
poison otrov
developed razvijene
goes odlazi
weak slabi
iliad ilijada
familiar poznate
southeastern jugoistočnom
tomb grobnica
this ovoga
practically praktično
separated odvojena
won pobjedio
politics politika
prisoner zvornik
numbers brojeva
seamanship pomorstvo
symbol simbol
term pojma
rich bogatih
sex spolnih
title nazivom
expanded širila
raised podigao
term termin
planing planira
part dijelu
execute izvrši
his njegovim
work radom
provide omogućuju
corpulent razvijeni
movement kretanja
war ratni
red crvenog
learned naučio
northern sjevernije
story pripovijetke
schooling školovanja
space prostora
special posebnog
members članice
short kratka
forty četrdeset
vizier vezira
failure insuficijencija
town kalesije
canonical crkveni
hero heroja
applied primjenjuju
reflex refleksa
mammalian sisari
numerous brojni
structure sastav
event događaju
recognizable prepoznatljivi
musicians muzičari
disorders poremećaja
salt soli
adriatic jadranskog
collected sabrana
time trenutku
central središnja
precipitation padavina
spend proveo
english engleske
intentions namjera
women ženu
paradox paradoksi
open otvorene
announced proglasio
addition dodatak
listed navedeni
principle principu
shared podijeljen
electronic elektronika
provide pružaju
metre metar
title titula
showing predstavljati
muscle mišića
relations veze
border granici
derived izveden
societies društava
grammar gramatika
early rane
stands stajališta
related vezano
mountain planinskom
religion vjerska
considered smatraju
today današnji
daughter kćerka
alive živo
accomplishes ostvaruje
economic privredno
shared podijeljena
tower toranj
job posla
fountain vrelo
holder domaćin
corrosion korozija
education obrazovanje
constant konstante
like kakvi
decided odlučeno
photography fotografije
demand zahtjeve
most veći
battle borbu
production proizvodnih
referendum referendumu
territory teritorija
spanish španske
doctor doktor
plato platon
southern južni
compounds jedinjenja
surrounding okolnim
believe vjeruju
born rođeni
art likovna
that tome
hadj hadž
liability odgovornosti
aspect aspekta
team ekipe
marks maraka
plain nizija
old starijeg
mother matična
dedicated posvećena
old stari
part dijelom
stomach trbušne
ten deset
rule vladavina
down donje
wolf vuka
spoke govorilo
poland poljske
consisted sastojala
before uoči
issue izdaju
ancient drevnih
points tačkama
whole čitava
theme teme
pretty prilično
concert koncert
roman rimski
counts računa
popular popularnosti
salty salinitet
regulation uređenju
increases povećanja
destined suđeno
fish riba
formed formirala
simply jednostavnije
games igara
victory pobjede
territory teritoriju
growth rasta
serbian srpska
proteins bjelančevina
be budu
military vojnih
follow prati
last zadnjeg
host domaćin
old starog
molecules molekule
base podloga
made napravio
socialist socijalistička
stadium stadionu
scars rane
liberation oslobađanje
seas morima
execution obavljanje
semantic semantika
capital glavni
easy lako
expense račun
good povoljni
afterwards zatim
daughters kćeri
devices uređajima
teaching nastava
characteristic karakteristika
spinal kičmene
conditions uslova
plant biljnih
grown uzgajaju
joint zajednički
soldiers vojnici
later kasnim
crowning krunidbe
active aktivno
agencies agencije
being biva
messenger poslaniku
croatian hrvatska
stand stav
organs organa
relations odnosi
strike udara
finances finansije
means sredstvima
determined utvrđuje
opposing protivničkog
risk rizik
workers majstori
rugby vladala
captures snima
members pripadnika
orientation orijentacije
pacific tihom
primarily prvenstveno
poems pjesmama
una uni
dominate dominiraju
substances supstanci
black crno
significance značaja
come došli
front frontu
neighboring susjednim
sait sveti
prayer namaz
august augustu
seconds sekundi
object objekta
scales ljestvicama
enclave enklave
national nacionalnim
dusk sumrak
budget makroekonomija
trading trgovački
netherlands holandski
friendship prijateljstva
mediterranean mediterana
chemical hemijska
hand ruku
also također
town mostara
sarajevo sarajeva
break sloma
who koji
used korištena
socially društveno
teams ekipe
defined definisana
surrounding okoline
most većina
published objavila
developed razvio
successors nasljednici
foreign vanjske
institutions institucije
accurately precizno
monastery samostan
gives daje
regions regiona
sons sinova
coach trener
line linije
maz smiju
co sure
performance izvođenje
really stvarno
that da
daily dnevna
higher viša
preaches poljoprivreda
spreading proširenje
famous najpoznatija
proclaim proglasili
fortune sreću
kazakhstan kazahstan
presented predstavljala
sends šalje
motives motiva
necessary potreban
cleopatra kleopatra
parliamentary parlamentarne
hardest najteži
worse gore
sexual spolnih
requests zahtijeva
symptom simptoma
mark bilježe
northwest sjeverozapadu
foundations temelja
solution rješenja
band grupa
fertile plodno
qube kocka
mosque džamija
subjects predmetima
out izlazi
holy svetog
roads puteva
succeed uspijevaju
city gradskih
spread proširio
count iznose
left napustili
herbs biljke
what kakav
county nahije
blood krv
time vremenskom
hungarian ugarskoj
opposites suprotnosti
blood krvlju
notes bilješke
contain sadrže
federation federacije
individually odvojeno
functions funkcije
session zasjedanju
socialist socijalističke
europe evropom
official zvaničnu
record zapisi
ingredients sastojaka
overall cjelokupnu
decay raspadom
reacts reaguje
contain nalaziti
line redova
decision odluci
established osnovane
axis osovine
predominantly pretežno
own vlastitim
serbian srpske
data podatke
sense smisao
civil građanskih
intoxication intoksikacija
injury povreda
moved preselio
returned vratili
cyprus kipru
classical klasične
decline opada
ukrainians ukrajinci
born rodio
actors glumaca
mathematically matematički
runs bježi
rejected odbila
go ići
glucose glikozidi
measures mjerenja
convert pretvaraju
only čisto
sods busenje
gymnasium gimnaziju
save sačuvati
maintain održati
wind vjetar
performance svojstva
business poslove
rows redove
mineral mineralnih
marine pomorstvo
park parku
una une
gold zlato
tumors tumori
gentleman gospodin
legion legiji
viruses virusa
islamic islamskih
critiques kritike
neighbors susjedima
memory memorija
follow prate
nutritional prehrambena
shot šut
military vojnim
national nacionalnih
active aktivni
become postalo
hump grba
stage sceni
killed poginulo
based baziran
drawing izvlačenje
tombs grobnice
calender kalendar
makes čini
stores dućani
stay ostane
community zajednica
loop petlje
near skoro
croatian hrvatske
knew znali
easily lako
relations odnose
austro-hungarian austrougarskog
company firmi
making donošenja
specific određeno
doctor ljekar
courts sudovi
continuity kontinuitet
confirmed potvrđena
formed formira
abundance obilje
chemical hemijske
liver jetre
mirrors ogledala
fiber vlakna
called zvali
kept održala
frequency frekvencije
organism organizam
document dokumenta
row rijetka
league liga
fourth četvrta
demolished srušena
city građa
geographic geografska
classify svrstavaju
interference smetnje
closed zatvoren
occurs nastaje
chain niza
laws zakonitosti
vatican vatikan
journalist novinari
federation federacija
line linija
traffic saobraćaja
hungarian mađarske
hungarian ugarskom
most većine
presence prisustvo
is glasi
ex bivša
count grof
pythagoras pitagora
material materijalna
girl djevojka
wc vc
foreign vanjski
homosexual homoseksualnost
measuring mjerenje
publication objavljivanja
petar petra
were su
faculty fakulteta
church crkvu
bubble mjehura
basis bazi
institution ustanova
studying proučavanja
necessary obavezno
tool alat
presidency predsjedništvo
sport sportskim
terms izrazi
mosque džamije
performance izvođenja
kingdom carevine
expanded proširila
wish želimo
famous najpoznatije
decided odlučili
closed zatvoreni
written pisanim
came stigla
take trajalo
marias marijin
close bliskom
form formi
way načinu
excreted izlučuje
guatemala gvatemali
surgery hirurgija
smaller manji
air zraka
contract ugovor
regularly redovno
currencies valute
established uspostavljaju
medieval srednjovjekovnih
breeding razmnožavanje
man čovjek
series niza
structure strukturu
give dajući
sustain održi
best najboljim
so tzv
global svjetske
victory pobjeda
exit izlazak
pacific tihog
contain obuhvataju
clitoris klitoris
black crni
can moći
evolving evolventa
classical klasična
model modela
lived doživjela
sorrel kiseljaka
waves valova
liberation oslobođenje
black crne
rim obruč
alcoholism alkoholizma
memory memorije
emblem grb
aspect aspekt
name medina
snake zmije
offspring ploda
least najmanje
moldavia moldavija
represent predstaviti
dishes jela
view prikazu
accountancy računovodstvo
presidency predsjedništva
services službe
goes ide
show pojavili
classical klasični
emphasize naglasiti
thousands hiljade
make napravi
admit priznaju
induct uvodi
dower miraz
albanian albanski
declaration proglašenje
loaded bogata
globalization globalizacija
company firme
antarctic antarktika
during tokom
longterm dugotrajne
america americi
firm firma
population populacije
saban šaban
business poslova
industry industrije
midnight ponoći
populations narode
graz graza
movement kretanju
long dug
should treba
cash novčane
are si
induces podstiče
divisions divizije
egyptian egipćani
islamic islamskim
whole cjeline
viper poskok
italians italijani
hers njene
ground podloge
animal životinjskog
her njenom
together skupa
home doma
large velikog
signs znaci
turks turaka
photosynthesis fotosintezu
weaker slabije
established osnovano
currency valute
others drugima
homeland domovini
france francuskoj
bosnian bosanskoj
community zajednice
fusion fuzije
franciscans franjevci
abbreviation skraćenica
canton kantona
edge rub
popularity popularnosti
organs organi
forests šume
direct upućuju
deities božanstva
atomic atomskog
antarctica antarktika
region regionu
opinions mišljenja
intelligence inteligencije
bibliography bibliografija
coast obalom
rank čin
worries brine
meaning značaj
energy energijom
tens desetine
occasion povodom
cultural kulturnog
base osnova
reason razuma
serbo-croatian srpskohrvatskog
studying izučavanje
algiers alžir
general općih
spiritual duhovne
ex bivše
close blizu
material materijalne
offer nude
league lige
specials specijalnih
mushin muhsin
attempt pokušaja
again opet
television televizija
sometime nekad
otherwise protivnom
ioc moo
used korišteni
confirmed potvrđeno
rom roma
peace mir
most većini
preservation čuvanje
bosnian bosanskog
festival festivala
possibly eventualne
organize organizuju
measuring mjerenja
structure strukturi
medicine lijekovi
witness svjedok
make prave
sudden naglo
watches posmatra
whole cjelini
koran kuranu
introducing uspostavljanja
forms oblici
possibilities mogućnostima
myth mit
smaller manju
demography demografija
battles borbama
liquids tekućine
split splitski
mayor gradonačelnik
industry industriji
cross preći
poisonings trovanja
records snima
highway autoput
easy lahko
perform izvođenja
me mene
map karta
this ovaj
energy energiju
directly direktno
god bože
border granicu
modern modernu
learning učenja
which čega
legends legendi
do uraditi
newspapers lista
