roamed ફર્યો
ground મેદાની
winning વિજયી
difference તફાવત
economy અર્થશાસ્ત્ર
document ડોક્યુમેન્ટ
stock પુરવઠા
media સાધનો
padlock તાળું
brave પરાક્રમી
yet હજી
sign સંજ્ઞા
golf ગોલ્ફ
cd સીડી
towns નગરો
handling સંભાળતા
radio રેડિયો
wavelength તરંગલંબાઇ
stone સ્ટોન
certain ખાસ
population વસ્તી
sorrow દુખ
for છીએ
research સંશોધનમાં
increased વધી
thirteen તેર
scripture ઉપનિષદ
ceiling છત
thought વિચાર
kasturba કસ્તુરબા
catch પકડી
cost કિંમત
translate રૂપાંતરિત
inclination વલણ
believed માનતા
doing કરવાને
situation સંજોગોમાં
conversation રૂપાંતર
mix ભળે
which જોકે
guidance માર્ગદર્શન
written લખેલી
people લોકોને
soft નરમ
said કહા
he વહ
name હમીરજીને
parshuram પરશુરામ
observable અવલોકનક્ષમ
video વિડિઓ
spin સ્પિન
problems મુશ્કેલીઓ
ice બરફના
supreme સર્વોચ્ચ
used વાપરવામાં
anand આણંદ
electromagnetic વિદ્યુતચુંબકીય
principal સિદ્ધાન્ત
tempt લાલચ
cat બિલાડી
widow વિધવા
peculiar વિશિષ્ટ
played રમાતી
bali બાલી
desai દેસાઈ
kartika કારતક
paradise સ્વર્ગની
invention શોધ
incarnation અવતાર
ramanand રામાનંદ
curry કઢી
founder સ્થાપક
independency સ્વતંત્રતા
or અથવા
signs ચિન્હો
religious ધર્મની
singer ગાયક
and એન્ડ
instinct વૃત્તિ
giver આપનાર
doing કરવાનું
economical આર્થિક
month મહિના
gentlemen ગૃહસ્થ
decide નક્કી
set નિર્ધારિત
people વ્યક્તિઓ
palatable રોચક
group ગ્રૂપ
feet ચરણ
bath સ્નાન
round પર્યંત
till હજુ
shahjahan શાહજહાંએ
took લીધું
lights દીવા
its તેનો
bali બાલિ
having ધરાવે
now અત્યારના
happening સર્જાતી
directed દિગ્દર્શિત
death મૃત્યુના
yet હજૂ
would હોત
celtic સેલ્ટિક
promotion પ્રચાર
mother માતા
for માટેનો
request વિનંતી
1956 ૧૯૫૬
classes વર્ગો
middle મધ્યમાં
proportion પ્રમાણ
eighth આઠમી
prayer ઉપાસના
keeping મુકે
wave મોજા
festival ઉત્સવ
name વિષ્ણુનો
become માંડ્યો
aboriginal આદિવાસીઓ
high ઉંચો
draupadi દ્રૌપદી
prediction ધારણા
around આજુબાજુમાં
machine મશીન
essential અનિવાર્ય
reach પહોંચે
part ભાગે
sanskrit સંસ્ક્રુત
till હજૂ
following આગેવાનીમાં
running ચલાવતા
schools શાળાઓ
wholesale જથ્થાબંધ
classified વર્ગીકૃત
graphic ગ્રાફિક
expert પંડિત
beach બીચ
district જિલ્લાનું
devotion નિષ્ઠા
about અંગેના
wild જંગલી
period કાળના
good ગુડ
name જુમ્મા
speaker બોલનાર
liking પસંદ
incarnations અવતારો
accept ઝુકી
vishnu વિષ્ણુના
filled ભરુચ
person જણ
sea સમુદ્ર
principal આચાર્ય
eastern પૂર્વના
focus પ્રકાશ
foreigners અંગ્રેજોએ
april ફૂલના
suggest સુચવે
registered નોંધાયેલ
incident ઘટનાનો
own જાતે
movement ગતિવિધિઓ
cows ગાયો
numbers અંકો
pulses દાળ
addressing સંબોધતા
collected સંગૃહીત
sector ક્ષેત્રને
entire આખા
state રાજ્યો
isac આઇઝેક
decision પન
preparations તૈયારીઓ
result ચુકાદો
making બનાવતી
common સામાન્યપણે
keep રાખવી
session બેઠક
starting આરંભી
mediterranean ભૂમધ્ય
institutes સંસ્થાઓ
politics રાજકારણ
set અસ્ત
big બિગ
chapter પ્રકરણ
origin ઉદભવ
study અભ્યાસ
core હાર્દ
pleased ખુશ
thing પાત્રમાં
reach પહોંચી
pandava પાંડવોના
look જુઓ
create રચાઈ
spirit આત્માને
reserve રિઝર્વ
arranged યોજાઈ
stars તારા
f એફ
participants સહભાગી
ad સને
assumed ધારી
dashrath દશરથ
holy દિવ્ય
letters પત્રો
aric એરિક
fine દંડ
extra વધારાના
nest રાવટી
planning આયોજન
commerce વાણિજ્ય
organised યોજાતી
at ખાતેની
formerly અગાઉની
ritual વિધી
practice પ્રણાલી
cycle સાયકલ
artist કળામાં
colonies સંસ્થાનો
here રહા
instead સિવાય
bright તેજસ્વી
steel સ્ટીલ
observation નિરીક્ષણ
internal આંતરિક
43 ૪૩
fuel ઇંધણ
control અંકુશો
page પાનું
ink ઇન્ક
point મુદ્દો
about અંગેની
music સંગીત
counted ગણી
anyone કોઈપણ
shown બતાવ્યા
given આપતો
unicode યુનિકોડ
dairy ડેરી
suggested સૂચવવામાં
time સમયનું
europe યુરોપ
software સૉફ્ટવેર
theory સિદ્ધાન્ત
shimla શિમલા
hard કડો
photon ફોટોન
bhutan ભૂતાન
muslim મુસ્લિમો
pandavas પાંડવો
sectors ભાગનું
atomic એટોમિક
muhammad મુહંમદ
reference નિર્દેશ
fixed નિયત
writing લખવાનું
of ઓફ
explains સમજાવે
joined જોડાયેલો
length લંબાઇ
began આરંભી
high ઉંચું
arjun અર્જુન
many ઘણી
businesses ધંધા
municipal મ્યુનિસિપલ
method વ્યવસ્થિત
voice સૂર
of વિધાનસભાની
change બદલાય
adventure સાહસ
registered નોંધાય
supplied પહોંચાડવામાં
cup કપ
recognize ઓળખે
drop મુકી
keep રાખવા
measurement માપ
learned વિદ્વાન
plate પ્લેટો
reader પાઠક
vocabulary શબ્દભંડોળ
patent પેટન્ટ
characteristic લાક્ષણિકતાઓ
try પ્રયત્ન
chandigarh ચંડીગઢ
day દિવસે
fight લડતને
desai દેસાઇ
name પાંડવોને
vadtal વડતાલ
plane વિમાનમાં
sign નિશાન
technic તકનીક
walking ચાલીને
performing ચલાવે
move ફરે
derivation વ્યુત્પત્તિ
knowing જાણતા
written લખેલા
controversial વિવાદાસ્પદ
realization અહેસાસ
landing ઉતરાણ
filled ભરીને
successful સાર્થક
series શૃંખલા
surname અટલ
eleven ૧૧
organized વ્યવસ્થિત
both બંને
desert રણ
grief દુઃખ
trains ટ્રેનો
any કાંઈ
extra વધારાની
sowing વાવેતર
subtraction બાદબાકી
organised યોજાતા
expense ખર્ચ
fifth પાંચમા
deploying જમાવી
host યજમાન
established નાખી
way પંથ
harbor હાર્બર
end અંત
useful ઉપયોગની
many ઘણા
make બનાવતા
strong તીખા
fighting રમખાણો
folklore લોકવાયકા
indians ભારતીયોને
characteristic ખાસિયત
exhibited પ્રદર્શિત
1862 ૧૮૬૨
section વિભાગ
in ૧૯૬૦માં
like લાગતાં
challenge પડકાર
seems જણાય
believe મનાતું
favourite લોકપ્રિય
bharuch ભરૂચ
as એજ
veraval વેરાવળ
correction સુધારણા
from માંથી
accepted સ્વીકાર્યો
though વળી
with સાથેનું
per દીઠ
casualty જાન
problems સમસ્યાઓ
exhibited વ્યક્ત
liquid પ્રવાહી
cast જ્ઞાતિ
seen દેખાય
creations રચનાઓ
been ગયુ
stopped રોકી
that વહ
as એઝ
together એકબીજાને
stroke ધક્કો
volume ગ્રંથોના
inventor સંશોધક
women સ્ત્રીઓને
languages ભાષાઓના
when જ્યારે
corner ખૂણે
portuguese પોર્ટુગીઝ
city શહેરને
condition શરત
influenced પ્રભાવિત
create સર્જી
wall કોટ
vanish લીન
defeat હાર
note નોંધ
can શકાયો
year વર્ષ
called કહેવાયું
likes ગમે
made બનાવ્યો
advertisement જાહેરાતોની
faith વિશ્વાસ
keeping રાખે
terris છત
more બહુ
did કરતું
ancestors પૂર્વજો
parts ભાગો
listen સાંભળતા
bring લાવે
blade અસ્ત્ર
hate વેર
deny ઇનકાર
father પિતા
look દેખાવ
afterwards બાદમાં
town નગરીમાં
language ભાષાએ
city શહેરની
stage ચરણ
name કુંતીએ
able સમર્થ
note નોટ
point મુદ્દે
explained સમજાવી
solid જબરજસ્ત
exclusive અગ્રણી
change બદલાવ
employment રોજગારી
narendra નરેન્દ્ર
blasts વિસ્ફોટો
great ગરવા
set સ્થાપ્યા
laugh હાસ્ય
its તેની
some થોડી
areas ક્ષેત્રનો
difference ભેદને
mine મને
freedom મુક્તિ
surname ચાવલા
building ઇમારત
where ક્યા
great ભવ્ય
5 ૫
synonym પર્યાય
financial માલ
take ઉઠાવે
resume સાર
eighth આઠમો
enough પૂરતી
out નીકળ્યુ
excellent પ્રતિભાશાળી
impressive પ્રભાવક
sacrifice ત્યાગ
and ઔર
observed જણાયું
copy પ્રતિકૃતિ
this આનું
based આધારીત
both બંનેના
look જો
kaurava કૌરવ
including સહિત
created બન્યુ
magazine મેગેઝિન
present ભેટ
second બીજો
god ભગવાન
scripts લેખો
stayed રહા
handed ધરવામાં
violator કરનારને
dedicated સમર્પિત
circus સરઘસમાં
1000 ૧૦૦૦
than કરતાં
jains જૈનો
business કામના
eat ખવાય
received મળેલ
whose જેમની
increased વધ્યું
form ફોરમ
connected જોડાઇ
wealthy મૂલ્યવાન
spelling સ્પેલિંગ
controlled નિયંત્રક
nationalists રાષ્ટ્રવાદીઓ
control અંકુશ
given અપાવ્યો
median મધ્યવર્તી
symbol નિશાની
taluka તાલુકાનાં
cause કારણ
hard હાર્ડ
2 ૨
artificial બનાવટી
1941 ૧૯૪૧
languages ભાષાઓની
people લોકોની
bank સંગ્રહિત
taken લેવાયેલ
bread રોટલી
combine જોડાયેલ
reform સુધારણા
other અન્યોએ
rules રાજના
starting શરુ
iranian ઈરાની
measure માપદંડ
human મનુષ્ય
remained કાયમ
peculiarity વિશિષ્ટતા
thousand હજાર
stardust સ્ટારડસ્ટ
martin માર્ટિન
reliable પ્રમાણભૂત
result તારણ
problems તકલીફો
related સંદર્ભમાં
acceptance સ્વીકાર
note ટીપ્પણી
travels પ્રવાસમાં
emanate ઉત્પતિ
reflected પ્રતિબિંબિત
of માના
of ધર્મના
shri શ્રી
example ઉદા
forthcoming આગામી
hindi હિન્દી
offspring સંતાન
championship ચેમ્પિયનશીપ
gandhiji ગાઁધીજી
presentation રજૂઆત
all સહુ
understand સમજી
accepted સ્વીકારી
peace શાંતિ
developed સમૃદ્ધ
subjects વિષયો
gold સોના
like ઐસે
union સંઘ
sign રાશિ
telling કહી
villages ગામો
god ઇશ્વર
its તેનું
racialism જાતિવાદ
denizen પ્રજા
laws કાયદાઓ
could શક્યું
particles અંશો
amusement મેળાની
scattered છૂટા
inform જણાવ્યા
do કરે
tenth દસમા
use વપરાશ
done કરાયેલા
congress કોંગ્રેસની
embossed મુદ્રિત
when ક્યારે
substances પદાર્થોને
one એકથી
portion અંશો
king રાજવી
fingers આંગળીઓ
authority અધિકારો
information ઇન્ફર્મેશન
duration મુદત
name રાવણ
subject વિષયોને
1963 ૧૯૬૩
originated પડ્યું
outside બહારની
society સમાજ
like મુજબ
en એન
districts તાલુકાઓ
started ગયેલ
laughter હાસ્ય
bhavnagar ભાવનગર
body શરીરની
inside અંદર
destruction વિનાશ
institutions સંસ્થાનો
months મહિનાઓમાં
sachin સચિન
attaching સાંકળવામાં
its તેનુ
books પુસ્તકો
comes આવેલ
fount સ્રોતો
newly નવતર
tax કરના
continent ખંડના
rajasthan રાજસ્થાન
after પછીથી
tamil તમિલ
short ટૂંકા
precept વચન
recognize ઓળખાય
terms શરતો
with વાળું
roam ફરવા
purushottam પુરૂષોત્તમ
outside બાહર
sanctity સદાચાર
wicked દુષ્ટ
greek યૂનાની
missed ચૂક્યા
complicated જટિલ
last છેલ્લો
mahabaleshwar મહાબળેશ્વર
wanting માંગતા
mathematician ગણિતજ્ઞ
number ૧૯૧૯
japan જાપાનની
assertive સકારાત્મક
edible ખાદ્ય
philosophical અધ્યાત્મ
settle વસ્યા
1911 ૧૯૧૧
chief પ્રમુખ
humid ભેજવાળા
500 ૫૦૦
military લશ્કરી
in માં
r આર
towards પરત્વે
give આપવા
exhibiting દર્શાવતા
peacock કલાપીએ
obtained હાંસલ
1954 ૧૯૫૪
character સ્વરુપ
waterfalls ધોધ
raas રાસ
journalist પત્રકાર
like માફક
ostin ઓસ્ટીન
century સદીની
germany જર્મની
places સ્થાનો
meal ખોરાક
received મળેલા
documents દસ્તાવેજો
frequently અવારનવાર
slow ધીમો
say કહેવા
geologist ભૂસ્તરશાસ્ત્રીય
apply લગાવી
driver ચાલક
high ઊંચુ
reported નોંધ્યુ
always હમેશા
intermediate માધ્યમિક
human માણસને
numbers સંખ્યાની
doing કરવી
chief મુખ્ય
governments સરકારો
potter પોટર
jungle જંગલ
examination પરીક્ષણ
process પ્રક્રિયાની
similarly ઐસે
quit છોડોની
quantity જથ્થો
occupied રોકે
dwarka દ્વારકા
lio લિયો
which કયા
met મળ્યા
express પ્રદર્શીત
broadband બ્રોડબેન્ડ
it તેનામાં
govind ગોવિંદ
references સંદર્ભો
physical શારિરીક
deep ઊંડા
accepted અપનાવી
stone પત્થર
dr. ડૉ
left ડાબી
light પ્રકાશક
gather ભરાય
fun મજા
land ભૂમિ
centre ગર્ભમાં
national રાષ્ટ્રીય
subjects વિષયોને
camera કેમેરા
age વયના
present ઉપસ્થિત
read વાચન
arranged યોજાતી
highway હાઇવે
idea વિચાર
truth સત્યની
monks સાધુઓએ
prison જેલ
both બનેં
traveller યાત્રી
26 ૨૬
centered કેન્દ્રીત
ended પુરું
focus કેન્દ્રિત
seen દેખાતી
abundant ખૂબ
thought વિચારનો
catch કેચ
mentioned દર્શાવેલી
high ઊંચી
behave વર્તણૂંક
being આવતાં
amendment સુધારા
photo કોઠો
them સમજાવ્યા
empire સામ્રાજ્યના
suburbs ઉપનગરોમાં
nath નાથ
sage મુનિ
billion બિલિયન
statement વિધાન
hindustan હિન્દુસ્તાન
number ૧૯૧૬
extension વિસ્તારની
current હાલની
form રુપ
variety વિવિધતા
double બેવડી
name નામનો
about અંગેનો
sited બેઠો
possible શક્યો
shoulder ખભા
little થોડો
defeat પરાજય
nomination નામાંકન
easily સરળતાથી
acidity પિત્ત
reached પહોંચી
surname દેસાઈ
huge વિશાળ
eighty ૮૦
ashwatthama અશ્વત્થામા
scene દૃશ્ય
higher ઉપલા
then તબ
matter વિષયમાં
hard અઘરી
happened પામ્યા
talent પ્રતિભા
refutation ખંડન
log જથ્થો
reflection પ્રતિબિંબ
destroyer વિનાશક
divisions વિભાગો
not ન
voice અવાજ
comments ટીકા
black કાળો
traditional પારંપરીક
doing કરવા
edition અંકો
home હોમ
programming પ્રોગ્રામિંગ
established સ્થપાયેલ
dr. ડો
do કરો
triangle ત્રિકોણમાં
truth સત્યના
thoughts વિચારણા
clouds વાદળો
outline રૂપરેખા
suppose ધારી
definition વ્યાખ્યા
stayed રહેલાં
indian ભારતીય
snacks નાસ્તો
health હેલ્થ
opposite વિપરીત
pictures ચિત્રોં
informed જણાવી
seen દેખાતા
foot ફૂટ
persons વ્યક્તિઓને
institutions સંસ્થાઓના
desire રસ
animal પશુ
accurate સચોટ
helper મદદનીશ
entire સંકુચિત
completely તદ્દન
wonders અજાયબીઓ
solder ખભા
between વચ્ચેનો
some થોડાં
human માનવ
colour રંગ
above ઊપર
getting મેળવવાની
magnetic ચુંબકીય
lonely એકાંત
reports રિપોર્ટ
leaf પાન
capacity ક્ષમતા
geography ભૌગોલિક
providing પૂરો
festival પર્વ
found મળી
raval રાવળ
history इतिहास
manifest પ્રગટ
item ચીજ
fifth પાંચમી
kept નાખ્યો
name સોનિયા
endorsement સમર્થન
souvenir યાદગાર
israel ઇઝરાયલ
soldier સૈનિક
boon વરદાન
side બાજુ
writing લેખન
lifetime આજીવન
abroad વિદેશમાં
request માંગણી
fm એફએમ
appointment નિમણૂક
signals સંકેતો
unspecified અચોક્કસ
navin નવીન
so અત્યાર
legal કાનૂની
brilliant તેજસ્વી
romans રોમનો
broadcast પ્રસારણ
accept સ્વીકૃત
seasons ઋતુઓ
youth કિશોર
nepali નેપાળી
companion સાથી
suitable માફક
era કાળ
i હું
presented રજૂ
playing રમાતી
prayer સ્તુતિ
efficiency પ્રતિભા
decrease ઘટાડો
pluto પ્લુટો
departure પ્રયાણ
mother માતાના
here યહાઁ
absolute સુનિશ્ચિત
command પ્રભુત્વ
express એક્સપ્રેસ
made પાડ્યું
order આજ્ઞા
severe આત્યંતિક
parliament સંસદ
curse શ્રાપ
impression મુદ્રા
name જયદ્રથનું
moreover તદુપરાંત
balance શેષ
about સંબંધી
tribe સમુદાયો
purpose ઉદ્દેશ્ય
secession પડવાની
solitude એકાંત
ninth નવમા
took લીધો
went નીકળ્યું
1981 ૧૯૮૧
supply પુરવઠા
vast બહોળા
gifted આપણને
pakistani પાકિસ્તાની
try પ્રત્યાયનનો
dead મોત
joined જોડાયા
military સૈન્ય
contempt તિરસ્કાર
raw કાચો
important મહત્વનો
complete પૂર્ણ
population જનસંખ્યા
brother ભાઇ
earlier અગાઉના
without વિનાના
55 ૫૫
richest ધનિક
ours અમારા
getting મળેલ
some થોડો
gave દીધા
resort રીસોર્ટ
continent ખંડની
broad વિશાલ
short ટૂંકી
collected સંગ્રહિત
tea ટી
respectively પોતપોતાની
fiction કથામાં
proposal પ્રસ્તાવ
related સંકળાયેલો
life જીવન
emotions લાગણીઓ
just બિલકુલ
preservation જાળવણી
inspired પ્રોત્સાહિત
course કોર્સ
tall ઊઁચી
human માનવીની
sometime મહદઅંશે
vessel વાસણ
wrote લખ્યુ
similar સરખી
give આપવી
narration વર્ણન
exceptional અનન્ય
lack ઓછા
related લગતાં
internet ઈન્ટરનેટના
education શિક્ષણ
could શકાયો
search સર્ચ
nicobar નિકોબાર
jammu જમ્મુ
australian ઓસ્ટ્રેલિયન
foundation પાયો
addition વધારો
stable સ્થિર
culture સંસ્કાર
1933 ૧૯૩૩
harvard હાર્વર્ડ
1932 ૧૯૩૨
constructed બંધાયેલા
torture દમન
brother ભાઈ
advertisement જાહેરખબરો
famous પ્રચલિત
country વતન
april એપ્રિલ
idar ઇડર
messages મેસેજ
prayer પૂજન
berlin બર્લિન
play નાટક
done થાય
under નીચે
elections ચુટણી
majority મોટાભાગનો
address ભાષણો
hint સંકેત
oxford ઓક્સફોર્ડ
going જાય
from તરફની
cotton કપાસ
character ભૂમિકા
safe સલામત
done નાંખી
author સાહિત્યકાર
shore કિનારા
direction નિદર્શન
pass પસાર
hit હિટ
prevention અવરોધ
cave ગુફા
possession કબજા
iron આયર્ન
eternal સદા
serene શાંત
model પ્રતિમા
jammu જમ્મૂ
foot ફુટની
buddh બૌદ્ધ
burning સળગાવી
former ભૂતપૂર્વ
power અધિકાર
surname શાહ
proudly ગૌરવપૂર્ણ
study ભણવા
built બંધાયો
thing ચીજ
partially અંશતઃ
inning દાવ
high ઊંચો
goods માલ
county તાલુકામાં
maratha મરાઠા
different જુદાજુદા
joins લગાડી
myself પોતાનો
feedback પ્રતિભાવ
late લેટ
madri માદ્રી
blade તલવાર
vapor વરાળ
gem રત્ન
structure સ્વરુપ
happens થાય
mountains પર્વતમાળા
gulf અખાત
become ગયો
like જેવી
apply લગાવે
different વિવિધ
health સ્વાસ્થ્ય
accepted સ્વીકાર્યું
efficiency કાર્યક્ષમતા
happening થતું
third ત્રીજો
monkey વાનર
handle સંભાળવા
academy અકાદમી
found મળ્યા
his તેનું
commercial વ્યાપારના
hockey હૉકી
applied અપનાવી
following બાદના
simultaneously સાથોસાથ
sea દરિયાના
western પશ્ચિમની
honor સન્માન
at વાગ્યે
varied વિભિન્ન
name સિંધ
flowers ફૂલોના
region પ્રાંતના
inert નિષ્ક્રિય
thermal થર્મલ
taken લઇને
supply પુરવઠો
view વ્યૂ
venter ગર્ભમાં
literacy અક્ષરજ્ઞાન
diu દીવ
finally છેવટે
nothing કશું
black કાળી
residents વસેલા
famous અગ્રગણ્ય
coworker સહાયક
community સંપ્રદાયના
learned શીખ્યા
weak નબળા
showing દર્શાવતું
opposite થવાના
made બનેલું
city સીટી
ancient પ્રાચીનતમ
domain ડોમેન
brothers ભાઈઓ
till ત્યાર
hero હીરા
nation દેશમાં
write લિખીત
consequently પરીણામે
noise ઘોંઘાટ
approximately લગભગ
weight ભાર
changes બદલાવો
greenhouse ગ્રીનહાઉસ
inequality અસમાનતા
special વિશેનું
sitting બેસી
2010 ૨૦૧૦
junagarh જુનાગઢ
came નીકળી
intense પ્રબળ
like ગમતું
description ચિતાર
reward બદલો
initially પહલે
pollution પ્રદુષણને
1912 ૧૯૧૨
shown દર્શાવી
himalaya હિમાલય
its એની
steps દાદરા
remembrance સ્તુતિ
axial ધરીનો
process પ્રક્રિયાને
british અંગ્રેજોને
last આખરી
time સમયથી
like જેવા
pro પ્રો
slow ધીમી
pulse દાળ
solids ઘન
armour સેનાને
wells વેલ્સ
official સરકારી
writer લેખકે
indira ઈન્દિરા
prey શિકાર
thread દોરી
cost મોંઘી
students વિદ્યાર્થીઓને
however જોકે
merchant વ્યાપારી
subjects વિષયોની
process પદ્ધતિમાં
muscular સશક્ત
2003 ૨૦૦૩
student શિષ્ય
explain સમજાવ્યા
400 ૪૦૦
procession સરઘસમાં
olympic ઓલિમ્પિક
limitless પ્રચંડ
places સ્થળો
firm દ્રઢ
e-mail ઇ-મેઇલ
some કુછ
live રહે
improvement સુધારો
giving દેવાની
without વિનાની
forest વન
washington વોશિંગ્ટન
cache કેચ
aloud મોટેથી
municipality નગરપાલિકા
level કક્ષાનું
doing કરાય
step જવાનો
more અધિક
inventions શોધો
dishes વાનગીઓ
pages પાના
subject વિષયમાં
australia ઓસ્ટ્રેલિયા
ranching પશુપાલન
beliefs માન્યતા
sikh શીખ
paying ચૂકવવામાં
community સંપ્રદાયની
kumar કુમાર
persian પ્રિન્સિપિયા
1889 ૧૮૮૯
disciples શિષ્યો
sometimes ક્યારેક
khuda ખુદા
qualified લાયક
element સિલિકોન
officer અધિકારી
rowling રોઉલિંગ
central કેન્દ્રીય
dhaka ઢાકા
unique તરી
descriptive વિગતવાર
table કોષ્ટક
ozone ઓઝોન
there ત્યાંના
duke નવાબ
round ચક્ર
ram રામ
luxurious વૈભવી
deep ઊંડો
rock રોક
reached પહોંચે
training ટ્રેનિંગ
give આપો
changed બદલી
art કૃતિ
incident પ્રસંગે
kingdom સામ્રાજ્યને
rolling રોલિંગ
leader નેતાજી
warrier ક્ષત્રિય
versus વિરુદ્ધ
happen થવાની
totally સંપૂર્ણપણે
geographically ભૌગોલીક
conflict તકરાર
stub સ્ટબ
information જાણકારી
1953 ૧૯૫૩
job રોજગાર
pond તળાવમાં
material ભોગ
stony ખડકાળ
meter મીટર
delicate સંવેદનશીલ
narayan નારાયણ
slow ધીમા
arranges ગોઠવાય
target લક્ષ્યાંક
captive બંદી
coeval સમકાલીન
producer નિર્દેશક
shocks આંચકા
most મોટાભાગના
telephone ટેલિફોન
inner અંદરથી
internet ઈન્ટરનેટ
finding શોધી
1947 ૧૯૪૭
society સોસાયટી
become થઈ
top ઉપલા
running ચલાવે
touching અડીને
met મળ્યો
women સ્ત્રીઓ
specific ચોક્કસ
throw નાંખી
unhappiness દુખ
intact યથાવત
even સરખા
zone ક્ષેત્રને
extinct લુપ્ત
castle મહલની
colors રંગો
bal બાલ
mobile મોબાઈલ
vivekanand વિવેકાનંદ
sweet લાડુ
pilgrimage યાત્રા
front મોરચો
delivers પહોંચાડે
covered સમાવી
jayanta જયંત
anywhere ક્યાંય
translation અનુવાદ
amerindian આદિવાસીઓ
john જ્હોન
bowling બોલિંગ
structure માળખુ
associated સંકળાયેલું
movie ફિલ્મ
cosmos સૃષ્ટિ
of નુ
fundamental મુળભુત
postponed સ્થગિત
left છોડીને
playfulness આનંદ
fables વાતો
done કરાયેલ
found મળ્યુ
trap પકડવા
clothes વસ્ત્રો
rahul રાહુલ
server સર્વર
dividing ભાગલાની
afterward પછીથી
farmer ખેડુત
kingdom કિંગડમના
senator સેનેટર
monuments સ્મારકો
shore કિનારે
kill સંહાર
provide આપવાની
ultra અતિ
prose ગદ્ય
monastery મઠ
1975 ૧૯૭૫
line લાઇન
joshi જોશી
symbols ચિન્હો
done કરાય
equal =
floor માળ
glossary કોષ
as તેટલું
structure માળખા
fifth પાંચમો
equally એકસરખી
does હોતું
accusations આરોપો
producer દિગ્દર્શન
printed મુદ્રિત
instructions સૂચનાઓ
mention નિર્દેશ
your તેના
traditional પરંપરામાં
program કાર્યક્ષમ
cotton ખાદી
then બસ
because કારણે
or અગ્ર
structures માળખા
infected લાગેલા
advertisements જાહેરખબરો
of ની
depend અધીન
insistence આગ્રહ
removing કાઢવાની
sea દરિયાની
prizes પુરસ્કારો
gram ગ્રામ
done કર્યાં
came ફર્યા
pool કુંડમાં
gave આપ્યાં
globalization વૈશ્વિકરણ
lastly છેલ્લે
industry ઉધોગ
expected અપેક્ષિત
commissioner કમિશનર
area પ્રાન્ત
draft ખરડો
fight લડવા
video વિડીયો
republican પ્રજાસત્તાક
arjun અર્જુનને
sud સુદ
black કાળા
places સ્થળોએ
month માસની
northeast ઇશાન
radha રાધા
village ગામ
against વિરૂદ્ધ
weak નબળી
kept રાખવાનું
western પશ્ચિમના
to કંપનીને
khan ખાન
another બીજું
school સ્કુલ
fourth ચોથું
immediately તરત
custom પારંપરીક
inspiring પ્રણેતા
1940 ૧૯૪૦
customer ગ્રાહક
sing ગાવામાં
lower નીચલી
went જવાનું
neptune નેપ્ચ્યુન
which જેમની
came આવવા
without વિનાનો
temple મંદિરને
without વગર
logo લોગો
takes લાગે
receive મેળવવામાં
assembly મંડળો
vault ઘુમ્મટ
apple સફરજન
thrust બળ
preliminary પ્રાથમિક
nuclear પરમાણુ
name બલરામ
ships વહાણો
checks અંકુશો
jointly સંયુક્ત
said કહ્યું
king મહારાજે
rule કાયદો
we અમે
century સદીઓથી
breed વંશનો
sixteen સોળ
fifty ૫૦
profession કારોબાર
law કાયદાનું
nature નેચર
revolt બળવા
principles આદર્શો
junagadh જૂનાગઢ
actual તદ્દન
meeting અધિવેશન
soldiers સૈનિકો
imagination કલ્પના
taken ધરવામાં
gautam ગૌતમ
generation પેઢી
water જળ
trench ખાઈ
chairman ચેરમેન
record નોંધ
computers કોમ્પ્યુટર્સ
ireland આયરલેંડ
thinking ચિંતન
only ફક્ત
changed બદલાઈ
watched દેખા
paris પેરિસ
lane પંથ
blessings આશીર્વાદ
script આલેખન
west પશ્ચિમે
anti એન્ટી
fire આગ
black બ્લેક
phase તબક્કે
reasonable પ્રમાણભૂત
group દળોની
path પથ
about બારે
wars યુદ્ધો
words શબ્દોમાં
completed બન્યું
factory ફેક્ટરી
sulphur સલ્ફર
lived વસે
devotee ભક્તો
dearth દુકાળ
system પ્રથા
named નામક
flowers ફૂલોને
advantage ફાયદો
doing કરતા
disable નિષ્ક્રિય
to ટૂ
temperature ઉષ્મા
mithi મીઠી
name પરશુરામ
upanishad ઉપનિષદ
murder હત્યા
southwest દક્ષિણપશ્ચિમ
place સ્થલ
ear કાન
experienced અનુભવી
prevents અટકાવે
year વય
description વર્ણન
etymology વ્યુત્પત્તિશાસ્ત્ર
arabia અરબસ્તાન
broadcasting પ્રસારીત
lyrics રાગ
unknown અજ્ઞાન
deccan ડેક્કન
including સહીત
energy ઊર્જા
great મહા
many અનેક
maurya મૌર્ય
silicon સિલિકોન
throne સિંહાસન
based આધારે
oppose વિરોધ
angry ક્રોધિત
front અગ્રેસર
hotspot હોટસ્પોટ
nasik નાસિક
of સંગ્રામના
possessed મેળવી
honorable ગરવા
loudly મોટેથી
opposite વિરૂદ્ધ
air હવાની
yes હા
speech ભાષણ
year વર્ષનાં
spread ફેલાઈ
sometime ક્યારેક
einstein આઇન્સ્ટાઇને
promise વચન
higher ઉપરનો
times સમયના
system સિસ્ટમ
akshardham અક્ષરધામ
taken લિયા
remote દુર
count ગણે
body દેહ
spread ફેલાઇ
november નવેમ્બર
strong કડક
distortion વિનાશ
achieve મેળવવા
inspiration પ્રેરણા
play રમાય
national નેશનલ
belief શ્રદ્ધા
keep પાડ્યો
