take nemen
asserted beweerde
number cijfer
accepted geaccepteerd
syringes spuiten
convert omgebouwd
general generaal
images beelden
liking voorkeur
organism organismen
external uitwendige
financed gefinancierd
mary maria
placed neergezet
background afkomst
arts letteren
time tijd
wall wand
attacks aanslagen
foreign vreemd
flourish bloei
legal legale
beyonce beyoncé
reconciliation verzoening
slavery slavernij
forest bos
reacted reageerde
campaign campagne
national nationaal
past afgelopen
medics medici
partially gedeeltelijke
total totale
utilize hanteren
fertilize bevrucht
holland jordaan
assumed stelde
continue doorgaan
banks oevers
prestigious prestigieuze
technological technologische
succeeded geslaagd
maintained bijgehouden
represented vertegenwoordigd
philosophic filosofische
sensation aandoeningen
cross kruis
reacted reageerden
extensive uitgebreid
approach toenadering
too te
on voort
category onderverdeling
line lijn
counting telling
responded reageerde
findings bevindingen
acknowledge erkent
refers verwijst
sentence zin
eradicated uitgeroeid
board boord
characteristics kenmerken
healing genezing
improved verbeterd
coasts kusten
link verbinden
prepared bedacht
lethal dodelijk
tropical tropisch
then liefst
view zicht
anger woede
working werkzaam
championship kampioenschap
visibly waarneembaar
particular uitermate
participating deelnemende
expansion uitbreidingen
stood stond
song zang
next onzeker
commercial commerciële
therefore daarvoor
belgians belgen
jew jood
absence afwezigheid
octavian buitenlandse
horn hoorn
you u
safe veilig
perform verrichten
ninety negentig
composition samenstelling
decrease af
original oorspronkelijke
appliance toestel
attitude opstelling
instigate opzetten
position positie
poor arme
advertisement reclame
correct correcte
donated schonk
population populatie
towards jegens
legion legioen
fact werkelijkheid
traumatic traumatische
extremely uitermate
alienation vervreemding
size grootte
canopy verhemelte
assembled aangelegde
organized georganiseerd
said zei
great klasse
s ordes
impossible onmogelijk
delivery bevalling
mentioned genoemde
presented weergegeven
moderate gematigde
air lucht
current leverden
create opwekken
als if
altered gewijzigd
out eruit
balance evenwicht
baroque barok
hungarians hongaren
pack roedel
labour moeite
defeat verslaan
pools plassen
dole steun
think denkt
attackers aanvallers
doctors artsen
mainly hoofdzakelijk
confirmation bevestiging
crafts toestellen
agreement deal
was ontstond
stayed verbleef
building pand
united verenigd
saved gered
traditional traditionele
series serie
impression indruk
rape verkrachting
maintenance onderhoudt
fear angst
played speelden
covered bedekt
monarchs vorsten
company bedrijf
represents vertegenwoordigt
appearance aanzien
judiciary rechterlijke
process verwerken
ship schip
tehran teheran
that wat
deceased overleden
azerbaijan azerbeidzjan
lead leiden
result resultaat
exerted uitgeoefend
positions posities
berg mount
summertime zomertijd
naturally vanzelfsprekend
dispute betwist
concept begrippen
christian christelijke
fertile vruchtbare
dying overlijden
offender dader
find vindt
increase vergroten
grip greep
treated behandelde
prettiest mooiste
crown kroon
permit erkent
merely slechts
starring hoofdrollen
mosque moskee
costs kosten
domination dominantie
fish vissen
pre-eminently uitstek
populated bewoond
series reeksen
type voorbeelden
prey prooi
sold verkocht
flow loop
future toekomst
orders bevel
maestro grootmeester
certain bepaald
airports vliegvelden
finishing beëindigen
exclusively uitsluitend
release komen
universe heelal
task opdracht
charts hitlijsten
enjoys geniet
raise stelde
substantially fors
exchange wisselen
theoretical theoretische
respiratory luchtwegen
nationalistic nationalistisch
invented verzonnen
priory klooster
kept behield
hardly nauwelijks
namely namelijk
architecture bouwstijl
grace genade
treasures schatten
female vrouwelijke
hit sloeg
treatment behandeling
patient patiënt
obtained verkregen
union verenigingen
science natuurwetenschappen
increases groeit
drawings tekening
withdraw onttrekken
lifes levens
favourable gunstig
reputation aanzien
amount deal
homes woningen
banana banaan
competitions wedstrijden
venice venetië
good goede
hemisphere halfrond
leads hoofdrollen
discussions discussies
inhabited bewoond
afterwards daarna
german germaanse
critics critici
golden gouden
real reële
smooth gladde
eating eten
solved opgelost
publicize publiceren
performed trad
collective gezamenlijk
academic universitair
decline afnemen
character geaardheid
cooperation medewerking
expected verwachtte
shortest kortste
hatred haat
survivors overledenen
until totdat
extensive omvangrijk
rulership heerschappij
contact aanraking
emperor keizerschap
called riep
increased gestegen
loam leem
left verliet
end slot
block blokkeren
jordan jordanië
remind herinnert
standard gangbare
mountains gebergte
reunification hereniging
popping tevoorschijn
away weg
before eer
designed ontworpen
italian italiaanse
were stonden
fact feite
pronounce uitspreken
exchange ruilen
issues vraagstukken
briton brit
no uitblijven
assisted gestaan
onset aanzet
just zomaar
diminishing dalende
remarkable opmerkelijke
front voren
initial aanvankelijke
was duurde
divorce scheiden
gets krijgt
luxury luxe
storehouse depot
director directeur
saved bewaard
goes gaat
circulation circulatie
disorder afwijking
relation opzicht
musical muzikaal
communist communistische
hoped hoopte
quantities hoeveelheden
sicily sicilië
join sloten
set uitgerust
liturgical liturgische
acquaintance relatie
increased toegenomen
considerably stuk
responsibilities taken
purely louter
maximum maximaal
stream stroom
remained gebleven
fundamentally fundamenteel
fit voorzien
existing bestaande
dish gerecht
by middels
neither evenmin
name matt
wide brede
intervene ingrijpen
competition concurrentie
traffic verkeer
provide voorzien
beginning beginnende
contradictions tegenstellingen
disadvantages nadelen
unusual ongebruikelijk
refugees vluchtelingen
besides trouwens
date jaartal
awareness inzicht
fast snel
exceptional uitzonderlijk
recommended raden
bite bijten
mercy genade
procreate voortplanting
breast-feeding borstvoeding
offensive offensief
totally totaal
only louter
bottom onderzijde
rule regeren
hit aangeraden
st. st
plain vlakte
leader leider
define definiëren
rebirth wedergeboorte
probably vermoedelijk
occurrence optreden
edges randen
grow uitgroeien
currents stromingen
lethal fatale
offices kantoren
studies bestudeert
divergent uiteenlopende
bridges bruggen
prominent vooraanstaande
predecessors voorgangers
suspected verondersteld
nog more
published uitgebrachte
urinate plassen
mouse muis
eventual eventuele
sister zus
districts stadsdelen
retain gehouden
demolished gesloopt
front voorkant
family familie
faculty faculteit
punish straffen
sequence reeksen
direction richting
out verricht
introduction introductie
other andere
cult sekte
promote bevorderen
provides biedt
effectiveness effectiviteit
ranking ranglijst
points wijst
rather tamelijk
read lezen
eddy eddie
primates primaten
famed befaamde
climbing klimmen
curse vloek
liberation bevrijding
got raakten
made maakten
name naam
nicknames bijnamen
leveled vlakte
earliest vroegste
bourgeoisie burgerij
direction leiding
founding vondst
indeed daadwerkelijk
struggle strijd
chief chef
moist vochtig
keep hielden
archaeological archeologisch
point punt
monasteries kloosters
wars oorlogen
canary canarische
authority gezag
decision beslist
hoof voet
differentiated onderscheiden
poetry poëzie
forbid verbood
less minder
yearly jaarlijks
named vernoemd
usual gebruikelijk
jesus jezus
helen helena
organizations verenigingen
steady stabiel
depend hangen
colleges hogescholen
available voorhanden
tone toon
assignment overdracht
therefore daarom
clothed gekleed
this deze
reasons redenen
removal verwijdering
idea plan
remnants restanten
dear lieve
nude naakt
order commando
gospels evangeliën
outcome afloop
enlighten verlicht
formerly voorheen
sharks haaien
input invoer
informal informele
confidence vertrouwen
chose koos
reaches haalt
state rijk
direct rechtstreekse
about erover
named geheten
limitation beperking
wealth rijkdommen
hunger honger
more sterker
heath heide
permanent vaste
sour zuur
spread verspreiden
moral moreel
carriers dragers
holiday feestdag
bicycle fiets
cultivation kweek
next vervolgens
theorem stelling
mentioned gemeld
civilizations beschavingen
academy genootschap
recovered hersteld
departure vertrek
estimates schattingen
posthumously postuum
newly opnieuw
earthquake aardbevingen
baltic baltische
mountain berg
approved goedgekeurd
verb steunt
fund fonds
enjoyment genot
valued gewaardeerd
troops manschappen
organizations organisaties
disposal beschikking
effort inspanning
sanskrit sanskriet
minority minderheid
did wist
thereby daarbij
flanders vlaanderen
famous beroemd
borrow lenen
frenchman fransman
definitions definities
weather weer
use gebruiken
occur voordoen
nation land
nowadays dage
spiritual geestelijke
areas gebieden
anaesthesia verdoving
countenance steun
popular populair
lifelong levenslang
receiver ontvanger
set gestelde
chairman voorzitter
maintains onderhoudt
expansions uitbreidingen
exist bestond
alcoholism alcoholisme
anatolia anatolië
weird rare
agreement compromis
proud trots
rainfall regenval
consumer consument
foundation fonds
ignored genegeerd
assembly assemblée
jewels sieraden
spoke gesproken
traffic wegverkeer
demand eisen
female vrouwelijk
members leden
musicians musici
enlarge vergroten
straight rechte
positions plaatsen
senat senaat
consider beschouwen
back terug
relatively relatief
groups groeperingen
fault toedoen
sugar suikers
identical identiek
sculpture beeldhouwkunst
have hebben
immunity immuniteit
foreign buitenlandse
exhibition tentoonstellingen
tendency tendens
rarely zelden
hostile vijandige
viral virale
difficult moeilijk
enthusiastic enthousiast
before tevoren
revealed bloot
emotional emotionele
shooting opnamen
objective doelstelling
grown gegroeid
someone iemand
powerful krachtig
through middel
allow lieten
inquisition inquisitie
brits britten
league cup
call noemt
partition schot
gravity zwaartekracht
made deden
teenagers tieners
beaches stranden
office ambt
organized georganiseerde
reached bereikte
cheeses kazen
earlier toenmalige
him hem
add bevat
completely compleet
used gebruikgemaakt
seated zittende
change omgezet
aeroplane vliegtuig
farewell afscheid
that ku
provided leverde
breastfeed borstvoeding
harbour haven
walk gaan
accessible bereikbaar
realistic realistische
dedicated gewijd
molds schimmels
show optreden
detention gevangenisstraf
performance werking
formation vorming
seemed leken
use gebruikmaken
bordered begrensd
narrow nauw
kingdoms koninkrijken
periodical periodiek
controlled beheerste
organisms organismen
repression onderdrukking
advantage voordeel
binds verbindt
tobacco tabak
endure duren
saints heiligen
believers gelovigen
fourth vierde
lord heer
explained verklaarde
platinum platina
composition compositie
extensive uitgebreide
senate senaat
summary overzicht
activities bezigheden
found stichten
often veelvuldig
forever voorgoed
plague pest
constitutional constitutionele
integration integratie
niece nicht
reduction afname
cast uitbrengen
accomplish uitgerust
socially maatschappelijk
bow buigen
alliance alliantie
burdened last
entrepreneur ondernemer
bow boog
wrong verkeerde
which welke
underway onderweg
row rij
strange vreemd
hole hol
elephants olifanten
underlying onderlinge
content inhoud
scottish schotse
overt publieke
toll tol
minus min
lighting verlichting
bass basgitaar
sins zonden
admiral admiraal
said noemde
usually doorgaans
guarantee garantie
directions richtingen
ships schepen
evil boze
says zegt
departments afdelingen
lutheran lutherse
times malen
will zal
orientation geaardheid
rampart dijk
artistic artistiek
enjoy genot
ground grond
connected aangesloten
alcoholics alcoholisten
political staatkundige
scottish schot
proved bewezen
shed werpen
skills vaardigheden
deliberately opzettelijk
estimate ramen
follow-up vervolg
sickness ziektes
shortly kortweg
program programma
stage toneel
protected beschermd
imagination verbeelding
street straat
shiite sjiieten
color kleur
dominance overheersing
concentration concentratiekampen
french fransman
reclaimed ontgonnen
tribes stammen
describe beschreef
liberate bevrijden
seat zetelt
peat veen
outfit uitgerust
professional professionele
lowest onderste
geographical geografische
scents geuren
earthwork dijk
positions houdingen
rival rivaal
stem stam
meant bedoeld
formed gevormd
emirates emiraten
autonomy anatomie
municipal gemeenteraadsverkiezingen
gold gouden
conserved bewaard
lungs longen
thousands duizenden
seventh vii
diffusion verspreiding
measures maatregelen
junior jr
alternately afwisselend
judgement beoordeling
confused verwarren
transmission overdracht
thereby daardoor
reformed hervormde
very heel
revolutionary revolutionaire
african afrikaans
fellowship genootschap
that dat
budapest boedapest
generously rijk
bars cafés
rich rijke
key voornaamste
remark opmerking
fossils fossielen
say zeggenschap
explicitly expliciet
need noodzaak
blood bloed
french franstaligen
before voordien
newspaper dagblad
immediate onmiddellijk
delivered aangevoerd
suppress onderdrukken
almost nagenoeg
explicitly uitgesproken
seconds seconden
belgian belgisch
opened geopend
now nu
measures afmetingen
character letter
erosion erosie
moment ogenblik
high hoog
patients patiënten
used gewend
neutrality neutraliteit
parlements parlementen
arrangement regeling
examples voorbeelden
historical historisch
adjunct assistent
killed gedood
produces levert
united verenigde
shortly strikt
mystery mysterie
meant betekende
speeches toespraken
sin zonde
goddesses godinnen
magical magisch
lime kalk
broad breed
twice tweemaal
tissue weefsels
kept bijgehouden
image imago
location ligging
osteoarthritis artrose
footnotes voetnoten
network wegennet
teeth tanden
solicitation verzoek
obviously kennelijk
put gestopt
pneumonia longontsteking
confirmed bevestigd
priest pater
financial financiële
close sluiten
pollution vervuiling
which waarover
romantic romantische
flowering bloeiende
speculation speculaties
feeding voeding
enactment uitvoering
fit uitgerust
opportunities mogelijkheden
heavy massaal
great groots
presumption veronderstelling
excitement opwinding
reigned regeerde
pattern voorbeelden
weakens verzwakt
hideout schuilplaats
large grote
midget dwerg
bishop bisschop
return terugkomen
city stadje
appliances apparaten
form vormde
magical magische
e.g. veelal
indonesia indonesië
control controleren
destined bestemd
concert concertgebouw
topics onderwerpen
calls dringt
red rood
wings vleugels
trees bomen
place weggelegd
looks kijkt
founded opgericht
cafe café
did deed
photo foto
dialects dialecten
power kracht
except behalve
accessible toegankelijk
aspects aspecten
became worden
places plaatsen
course beloop
long-lasting langdurige
catch verstaan
show aantonen
natural natuurlijke
claimed beweerde
rotate rotatie
upbringing opvoeding
ninth negende
hawaii hawaï
subsequent latere
minimum minimale
really inderdaad
started ontstond
island eiland
loose los
beliefs geloven
highways snelwegen
seeds zaden
violent heftige
seventeen zeventien
bible bijbel
stamp stempel
fertilized bevrucht
lacewing netvleugeligen
travelers reizigers
commemorated herdacht
installed aangebracht
like zoals
troops troepen
remembering herinneren
goal doelstelling
disk schijf
complete compleet
vegetable plant
dream droom
breathing ademhaling
filament gloeidraad
after post
processes verwerkt
met ontmoetten
algeria algerije
building palazzo
sweet lieve
out uit
competitor concurrenten
essentially wezen
dumbledore perkamentus
electromagnetic elektromagnetische
blink knip
progeny nageslacht
precipitation neerslag
weekly weekblad
vegetation begroeiing
bass bas
send gestuurd
loan lening
twelve twaalf
usual gangbare
northeasterly noordoostelijke
blocks geblokkeerd
moderate gematigd
always steeds
repeated herhaalde
nomenclature naamgeving
exhibitions tentoonstellingen
association vereniging
outcome consequenties
state toestand
reputation reputatie
brickwork baksteen
wall muur
function capaciteit
served diende
application toepassing
species soort
yet nog
characterized kenmerkt
strand beach
information voorlichting
witnesses getuigen
eliminate schakelen
editing bewerken
nevertheless desondanks
indeed werkelijk
load lading
fight strijd
agreed afgesproken
article artikel
water urine
upright overeind
organisation organisatie
latvia letland
light verlicht
constitute uitmaken
moldavia moldavië
figure vormde
sweater trui
serious serieuze
march opmars
elements elementen
large fors
inhabitants bevolkt
rare zeldzame
diverse divers
damage schade
aimed richtte
way manier
insects insecten
surface velden
advice advies
place plaats
escaped vluchtten
chance kans
began begonnen
tiger tijger
covenant overeenkomt
piece stuk
fall vallen
place plaatsvindt
committing begaan
focused gericht
served dienden
nothing niets
deviating afwijkend
over afgelopen
illustration illustratie
dividing verdeling
nonetheless evenmin
loosely los
commercial commercieel
ice ijs
enveloped omvatte
question kwestie
covers beslaat
need hoefde
striving streven
services diensten
same eenzelfde
models modellen
rough grove
fair beurzen
contribute bijgedragen
consciousness bewustzijn
reformation reformatie
riches rijken
walk loopt
nations naties
mostly meestal
staff personeel
been geweest
olympic olympisch
multiply vermenigvuldigen
cypress cyrus
which welk
pain pijn
porter drager
partially deels
on erop
infamous beruchte
relations betrekkingen
murder moorden
slight geringe
proverb spreuk
conviction overtuiging
surrender overgave
transport vervoeren
sense zin
basal basale
start starten
forbidden verboden
unities eenheden
negotiations onderhandelingen
abscond voeten
producers producenten
head kop
slavic slavische
passes overgaat
created opgebouwd
examines onderzoekt
lodge loge
noord northern
dissolve ontbinden
outside buitenste
indian indiaanse
decreased verminderd
cones kegeltjes
inspect onderzoekt
repetition herhaling
sculpture vormde
has bezit
systematic systematisch
differences verschillen
admittedly weliswaar
outside buitenaf
am word
necessary noodzaak
tokyo tokio
tomorrow morgen
appearing schijn
his zijne
player spelers
buildings gebouwen
depend rekenen
ruling heersende
practice uitoefenen
formulated geformuleerd
duration duur
relief reliëf
thickness dikte
chance voordeel
disturbed onderbroken
earthquakes aardbevingen
revenues opbrengsten
style stijl
spray spuiten
that opdat
chances kansen
reached behalen
had hadden
rebels opstandelingen
ground gemalen
arguments argumenten
located vastgesteld
libya libië
lay leggen
objects zaken
treat behandelen
go gaan
powers machten
movies filmpjes
leafs bladeren
market markt
denmark denemarken
favorite favoriete
subsidiary assistent
design vormgeving
imposed opgelegd
hooves hoeven
interest rente
reptiles reptielen
imitation navolging
action handeling
representative vertegenwoordiger
shut sluit
alzheimers alzheimer
finished afgelopen
pains moeite
desire verlangen
intestine darm
resistance verzet
measurements metingen
fought vocht
discovery ontdekking
elderly ouderen
remark opmerkingen
district wijk
damaging beschadigen
posted geplaatst
septembre september
foresee voorzag
condemned beoordeeld
wanted wilde
shot opname
cow koe
usefully bruikbaar
technically technisch
refuge schuilplaats
building opbouw
recent huidige
thinks denkt
remaining overige
seriousness ernst
historical historische
foundation grondslag
vow beloofd
repaired hersteld
foods levensmiddelen
storage depot
membranes vliezen
artificial kunstmatig
will treft
returning terugkerende
illustration afbeelding
success succes
obvious vanzelfsprekend
white blanke
definition omschrijving
birds vogel
expand uitbreiden
regularly regelmatig
gladly graag
peaks toppen
copenhagen kopenhagen
aspects aangelegenheden
rising stijgende
science wetenschappelijke
commissioner commissaris
roam trok
attempt proberen
favourite favoriete
action optreden
scientists wetenschappers
exile ballingschap
considered overwogen
stated stelden
advance opmars
hungarian hongaarse
place venetië
university universitair
anaemia bloedarmoede
faction fractie
opposite tegengestelde
know weet
broken kapot
vikings vikingen
caucasus kaukasus
pattern vormde
goddess godin
refer verwijzen
successors opvolgers
range scala
work werkzaamheden
sovereign soeverein
grave graf
targets doelen
while tijdens
dragon draak
definitive definitief
captured veroverde
ball bal
needs behoeften
presumed meende
humanists humanisten
results uitslag
dead dode
newest nieuwste
joseph josef
they zij
increase verhoging
meets ontmoet
ensured gezorgd
individual afzonderlijke
named benoemde
unprecedented ongekende
blue blauw
personnel personeel
albeit alhoewel
picture beeld
passage doorgang
distrust wantrouwen
sunlight zonlicht
same datzelfde
need behoefte
follows volgt
changes verandert
covenant verbond
running lopende
raise stelt
blame schuld
newspaper krant
lower lager
to aan
sexuality seksualiteit
expand uitgebreid
quiet rustig
others ea
leave gaan
forbidden verbod
missing ontbrak
extent mate
precise precieze
choses kiest
perhaps misschien
fall terechtkomen
charge lading
currency munteenheid
recognisable herkenbare
spots vlekken
transferred overgebracht
famine hongersnood
damien damiaan
sister zuster
demonstrations demonstraties
follower opvolger
clerks ambtenaren
brothers broeders
nobility adel
novice beginnende
defeated verslagen
carried droegen
colonies kolonies
portion gedeelte
remaining overgebleven
succeed slagen
upcoming opkomende
limited begrensd
shows zien
earth terra
connection betrekkingen
estuary monding
soccer voetbal
mandible onderkaak
remain blijvend
murder moord
indigenous inheemse
ruled beheerste
carries voert
bustle drukte
objections bezwaren
poll toppen
among onder
redemption verlossing
final definitieve
people personen
risk risico
visitors bezoekers
memory geheugen
symbol wapen
cinema bioscoop
authorised bevoegd
name martín
heard horen
separation afscheiding
funeral begrafenis
fly vliegen
forever eeuwige
sex sekse
interference inmenging
diarrhoea diarree
conducted voerden
race ras
glasses glazen
nickname bijnaam
involve inzetten
doorstep drempel
properties panden
expected verwachten
liquor likeur
treaty overeenkomst
coup machtsovername
death dood
commencement aanvang
already al
regularly regelmatige
poison gif
royale royaal
bosoms boezems
pursued vervolgde
fall najaar
defence verdediging
set gevestigd
exercise oefenen
reconstruction wederopbouw
atoms atomen
developed ontwikkelden
voted stemde
warm warme
for voor
serve dien
cypher rekenen
took haalde
archaic oud
has heeft
near dichtbij
types typen
additional bijkomende
pilot piloot
anemia bloedarmoede
diagnosis diagnostiek
believe menen
satisfied voldeed
definitely definitief
spectacularly groots
employment werkgelegenheid
bees bijen
rite ritus
disasters rampen
western westerse
emotion aandoeningen
property eigenschap
covering begroeiing
flat platte
decided besloot
track baan
natural natuurlijk
elaboration uitwerking
device apparaat
cure genezing
relatively betrekkelijk
keep houd
rear achteren
thereon daarop
rebellion opstand
accordingly stig
infection ontsteking
denied ontkend
estimate schatting
angel engel
agriculture landbouw
counting tellen
summers zomers
moved bewogen
shakespeare shakespeares
capitals hoofdsteden
mighty machtige
autism autisme
claus klaas
usually gewoonlijk
wider breder
both allebei
abolition opheffing
used gebruikt
pants broek
official officieel
hydrogen waterstof
highway autosnelwegen
continent werelddeel
immediately onmiddellijk
authorities instanties
religions religies
common gezamenlijk
sex seks
hurdle hordelopen
countrywide landelijk
eg vb
frequencies frequentie
province provincie
hair haren
network netwerk
regularity regelmaat
penetrates dringt
independently onafhankelijk
capitulation overgave
trade ruil
teeming wemel
occasion aanleiding
situated gelegen
standards begrippen
against vasten
vision dromen
keep bewaren
leads leidde
shepherd herder
earthquake aardbeving
destroyed vernietigd
particular apart
died overleden
medicines geneesmiddelen
composed opgebouwd
mercury kwik
passing doorlopen
fog mist
demography demografie
demanded vereiste
percent procent
besides overigens
live woont
hate haat
opposite tegenover
columns zuilen
agreement overeenstemming
works oeuvre
temporarily voorlopig
heather plant
from ervan
fire brand
born geboren
electrical elektrische
appointments afspraken
were kwamen
order ordes
yet toch
quake beving
australia australië
after waarna
denominator noemer
berne bern
showed toonde
prizes prijzen
accidents ongelukken
bells bellen
premises pand
conquest veroveringen
fought vochten
landing aanvoer
proven aangetoond
rabbit konijn
bycatch bijvangst
male mannelijk
naked blote
ing verwerken
domination overheersing
governing regerende
coast costa
poems gedichten
difficult lastig
coloured gekleurde
adapt passen
put zette
accelerated versnelde
handy handig
like eruit
satisfactory bevallen
postponed uitgesteld
phillippe philippe
captivity gevangenschap
vocals zang
commander commandant
guideline richtlijn
urbanization verstedelijking
careful zorgvuldig
acting acteren
icon icoon
eggs eitjes
justice rechtvaardigheid
circumstances omstandigheden
dominate overheerst
repressed verdrongen
slowly langzamerhand
built bouwde
model vormde
personnel manschappen
unlikely onwaarschijnlijk
sizeable omvangrijke
womb baarmoeder
order orden
contaminated besmette
higher hogere
performed traden
unaided blote
infected besmet
probe onderzoekt
closing sluiting
problems problematiek
changing wisselende
knew kenden
males mannetjes
dutch nederlanders
speeds snelheden
offer aanbod
structures structuren
brussels brusselse
restauration restauratie
character aard
aide assistent
fairs beurzen
videos filmpjes
reduction reductie
developed ontstond
the las
pleasure plezier
chaperon begeleid
labelled label
slovakian slowaakse
said aldus
fluid vloeistof
relation betrekking
whites blanken
relation verband
calls noemt
earth aarde
few weinige
centres kernen
guide aangekomen
products producten
waste afval
actor acteur
decision besluitvorming
boys jongens
august augustinus
spatial ruimtelijke
brabant brabantse
nearer nader
debut debuutalbum
approximately circa
sports sportieve
related gerelateerd
had laten
worshipping verering
meetings besprekingen
were vormden
characterizes kenmerkt
appoint benoemen
inbred aangeboren
bold vet
based uitgaat
lords heren
appraisal beoordeling
allowed toegelaten
thick dik
particular name
acid zuur
did daden
bound gebonden
personalities karakters
generated opgewekt
salary salaris
palestine palestina
renewed hernieuwde
mediterranean mediterrane
pillow kussen
institutes instituten
sensitivity gevoeligheid
likewise eveneens
called opgeroepen
exposed blote
dive duiken
continued vervolgd
cousin neef
ministries ministeries
order opdracht
transport vervoer
radius straal
essence essentie
belief geloof
body romp
cavalry cavalerie
king koning
condition bepaling
tense gespannen
anatolian anatolië
reject verwerpen
increased opgevoerd
so bijgevolg
convention conventie
snape sneep
laid legde
ethnic ethische
subdivision onderverdeling
critical kritische
crossbreed kruising
proboscis slurf
flora begroeiing
commemoration herdenking
recognition erkenning
deny ontkennen
puberty puberteit
sole louter
independent zelfstandig
substances stoffen
conservatives conservatieven
delay vertraging
booklet boekje
engage aangehaald
stuck vast
deviation afwijkingen
in facto
value waard
participation deelname
page blad
oath eed
proceed overgaan
absence ontbreken
cipher rekenen
strains inspanningen
diplomatic diplomatieke
w.c. wk
victories overwinningen
nun non
data gegevens
form vorming
wood hout
nobody niemand
conquest verovering
nato navo
searches zoekt
rooster haan
electric elektrisch
confederation confederatie
labour bevalling
throw werpen
kidnapped ontvoerd
dawned brak
harmony harmonie
sorry spijt
opportunities gelegenheden
farming landbouw
aimed gericht
continuous continu
broken verbroken
still steeds
coughing hoesten
european europees
goal doelpunt
temporary tijdelijke
charge aanklacht
switzer zwitser
alliance bondgenootschap
thought gedachte
happening gebeurtenis
participate meedoen
marked aangeduid
time maal
special bijzonder
bandmembers bandleden
prepared voorbereid
persian perzisch
frederique frederik
required eisten
constantine constantijn
literal letterlijk
richly rijk
etcetera enz
dressed gekleed
think denk
likes zinnen
former vroegere
inflated opgeblazen
transition overgang
stones stenen
excellent uitstek
hungarian hongaars
estonia estland
twenty twintig
d.c. dc
curacao curaçao
positive positieve
commerce handel
noon middags
pays betaalt
extensive omvangrijke
football voetbalclub
orphan wees
jumping springen
crew bemanningsleden
visits bezoekt
biologically biologisch
coastline kustlijn
dominican dominicaanse
contains bevatten
parasite parasiet
container tanks
superiority overwicht
sample proeven
handles hanteert
expect verwachten
thought dacht
soon gauw
papiamento papiaments
clue aanwijzing
promoted bevorderd
found trof
profusely rijk
arbitrary willekeurige
burn verbranden
intimate kring
strength sterkte
old oude
confirm vormde
turned keerden
summer zomers
formal formeel
legendary legendarische
tree boom
cover dekking
repeatedly herhaalde
felt voelden
celebrities beroemdheden
axle as
games spellen
composed gecomponeerd
current huidige
ending monding
connect aansluiten
wages salaris
communication communicatie
dating dateren
build gebouwde
gradual geleidelijke
node knooppunt
premise stelling
characters tekens
heros helden
affairs aangelegenheden
roof dak
suspect vermoedt
division scheiding
deviates afwijkt
impose legden
withdrawal opnamen
surpasses voorbij
get gekregen
chart grafiek
argumentative logisch
empire imperium
sought streefde
rejection afwijzing
nature natuur
controversial controversieel
considerably aanzienlijk
relations verhoudingen
experience beleven
cultivated ontgonnen
activities werkzaamheden
sleep slapen
growing groeiende
victims slachtoffers
sign tekenen
x ×
understand verstaan
moldova moldavië
you jou
port poort
carried brachten
goal dromen
engineers ingenieurs
locked opgesloten
appear verschijnen
correctly correct
slopes hellingen
free bevrijden
beautiful prachtige
capacitor condensator
guidelines richtlijnen
believe geloven
job baan
partition deling
bad slecht
rejected verworpen
progress vooruitgang
given gegeven
reflected tot
occurs geschiedt
experiencing beleven
inside binnen
suspects vermoedt
mass massa
indicators signalen
dropped vielen
separate scheiden
volleyball volleybal
directing regie
market beurs
external buitenaf
being wezen
experience ondervindt
phases fases
security veiligheid
profound verregaande
raceme tros
over par
particles deeltjes
have hebt
funeral uitvaart
club vereniging
overweight overwicht
rejected afgewezen
writing schrijven
connections verbindingen
decision besluit
tough flink
separates scheidt
did leverde
confessions betekenissen
every iedere
fatherland vaderland
moderate matig
summon oproep
remember onthouden
newer nieuwere
scheme schema
office kantoor
heritage erfgoed
will testament
central centrale
different verschillende
puddles plassen
deep diep
sentiment gevoel
morning ochtends
participated meegemaakt
dependent afhankelijk
fireplace schoorsteen
qualifications bevoegdheden
card kaart
view beeld
areas terreinen
fabrics fabrieken
read gelezen
kept bleef
produced opgeleverd
kind goed
ardennes ardennen
remain verblijven
gall gal
operated bediend
founded gevestigd
drinking drinken
reduction vermindering
lab laboratorium
ditto idem
sang gezongen
algorithms algoritmen
webs vliezen
symbolical symbolische
had bezat
french franse
ranks rangen
guilder gulden
bodies lichamen
faster sneller
recordings opnamen
wolves wolven
build strafschop
our onze
treatments behandelingen
hinde doe
basilica basiliek
wallonia wallonië
south zuid
gouden golden
lebanon libanon
flow stromen
worse erger
many veel
capital hoofdplaats
adopted aangenomen
physicist natuurkundige
lend lenen
advisor adviseur
help hulp
admire bewonderen
spaniard spanjaarden
thoroughly grondig
advantages voordelen
parish parochie
kilometre km
damage beschadigen
orders opdrachten
bones botten
by via
importance consequenties
lions leeuwen
referred verwezen
rails spoor
government regering
founded stichtten
styles stijlen
fourteen veertien
figure cijfer
persist stand
chalk krijt
month maand
scala spectrum
tail staart
regulations voorschriften
script geschriften
postulate rekenen
certain zekere
cal roepen
expectations verwachtingen
convince overtuigen
contradict tegengestelde
adaptation aanpassing
just pas
coast kuststrook
freemasons vrijmetselaars
illness ziekte
new nieuwste
developed uitgewerkt
areas deelgebieden
mined ontgonnen
drugs medicijnen
mechanical mechanische
carries draagt
possible mogelijke
extreme uiterste
